OC-AK-Ko,
W,R
0.712,0.1161756
0.713,0.1156237
0.714,0.1165458
0.715,0.1162679
0.716,0.1158614
0.717,0.1156218
0.718,0.1160224
0.719,0.116861
0.72,0.1162365
0.721,0.1161628
0.722,0.1159507
0.723,0.1161943
0.724,0.116537
0.725,0.1170221
0.726,0.1165547
0.727,0.1161668
0.728,0.1160843
0.729,0.1165105
0.73,0.117845
0.731,0.1168542
0.732,0.1167039
0.733,0.1173511
0.734,0.1168434
0.735,0.1176211
0.736,0.1169975
0.737,0.1161373
0.738,0.1159831
0.739,0.1162198
0.74,0.1168306
0.741,0.1159517
0.742,0.1163082
0.743,0.1170231
0.744,0.1171674
0.745,0.1165154
0.746,0.1172509
0.747,0.1156483
0.748,0.1172205
0.749,0.1163396
0.75,0.1175318
0.751,0.1161088
0.752,0.1165655
0.753,0.1164574
0.754,0.1164437
0.755,0.1163602
0.756,0.1157612
0.757,0.1168826
0.758,0.1148892
0.759,0.1168709
0.76,0.1168974
0.761,0.1172656
0.762,0.1154666
0.763,0.1147439
0.764,0.1160362
0.765,0.1153782
0.766,0.1154214
0.767,0.1157602
0.768,0.1158702
0.769,0.1160735
0.77,0.1161255
0.771,0.1144345
0.772,0.1145327
0.773,0.115554
0.774,0.1156728
0.775,0.1158928
0.776,0.1161167
0.777,0.1156885
0.778,0.1152859
0.779,0.1152761
0.78,0.1153979
0.781,0.1149756
0.782,0.1142322
0.783,0.1150699
0.784,0.1148057
0.785,0.1135537
0.786,0.1139769
0.787,0.1143923
0.788,0.1144669
0.789,0.1136656
0.79,0.1144954
0.791,0.1135929
0.792,0.1130106
0.793,0.1143766
0.794,0.1143432
0.795,0.1135507
0.796,0.1129124
0.797,0.1131304
0.798,0.1150846
0.799,0.1131324
0.8,0.1134977
0.801,0.1140731
0.802,0.113211
0.803,0.1132915
0.804,0.1125746
0.805,0.1112764
0.806,0.1133455
0.807,0.1128633
0.808,0.1120748
0.809,0.1130784
0.81,0.1114777
0.811,0.1124833
0.812,0.1113992
0.813,0.1122388
0.814,0.1100145
0.815,0.1102669
0.816,0.1122938
0.817,0.1111488
0.818,0.1116682
0.819,0.1113285
0.82,0.1096816
0.821,0.1112695
0.822,0.1106087
0.823,0.1109415
0.824,0.1109543
0.825,0.1079042
0.826,0.1092407
0.827,0.108573
0.828,0.1084797
0.829,0.1078679
0.83,0.1060394
0.831,0.1090777
0.832,0.1092368
0.833,0.1100342
0.834,0.1099399
0.835,0.1099615
0.836,0.1093772
0.837,0.1068122
0.838,0.1069635
0.839,0.108352
0.84,0.1076548
0.841,0.1073651
0.842,0.1069713
0.843,0.1095088
0.844,0.1056987
0.845,0.1065795
0.846,0.1083942
