Brown University Keck/NASA Relab Spectrum PO-LAM-087-IA/CIPO87,
1.18,0.17742
1.185,0.17907
1.19,0.1812
1.195,0.18295
1.2,0.1852
1.205,0.18718
1.21,0.18901
1.215,0.18998
1.22,0.19136
1.225,0.19277
1.23,0.19475
1.235,0.19658
1.24,0.19828
1.245,0.20099
1.25,0.20318
1.255,0.20628
1.26,0.20924
1.265,0.21234
1.27,0.21565
1.275,0.21936
1.28,0.22338
1.285,0.22691
1.29,0.23154
1.295,0.23612
1.3,0.24148
1.305,0.24649
1.31,0.25205
1.315,0.25845
1.32,0.26458
1.325,0.27078
1.33,0.27762
1.335,0.28491
1.34,0.29252
1.345,0.3006
1.35,0.30915
1.355,0.31785
1.36,0.32735
1.365,0.33483
1.37,0.34405
1.375,0.35366
1.38,0.36654
1.385,0.37286
1.39,0.3852
1.395,0.39603
1.4,0.40623
1.405,0.41734
1.41,0.42716
1.415,0.43871
1.42,0.44979
1.425,0.46123
1.43,0.47255
1.435,0.48446
1.44,0.49619
1.445,0.50902
1.45,0.52027
1.455,0.53034
1.46,0.54295
1.465,0.55273
1.47,0.56609
1.475,0.57564
1.48,0.58642
1.485,0.59773
1.49,0.60807
1.495,0.61834
1.5,0.62861
1.505,0.6386
1.51,0.64729
1.515,0.65753
1.52,0.66499
1.525,0.67485
1.53,0.68404
1.535,0.69173
1.54,0.70101
1.545,0.70609
1.55,0.71463
1.555,0.7217
1.56,0.72786
1.565,0.73562
1.57,0.74041
1.575,0.7482
1.58,0.75305
1.585,0.75727
1.59,0.76353
1.595,0.76821
1.6,0.77364
1.605,0.77713
1.61,0.78216
1.615,0.78474
1.62,0.79017
1.625,0.79377
1.63,0.79647
1.635,0.79877
1.64,0.80317
1.645,0.80544
1.65,0.80679
1.655,0.80867
1.66,0.80375
1.665,0.80234
1.67,0.80486
1.675,0.80556
1.68,0.80885
1.685,0.81075
1.69,0.81147
1.695,0.8114
1.7,0.81205
1.705,0.81448
1.71,0.81655
1.715,0.81772
1.72,0.81861
1.725,0.81983
1.73,0.82084
1.735,0.82201
1.74,0.82285
1.745,0.82388
1.75,0.82576
1.755,0.8278
1.76,0.82829
1.765,0.82935
1.77,0.83037
1.775,0.83174
1.78,0.83289
1.785,0.83383
1.79,0.83432
1.795,0.83548
1.8,0.83534
1.805,0.8366
1.81,0.83667
1.815,0.83845
1.82,0.83713
1.825,0.83871
1.83,0.83774
1.835,0.83901
1.84,0.8379
1.845,0.8425
1.85,0.84122
1.855,0.84324
1.86,0.84253
1.865,0.84437
1.87,0.83804
1.875,0.84442
1.88,0.84822
1.885,0.84423
1.89,0.84282
1.895,0.84332
1.9,0.84165
1.905,0.84117
1.91,0.84471
1.915,0.84282
1.92,0.8445
1.925,0.84438
1.93,0.84367
1.935,0.84361
1.94,0.84459
1.945,0.84724
1.95,0.84561
1.955,0.84585
1.96,0.84709
1.965,0.84795
1.97,0.84855
1.975,0.84935
1.98,0.84935
1.985,0.8491
1.99,0.85038
1.995,0.84945
2,0.8504
2.005,0.851
2.01,0.85068
2.015,0.85128
2.02,0.85076
2.025,0.8503
2.03,0.85124
2.035,0.8506
2.04,0.84962
2.045,0.85015
2.05,0.848
2.055,0.84914
2.06,0.85029
2.065,0.84952
2.07,0.84738
2.075,0.84757
2.08,0.84848
2.085,0.84891
2.09,0.84691
2.095,0.84801
2.1,0.84859
2.105,0.84846
2.11,0.84955
2.115,0.84802
2.12,0.84953
2.125,0.84729
2.13,0.84716
2.135,0.84537
2.14,0.8459
2.145,0.8472
2.15,0.84725
2.155,0.84706
2.16,0.84502
2.165,0.84404
2.17,0.84534
2.175,0.84724
2.18,0.84871
2.185,0.84809
2.19,0.847
2.195,0.84672
2.2,0.84583
2.205,0.84614
2.21,0.84616
2.215,0.84571
2.22,0.84611
2.225,0.84564
2.23,0.84315
2.235,0.8431
2.24,0.84183
2.245,0.84171
2.25,0.83902
2.255,0.83536
2.26,0.83176
2.265,0.82909
2.27,0.82585
2.275,0.82122
2.28,0.82011
2.285,0.81804
2.29,0.81728
2.295,0.81473
2.3,0.81258
2.305,0.80873
2.31,0.8088
2.315,0.81059
2.32,0.81109
2.325,0.81458
2.33,0.81798
2.335,0.81956
2.34,0.82133
2.345,0.82198
2.35,0.82063
2.355,0.81954
2.36,0.82113
2.365,0.82164
2.37,0.82625
2.375,0.8277
2.38,0.82748
2.385,0.82846
2.39,0.82696
2.395,0.82645
2.4,0.82551
2.405,0.82603
2.41,0.82751
2.415,0.82681
2.42,0.82749
2.425,0.828
2.43,0.82678
2.435,0.82543
2.44,0.82405
2.445,0.82036
2.45,0.81607
2.455,0.81352
2.46,0.80913
2.465,0.80775
2.47,0.80968
2.475,0.81293
2.48,0.81556
2.485,0.81334
2.49,0.81394
2.495,0.81113
2.5,0.81295
2.505,0.81048
2.51,0.81153
2.515,0.81071
2.52,0.81294
2.525,0.81433
2.53,0.81546
2.535,0.81504
2.54,0.82036
2.545,0.81679
2.55,0.81798
2.555,0.82128
2.56,0.81326
2.565,0.81049
2.57,0.82211
2.575,0.81346
2.58,0.81834
2.585,0.80981
2.59,0.82121
2.595,0.81131
2.6,0.83016

