KC-OPX-hevn_4,
W,R
0.81119,0.32158
0.81162,0.32122
0.81206,0.32079
0.81249,0.32044
0.81293,0.31956
0.81336,0.31873
0.81379,0.318
0.81423,0.31737
0.81466,0.31666
0.8151,0.31605
0.81553,0.31545
0.81596,0.31494
0.8164,0.31416
0.81683,0.31355
0.81726,0.31316
0.8177,0.31226
0.81813,0.31179
0.81856,0.31093
0.819,0.31025
0.81943,0.30982
0.81986,0.30945
0.8203,0.30893
0.82073,0.30843
0.82116,0.30794
0.8216,0.30747
0.82203,0.30706
0.82246,0.30638
0.8229,0.30602
0.82333,0.30554
0.82376,0.30472
0.8242,0.30425
0.82463,0.30357
0.82506,0.30315
0.8255,0.30242
0.82593,0.30146
0.82636,0.30099
0.8268,0.30038
0.82723,0.30004
0.82766,0.29984
0.82809,0.29927
0.82853,0.29908
0.82896,0.29863
0.82939,0.29815
0.82983,0.29786
0.83026,0.29729
0.83069,0.29691
0.83112,0.29663
0.83156,0.29618
0.83199,0.2955
0.83242,0.29494
0.83286,0.29424
0.83329,0.29341
0.83372,0.29277
0.83415,0.29192
0.83459,0.29117
0.83502,0.29115
0.83545,0.29088
0.83588,0.29037
0.83632,0.28982
0.83675,0.28945
0.83718,0.28862
0.83761,0.2879
0.83804,0.28699
0.83848,0.28622
0.83891,0.28558
0.83934,0.28489
0.83977,0.28423
0.84021,0.28355
0.84064,0.28273
0.84107,0.28218
0.8415,0.28146
0.84193,0.28059
0.84237,0.28013
0.8428,0.27931
0.84323,0.27863
0.84366,0.27822
0.84409,0.27795
0.84453,0.27752
0.84496,0.27744
0.84539,0.27714
0.84582,0.27645
0.84625,0.27611
0.84669,0.2759
0.84712,0.27574
0.84755,0.27507
0.84798,0.27464
0.84841,0.27424
0.84884,0.27397
0.84928,0.27385
0.84971,0.27301
0.85014,0.27251
0.85057,0.27203
0.851,0.27156
0.85143,0.27101
0.85186,0.27051
0.8523,0.26953
0.85273,0.26932
0.85316,0.26895
0.85359,0.26866
0.85402,0.2682
0.85445,0.26778
0.85488,0.26726
0.85532,0.26696
0.85575,0.26643
0.85618,0.26587
0.85661,0.26531
0.85704,0.26472
0.85747,0.26383
0.8579,0.26319
0.85833,0.26247
0.85876,0.26203
0.8592,0.26123
0.85963,0.26085
0.86006,0.26061
0.86049,0.26029
0.86092,0.26025
0.86135,0.26001
0.86178,0.25997
0.86221,0.25959
0.86264,0.25914
0.86307,0.25922
0.8635,0.25862
0.86394,0.258
0.86437,0.25743
0.8648,0.257
0.86523,0.2566
0.86566,0.25623
0.86609,0.25565
0.86652,0.25491
0.86695,0.25446
0.86738,0.25391
0.86781,0.25321
0.86824,0.25268
0.86867,0.25205
0.8691,0.2515
0.86953,0.25107
0.86996,0.25077
0.87039,0.25062
0.87082,0.2502
0.87125,0.25012
0.87168,0.24979
0.87211,0.24984
0.87254,0.24979
0.87297,0.24965
0.8734,0.24943
0.87383,0.24888
0.87426,0.24861
0.87469,0.24848
0.87512,0.2482
0.87555,0.24743
0.87598,0.2472
0.87641,0.24681
0.87684,0.24657
0.87727,0.24633
0.8777,0.24593
0.87813,0.24561
0.87856,0.24529
0.87899,0.24481
0.87942,0.24465
0.87985,0.24432
0.88028,0.2442
0.88071,0.24393
0.88114,0.24421
0.88157,0.24386
0.882,0.24388
0.88243,0.24393
0.88286,0.24384
0.88329,0.24349
0.88372,0.24324
0.88415,0.24255
0.88458,0.2422
0.88501,0.24164
0.88544,0.24119
0.88587,0.24074
0.8863,0.24053
0.88673,0.24032
0.88715,0.24005
0.88758,0.23953
0.88801,0.23927
0.88844,0.23921
0.88887,0.23934
0.8893,0.23921
0.88973,0.23922
0.89016,0.23904
0.89059,0.23897
0.89102,0.23879
0.89145,0.23858
0.89188,0.23822
0.8923,0.23812
0.89273,0.2375
0.89316,0.2373
0.89359,0.23698
0.89402,0.23692
0.89445,0.23697
0.89488,0.23678
0.89531,0.23682
0.89574,0.23676
0.89616,0.23695
0.89659,0.23686
0.89702,0.23663
0.89745,0.23699
0.89788,0.2372
0.89831,0.23735
0.89874,0.23759
0.89916,0.2378
0.89959,0.23777
0.90002,0.23801
0.90045,0.23763
0.90088,0.23752
0.90131,0.2376
0.90174,0.23712
0.90216,0.2371
0.90259,0.23688
0.90302,0.23653
0.90345,0.23643
0.90388,0.23603
0.90431,0.23584
0.90473,0.23588
0.90516,0.23586
0.90559,0.23554
0.90602,0.23581
0.90645,0.23556
0.90687,0.23567
0.9073,0.23563
0.90773,0.2354
0.90816,0.2356
0.90859,0.23536
