OC-PZ-Khe,
W,R
0.872053555,0.090606378
0.875919291,0.090420163
0.879785027,0.090233948
0.885536489,0.090078847
0.889402225,0.089892632
0.895153687,0.089737531
0.899019423,0.089551315
0.906680181,0.089365218
0.914329153,0.089210176
0.920104186,0.088992964
0.927764944,0.088806866
0.933539977,0.088589654
0.939303225,0.088403498
0.946940411,0.088279512
0.954589383,0.08812447
0.958443334,0.08796931
0.966092306,0.087814268
0.973741279,0.087659226
0.981390251,0.087504184
0.990924948,0.087380256
1.004242881,0.087287502
1.011868282,0.087194571
1.023265133,0.08716387
1.034638412,0.087195279
1.046023477,0.087195632
1.055475674,0.087289093
1.06303036,0.087382496
1.072470771,0.087507013
1.080025457,0.087600415
1.087568358,0.087724873
1.095099472,0.087880386
1.098835565,0.088035782
1.106366679,0.088191295
1.113886008,0.088377864
1.121405337,0.088564433
1.128924665,0.088751002
1.136443994,0.088937571
1.143963323,0.08912414
1.151506223,0.089248597
1.160923062,0.089435225
1.170351688,0.089590798
1.18168961,0.089715373
1.193039317,0.089808894
1.204377239,0.089933469
1.215738733,0.089995934
1.225202715,0.09005834
1.236564209,0.090120804
1.246028192,0.09018321
1.255468603,0.090307727
1.264956157,0.090308021
1.272522629,0.090370368
1.281974826,0.090463829
1.291427022,0.090557291
1.302764944,0.090681866
1.314114652,0.090775387
1.323566849,0.090868848
1.332995474,0.09102442
1.340526589,0.091179934
1.351840939,0.09136662
1.359383839,0.091491078
1.348069489,0.091304391
1.36882425,0.091615595
1.37824109,0.091802223
1.383886479,0.091926622
1.389531869,0.092051021
1.397051197,0.09223759
1.408377334,0.092393221
1.415896662,0.09257979
1.423439563,0.092704248
1.430970677,0.092859761
1.438513577,0.092984219
1.447942203,0.093139791
1.45356402,0.093326301
1.461106921,0.093450759
1.46675231,0.093575158
1.476204507,0.093668619
1.485644918,0.093793136
1.495073543,0.093948708
1.502628229,0.094042111
1.513966151,0.094166686
1.521509051,0.094291144
1.529051952,0.094415602
1.538515934,0.094478008
1.547979917,0.094540413
1.559329625,0.094633934
1.572588629,0.094696457
1.580166887,0.094727748
1.59152838,0.094790213
1.601015934,0.094790508
1.612424571,0.09472875
1.621912125,0.094729045
1.631411465,0.094698284
1.64279653,0.094698638
1.650398359,0.094667818
1.658000189,0.094636998
1.669420611,0.094544185
1.680805676,0.094544538
1.692214313,0.094482781
1.701725438,0.094420965
1.711260136,0.094297037
1.718885536,0.094204106
1.726510937,0.094111175
1.737919574,0.094049418
1.749316425,0.094018716
1.75693004,0.09395684
1.768338676,0.093895083
1.777861588,0.093802211
1.787372714,0.093740395
1.796860268,0.093740689
1.802576372,0.093678755
1.810201773,0.093585824
1.821598623,0.093555122
1.829200453,0.093524302
1.836814068,0.093462427
1.84823449,0.093369614
1.859643127,0.093307856
1.869166038,0.093214984
1.876791439,0.093122054
1.886302565,0.093060237
1.89391618,0.092998362
1.901518009,0.092967542
1.912962003,0.092812618
1.924370639,0.09275086
1.935779276,0.092689103
1.945278616,0.092658342
1.952880445,0.092627522
1.962367999,0.092627817
1.973753064,0.09262817
1.985161701,0.092566413
2.000365359,0.092504773
2.013671507,0.092443075
2.023135489,0.09250548
2.030749104,0.092443605
2.042169527,0.092350792
2.053566378,0.09232009
2.064975014,0.092258333
2.07825759,0.092258745
2.087745144,0.09225904
2.099130209,0.092259393
2.108617764,0.092259688
2.11617245,0.09235309
2.125624646,0.092446551
2.13321469,0.092446787
2.140816519,0.092415967
2.148418348,0.092385148
2.159815199,0.092354446
2.169314539,0.092323685
2.180723176,0.092261927
2.190222516,0.092231166
2.197800773,0.092262458
2.209185838,0.092262811
2.220570903,0.092263165
2.231932397,0.092325629
2.239569583,0.092201643
2.250954648,0.092201997
2.254726098,0.092264225
2.27179191,0.092295811
2.279381954,0.092296047
2.285086272,0.092265168
2.294609183,0.092172296
2.302175655,0.092234643
2.311651424,0.092265993
2.323036489,0.092266347
2.330579389,0.092390805
2.345771262,0.092360221
2.353373091,0.092329401
2.360963134,0.092329637
2.368564963,0.092298817
2.378052517,0.092299111
2.391335093,0.092299524
2.398913351,0.092330815
2.404605883,0.092330992
2.414093438,0.092331287
2.425478503,0.09233164
2.434966057,0.092331935
2.444453611,0.092332229
2.455862248,0.092270472
2.463452291,0.092270708
2.476758439,0.092209009
