KC-OL-lm_0,
W,R
0.60831,0.80949
0.60859,0.80744
0.60888,0.80953
0.60916,0.81101
0.60945,0.81224
0.60974,0.81279
0.61002,0.81064
0.61031,0.81043
0.6106,0.80813
0.61089,0.80972
0.61117,0.80842
0.61146,0.80862
0.61175,0.80911
0.61204,0.80777
0.61233,0.80881
0.61262,0.80625
0.61291,0.80906
0.6132,0.80823
0.61349,0.80829
0.61378,0.80796
0.61407,0.80534
0.61436,0.80722
0.61465,0.80547
0.61494,0.80758
0.61524,0.80532
0.61553,0.80603
0.61582,0.80595
0.61611,0.80424
0.61641,0.808
0.6167,0.80475
0.61699,0.80543
0.61729,0.803
0.61758,0.80363
0.61787,0.80332
0.61817,0.80135
0.61846,0.80427
0.61876,0.80206
0.61905,0.80502
0.61935,0.80223
0.61965,0.80293
0.61994,0.80314
0.62024,0.80202
0.62054,0.80578
0.62083,0.80338
0.62113,0.80693
0.62143,0.80401
0.62173,0.80419
0.62203,0.80269
0.62232,0.80007
0.62262,0.80313
0.62292,0.79951
0.62322,0.80145
0.62352,0.79749
0.62382,0.79806
0.62412,0.79821
0.62442,0.79808
0.62472,0.801
0.62502,0.79704
0.62533,0.80149
0.62563,0.80017
0.62593,0.80118
0.62623,0.79925
0.62654,0.79674
0.62684,0.79965
0.62714,0.79754
0.62744,0.80064
0.62775,0.79688
0.62805,0.7978
0.62836,0.7969
0.62866,0.79633
0.62897,0.80004
0.62927,0.7976
0.62958,0.80046
0.62988,0.79794
0.63019,0.79785
0.6305,0.79712
0.6308,0.79672
0.63111,0.79879
0.63142,0.79691
0.63173,0.79632
0.63203,0.79591
0.63234,0.7975
0.63265,0.79464
0.63296,0.78196
0.63327,0.77398
0.63358,0.7717
0.63389,0.79049
0.6342,0.79425
0.63451,0.79714
0.63482,0.79508
0.63513,0.79585
0.63544,0.79796
0.63575,0.79364
0.63607,0.79873
0.63638,0.79359
0.63669,0.79659
0.637,0.7947
0.63732,0.79409
0.63763,0.79469
0.63794,0.79074
0.63826,0.79479
0.63857,0.79181
0.63889,0.79561
0.6392,0.79256
0.63952,0.79283
0.63983,0.79595
0.64015,0.79408
0.64046,0.79716
0.64078,0.7934
0.6411,0.79665
0.64142,0.79497
0.64173,0.79717
0.64205,0.79947
0.64237,0.79677
0.64269,0.79919
0.64301,0.79527
0.64333,0.79827
0.64364,0.79666
0.64396,0.79663
0.64428,0.79647
0.64461,0.79369
0.64493,0.79622
0.64525,0.79424
0.64557,0.79724
0.64589,0.79526
0.64621,0.79605
0.64653,0.79679
0.64686,0.79643
0.64718,0.79846
0.6475,0.79455
0.64783,0.79777
0.64815,0.79707
0.64847,0.79753
0.6488,0.79665
0.64912,0.79454
0.64945,0.79644
0.64978,0.79441
0.6501,0.79709
0.65043,0.79559
0.65075,0.79682
0.65108,0.79856
0.65141,0.79778
0.65173,0.79861
0.65206,0.79686
0.65239,0.79931
0.65272,0.79832
0.65305,0.79931
0.65338,0.79903
0.65371,0.79706
0.65404,0.79829
0.65437,0.79721
0.6547,0.79855
0.65503,0.79806
0.65536,0.80028
0.65569,0.80148
0.65602,0.80094
0.65635,0.80107
0.65669,0.79862
0.65702,0.7992
0.65735,0.79875
0.65769,0.7996
0.65802,0.79996
0.65836,0.79932
0.65869,0.79911
0.65902,0.79839
0.65936,0.79961
0.6597,0.79917
0.66003,0.80066
0.66037,0.801
0.6607,0.79995
0.66104,0.79958
0.66138,0.79866
0.66172,0.79986
0.66205,0.79996
0.66239,0.80081
0.66273,0.80091
0.66307,0.79948
0.66341,0.79858
0.66375,0.79805
0.66409,0.79826
0.66443,0.79797
0.66477,0.79878
0.66511,0.79825
0.66545,0.79757
0.66579,0.79848
0.66614,0.79902
0.66648,0.79911
0.66682,0.79803
0.66716,0.79745
0.66751,0.79792
0.66785,0.79916
0.6682,0.79905
0.66854,0.79882
0.66889,0.79995
0.66923,0.79957
0.66958,0.79869
0.66992,0.79811
0.67027,0.79881
0.67062,0.79946
0.67096,0.79854
0.67131,0.79748
0.67166,0.79624
0.67201,0.7962
0.67236,0.79706
0.6727,0.7977
0.67305,0.79809
0.6734,0.79797
0.67375,0.79741
0.6741,0.79693
0.67445,0.79746
0.67481,0.79745
0.67516,0.79669
0.67551,0.79628
0.67586,0.79608
0.67621,0.79638
0.67657,0.79632
0.67692,0.79637
0.67727,0.79614
0.67763,0.79533
0.67798,0.79525
0.67834,0.79493
0.67869,0.79505
0.67905,0.79561
0.6794,0.79546
0.67976,0.79527
0.68012,0.79489
0.68047,0.79461
0.68083,0.79533
0.68119,0.79553
0.68155,0.79477
0.6819,0.79459
0.68226,0.79501
0.68262,0.7952
0.68298,0.79447
0.68334,0.79359
0.6837,0.79339
0.68406,0.79313
0.68443,0.79289
0.68479,0.79271
0.68515,0.793
0.68551,0.79297
0.68587,0.79148
0.68624,0.79065
0.6866,0.79144
0.68696,0.79188
0.68733,0.79103
0.68769,0.79042
0.68806,0.79051
0.68842,0.79029
0.68879,0.78979
0.68916,0.78962
0.68952,0.79019
0.68989,0.79032
0.69026,0.78935
0.69062,0.78879
0.69099,0.78921
0.69136,0.78845
0.69173,0.78737
0.6921,0.78755
0.69247,0.78753
0.69284,0.78768
0.69321,0.78778
0.69358,0.78707
0.69395,0.78655
0.69432,0.78668
0.6947,0.78603
0.69507,0.78477
0.69544,0.78466
0.69581,0.7852
0.69619,0.78595
0.69656,0.78538
0.69694,0.78392
0.69731,0.78304
0.69769,0.78224
0.69806,0.78217
0.69844,0.78251
0.69881,0.78296
0.69919,0.78275
0.69957,0.78212
0.69995,0.78176
0.70032,0.78138
0.7007,0.78124
0.70108,0.78079
0.70146,0.78054
0.70184,0.77966
0.70222,0.77869
0.7026,0.77827
0.70298,0.77725
0.70336,0.77712
0.70375,0.77769
0.70413,0.7784
0.70451,0.77789
0.70489,0.7764
0.70528,0.77552
0.70566,0.77524
0.70605,0.77559
0.70643,0.77576
0.70682,0.7757
0.7072,0.77497
0.70759,0.77471
0.70797,0.77431
0.70836,0.77252
0.70875,0.77192
0.70914,0.77243
0.70952,0.77292
0.70991,0.77276
0.7103,0.77238
0.71069,0.77174
0.71108,0.77028
0.71147,0.76953
0.71186,0.7692
0.71225,0.76917
0.71265,0.76932
0.71304,0.76984
0.71343,0.77026
0.71382,0.76903
0.71422,0.76754
0.71461,0.76714
0.715,0.76717
0.7154,0.76681
0.71579,0.76678
0.71619,0.76714
0.71658,0.76704
0.71698,0.76624
0.71738,0.7647
0.71777,0.76356
0.71817,0.76309
0.71857,0.76337
0.71897,0.76414
0.71937,0.76415
0.71977,0.76302
0.72017,0.76203
0.72057,0.76223
0.72097,0.76219
0.72137,0.76103
0.72177,0.75931
0.72217,0.75836
0.72258,0.75904
0.72298,0.75942
0.72338,0.75873
0.72379,0.75833
0.72419,0.75841
0.7246,0.75803
0.725,0.75762
0.72541,0.75713
0.72581,0.75612
0.72622,0.75548
0.72663,0.75531
0.72703,0.75515
0.72744,0.75412
0.72785,0.75256
0.72826,0.75233
0.72867,0.75254
