KC-OL-hvn_6,
1.455,0.62831
1.46,0.6327
1.465,0.6371
1.47,0.64115
1.475,0.64537
1.48,0.64965
1.485,0.65401
1.49,0.65811
1.495,0.66218
1.5,0.66632
1.505,0.67037
1.51,0.6743
1.515,0.67799
1.52,0.68214
1.525,0.68574
1.53,0.68935
1.535,0.69305
1.54,0.69663
1.545,0.70003
1.55,0.70338
1.555,0.70636
1.56,0.70979
1.565,0.71277
1.57,0.71526
1.575,0.7182
1.58,0.72184
1.585,0.72357
1.59,0.72585
1.595,0.72816
1.6,0.7296
1.605,0.73204
1.61,0.73392
1.615,0.73636
1.62,0.73834
1.625,0.74052
1.63,0.74237
1.635,0.7442
1.64,0.74549
1.645,0.74752
1.65,0.74898
1.655,0.75062
1.66,0.75188
1.665,0.75355
1.67,0.75529
1.675,0.75682
1.68,0.75842
1.685,0.7601
1.69,0.7615
1.695,0.76262
1.7,0.76375
1.705,0.76467
1.71,0.76508
1.715,0.76584
1.72,0.76658
1.725,0.76736
1.73,0.76841
1.735,0.7694
1.74,0.77027
1.745,0.77085
1.75,0.77156
1.755,0.77198
1.76,0.77198
1.765,0.77235
1.77,0.77298
1.775,0.7733
1.78,0.77388
1.785,0.77418
1.79,0.7744
1.795,0.77461
1.8,0.77455
1.805,0.77373
1.81,0.77412
1.815,0.77391
1.82,0.77342
1.825,0.77328
1.83,0.77303
1.835,0.77279
1.84,0.77285
1.845,0.773
1.85,0.77289
1.855,0.7729
1.86,0.7732
1.865,0.77344
1.87,0.77254
1.875,0.77334
1.88,0.77314
1.885,0.7726
1.89,0.77206
1.895,0.7717
1.9,0.77168
1.905,0.77181
1.91,0.77177
1.915,0.7723
1.92,0.77303
1.925,0.77396
1.93,0.77464
1.935,0.77535
1.94,0.77601
1.945,0.77707
1.95,0.77776
1.955,0.77915
1.96,0.7798
1.965,0.78079
1.97,0.78158
1.975,0.78271
1.98,0.78221
1.985,0.78465
1.99,0.78509
1.995,0.78582
2,0.78687
2.005,0.78703
2.01,0.78782
2.015,0.78898
2.02,0.79004
2.025,0.79011
2.03,0.79052
2.035,0.79103
2.04,0.79161
2.045,0.79176
2.05,0.79172
2.055,0.79249
2.06,0.79282
2.065,0.79352
2.07,0.79374
2.075,0.79422
2.08,0.79488
2.085,0.79493
2.09,0.79577
2.095,0.7965
2.1,0.79764
2.105,0.79805
2.11,0.79855
2.115,0.7991
2.12,0.79924
2.125,0.79885
2.13,0.79838
2.135,0.79797
2.14,0.79752
2.145,0.79685
2.15,0.79639
2.155,0.79543
2.16,0.79433
2.165,0.79394
2.17,0.79381
2.175,0.79418
2.18,0.79374
2.185,0.79325
2.19,0.7932
2.195,0.79321
2.2,0.79216
2.205,0.79278
2.21,0.79273
2.215,0.79268
2.22,0.79286
2.225,0.79282
2.23,0.79279
2.235,0.79258
2.24,0.79245
2.245,0.79247
2.25,0.79266
2.255,0.79199
2.26,0.79172
2.265,0.79216
2.27,0.79292
2.275,0.79281
2.28,0.79271
2.285,0.79256
2.29,0.79216
2.295,0.79137
2.3,0.78998
2.305,0.78908
2.31,0.78828
2.315,0.78796
2.32,0.78787
2.325,0.7882
2.33,0.7885
2.335,0.78884
2.34,0.78933
2.345,0.78891
2.35,0.79008
2.355,0.79059
2.36,0.79158
2.365,0.79168
2.37,0.79184
2.375,0.79154
2.38,0.79137
2.385,0.79059
2.39,0.78907
2.395,0.78898
2.4,0.78875
2.405,0.78831
2.41,0.78821
2.415,0.78798
2.42,0.78679
2.425,0.78641
2.43,0.78606
2.435,0.78597
2.44,0.78717
2.445,0.78595
2.45,0.78635
2.455,0.78613
2.46,0.7861
2.465,0.78611
2.47,0.78622
2.475,0.78649
2.48,0.78659
2.485,0.78712
2.49,0.78738
2.495,0.78788
2.5,0.7901
