Brown University Keck/NASA Relab Spectrum PO-RGB-041/C1PO41,
2.2,0.78399
2.205,0.78706
2.21,0.78735
2.215,0.78739
2.22,0.78759
2.225,0.78828
2.23,0.78597
2.235,0.78525
2.24,0.78665
2.245,0.78497
2.25,0.78539
2.255,0.78632
2.26,0.78684
2.265,0.78738
2.27,0.78569
2.275,0.78574
2.28,0.78545
2.285,0.78705
2.29,0.78912
2.295,0.78618
2.3,0.7852
2.305,0.78726
2.31,0.78769
2.315,0.78818
2.32,0.78934
2.325,0.79104
2.33,0.79205
2.335,0.79212
2.34,0.78942
2.345,0.788
2.35,0.78486
2.355,0.79009
2.36,0.79261
2.365,0.79236
2.37,0.79511
2.375,0.79104
2.38,0.78918
2.385,0.79055
2.39,0.79108
2.395,0.79408
2.4,0.79278
2.405,0.79038
2.41,0.78987
2.415,0.79125
2.42,0.78954
2.425,0.79201
2.43,0.79279
2.435,0.79221
2.44,0.79289
2.445,0.79249
2.45,0.79172
2.455,0.79187
2.46,0.79064
2.465,0.78994
2.47,0.78841
2.475,0.78215
2.48,0.78332
2.485,0.7882
2.49,0.78582
2.495,0.78688
2.5,0.78554
2.505,0.79133
2.51,0.79276
2.515,0.79096
2.52,0.79184
2.525,0.79546
2.53,0.79435
2.535,0.79128
2.54,0.79653
2.545,0.80075
2.55,0.79722
2.555,0.79678
2.56,0.7951
2.565,0.79251
2.57,0.79224
2.575,0.79415
2.58,0.79825
2.585,0.79762
2.59,0.79695
2.595,0.79801
2.6,0.79366

