SS-EN-2,
W,R
1.642798147,0.429619407
1.646836552,0.427431326
1.652494724,0.425680861
1.658962046,0.423930396
1.663812537,0.422617547
1.667849473,0.41999185
1.671080197,0.418241385
1.674310921,0.41649092
1.679162881,0.415615688
1.680773837,0.413427606
1.685621392,0.411239525
1.692085776,0.408613828
1.695317969,0.407300979
1.696928925,0.405112898
1.700162586,0.404237666
1.703394778,0.402924817
1.708242333,0.400736736
1.711474525,0.399423887
1.716322079,0.397235806
1.719558677,0.397235806
1.726028936,0.396360573
1.730070278,0.395047725
1.735737261,0.395922957
1.742213394,0.39679819
1.745442649,0.394610108
1.751908503,0.392422027
1.761615359,0.391546795
1.768085618,0.390671562
1.773748196,0.390233946
1.779410774,0.38979633
1.787502268,0.38979633
1.793167783,0.390233946
1.798833298,0.390671562
1.805307962,0.391109179
1.810973477,0.391546795
1.815026567,0.393734876
1.82069355,0.394610108
1.824743703,0.395922957
1.830415092,0.398111038
1.836085013,0.399861503
1.840945783,0.401611968
1.844188255,0.403362433
1.849856707,0.404675282
1.85471601,0.40598813
1.85957678,0.407738595
1.865243764,0.408613828
1.870915153,0.410801909
1.87901399,0.41298999
1.881447312,0.414740455
1.884688316,0.416053304
