OC-LVM-F1,
W,R
1.68724672,0.254548117
1.699248054,0.252415657
1.707240376,0.250817094
1.715258398,0.249749297
1.725293774,0.248679934
1.735354849,0.248141336
1.74740758,0.247070407
1.755425601,0.24600261
1.765460977,0.244933247
1.773504698,0.244396216
1.785506031,0.242263755
1.793498354,0.240665192
1.805551085,0.239594263
1.81561216,0.239055665
1.825647536,0.237986302
1.837725966,0.237446138
1.847787041,0.23690754
1.85182175,0.236904407
1.861934223,0.237427341
1.869977943,0.23689031
1.87597861,0.235824079
1.886065384,0.235816247
1.894134803,0.235809982
1.904221576,0.23580215
1.912239598,0.234734353
1.922326372,0.234726521
1.930421489,0.235251021
1.938490909,0.235244755
1.944542973,0.235240056
1.950595037,0.235235357
1.958664456,0.235229091
1.966733875,0.235222826
1.974828993,0.235747326
1.980932455,0.236804158
1.986984519,0.236799458
1.995105336,0.237854724
2.003174755,0.237848458
2.011295571,0.238903724
2.01936499,0.238897458
2.027511506,0.24048349
2.037623978,0.241006423
2.041710085,0.242064822
2.047839246,0.243652419
2.053917009,0.244178486
2.06808989,0.245229052
2.076210707,0.246284318
2.084305824,0.246808818
2.092400942,0.247333318
2.102539114,0.248387017
2.059994772,0.244704552
2.107621049,0.249179249
2.117793485,0.250940636
2.12619913,0.250934109
2.134647606,0.251812192
2.141414953,0.25269158
2.149820598,0.252685053
2.158247658,0.253120831
2.163355292,0.254443829
2.168484342,0.256209132
2.175251689,0.25708852
2.18540271,0.258407602
2.192191473,0.259729295
2.198937404,0.260166378
2.205683336,0.260603461
2.212472098,0.261925154
2.215855772,0.262364848
2.222665951,0.264128845
2.229411882,0.264565929
2.239562903,0.265885011
2.246308834,0.266322094
2.256438439,0.267198871
2.261503242,0.26763726
2.26658946,0.268517953
2.273378223,0.269839646
2.283486412,0.270274119
2.293616018,0.271150896
2.300383365,0.272030284
2.307107881,0.272025063
2.313832396,0.272019841
2.322238041,0.272013315
2.330643686,0.272006788
2.34073046,0.271998956
2.350817234,0.271991124
2.360904007,0.271983292
2.369309652,0.271976765
2.379460673,0.273295847
2.384525476,0.273734236
2.389590278,0.274172625
2.396314794,0.274167403
2.40303931,0.274162182
2.411444955,0.274155655
2.418212302,0.275035043
2.424958233,0.275472127
2.431682749,0.275466905
2.44010981,0.275902683
2.446855741,0.276339767
2.453623088,0.277219155
2.458730722,0.278542153
2.468838912,0.278976625
2.478947101,0.279411098
2.485714448,0.280290486
2.497525182,0.281165958
2.502589985,0.281604347
2.509357332,0.282483735
2.516103264,0.282920818
2.522849195,0.283357901
2.532935969,0.283350069
2.543044158,0.283784542
2.553152348,0.284219015
2.559919695,0.285098403
2.566644211,0.285093181
2.575049856,0.285086655
2.580093243,0.285082739
2.586817758,0.285077517
2.593542274,0.285072296
