MY_OL_30,
W,R
0.429406048,0.317133178
0.430623207,0.319395014
0.432042921,0.322013959
0.434039302,0.323678228
0.434453532,0.324988332
0.43550901,0.326988315
0.437190784,0.328700927
0.438636057,0.330414044
0.439844827,0.332127666
0.442240484,0.334124788
0.443928823,0.336266437
0.445376284,0.338122567
0.446823744,0.339978696
0.447552945,0.341264291
0.449714288,0.34340493
0.451174878,0.346119133
0.452383648,0.347832755
0.45359023,0.349403365
0.455749385,0.351400992
0.457674227,0.353542136
0.460069884,0.355539258
0.461289595,0.357967941
0.462259675,0.359539056
0.463718077,0.362110247
0.465664801,0.365681513
0.466404943,0.36768217
0.468095471,0.369966831
0.470256814,0.37210747
0.471934212,0.373534058
0.474084614,0.374959635
0.475534263,0.376958777
0.476981723,0.378814907
0.478665686,0.380670531
0.48200954,0.382808645
0.483459189,0.384807787
0.484906649,0.386663916
0.486833679,0.388948072
0.488524206,0.391232734
0.489270913,0.393662427
0.491191378,0.395517546
0.492411089,0.39794623
0.493619859,0.399659852
0.495295069,0.400943427
0.49652791,0.404230184
0.497749809,0.40680188
0.498032265,0.409804632
0.500655672,0.4112292
0.503305337,0.414369915
0.504987112,0.416082527
0.506679827,0.418510201
0.509565995,0.42165041
0.511503966,0.424649628
0.512966745,0.427506843
0.515136841,0.430219531
0.51754344,0.432931714
0.518272641,0.43421731
0.520440549,0.436786985
0.522604081,0.439070637
0.525010679,0.44178282
0.526692454,0.443495432
0.528378605,0.445494068
0.530542136,0.44777772
0.53270348,0.449918359
0.534632698,0.452345527
0.537510112,0.454913688
0.540867096,0.457909875
0.543273695,0.460622058
0.547097118,0.463188199
0.549021959,0.465329343
0.55238332,0.468611555
0.555247605,0.470321643
0.558361521,0.472889298
0.560520677,0.474886925
0.562920711,0.477170071
0.565075489,0.478881674
0.568191594,0.481592342
0.570598193,0.484304525
0.573948612,0.486871675
0.576819462,0.4890108
0.5796925,0.491292936
0.582092534,0.493576082
0.584258254,0.496002746
0.586896978,0.498428399
0.59024302,0.500709525
0.592634301,0.502420623
0.594307322,0.503561186
0.596935105,0.505271778
0.598853382,0.506983885
0.602197236,0.509121999
0.606491475,0.511544118
0.609830953,0.513396207
0.614120815,0.515532301
0.617219414,0.517098871
0.619840632,0.518380427
0.622464039,0.519804995
0.626276521,0.521656074
0.629368555,0.522793607
0.632703656,0.524359672
0.636511761,0.525924727
0.641500189,0.527344245
0.644600976,0.529053827
0.647226571,0.530621407
0.651039053,0.532472487
0.654144216,0.534468094
0.657481506,0.536177171
0.660352356,0.538316295
0.664169214,0.540453399
0.667506503,0.542162476
0.670850357,0.54430059
0.674198588,0.546724729
0.67706725,0.548720841
0.680641041,0.550429413
0.683262259,0.551710969
0.686117791,0.552849007
0.690158022,0.554127532
0.692538361,0.555123568
0.694923077,0.556405629
0.699188869,0.556968588
0.704884615,0.558243579
0.709380344,0.558376996
0.715065149,0.558936925
0.718378367,0.559072868
0.723817916,0.559061253
0.726890256,0.558911676
0.731147294,0.558902586
0.73492914,0.558751494
0.739416116,0.558312863
0.743432276,0.558018253
0.749099574,0.557434085
0.753352237,0.55713897
0.757587392,0.555699758
0.761824736,0.554403558
0.766307336,0.553678902
0.770323496,0.553384293
0.775500284,0.551657036
0.779275565,0.551076907
0.783760352,0.550495263
0.788236387,0.549341571
0.791056906,0.548191413
0.795298627,0.547181237
0.797652707,0.546461126
0.80046885,0.545024943
0.805172634,0.543298697
0.810108543,0.54128592
0.815044452,0.539273144
0.819765742,0.538690995
0.824248341,0.537966339
0.828017057,0.536957174
0.831792339,0.536377045
0.836522381,0.536366945
0.840788173,0.536929904
0.845999973,0.537490844
0.849797137,0.538340837
0.853837368,0.539619363
0.857873223,0.540611864
0.861661633,0.540889809
0.865677793,0.540595199
0.871577217,0.539724501
0.876298507,0.539142352
0.881965805,0.538558184
0.884790701,0.53769405
0.888095167,0.537257944
0.890920063,0.53639381
0.896107792,0.535381615
0.899405692,0.534516472
0.903660543,0.53436437
0.908134389,0.533067664
0.912616988,0.532343008
0.916385705,0.531333843
0.920877057,0.531181236
0.925123154,0.530457085
0.927245109,0.530023503
0.931482453,0.528727303
0.935958487,0.52757361
0.938779007,0.526423452
0.940408263,0.52470377
0.944168226,0.523122556
0.946044925,0.52211743
0.949783006,0.519106093
0.952592584,0.517240874
0.955649605,0.516090211
0.957988367,0.514369014
0.960563632,0.512647312
0.962440331,0.511642186
0.965490788,0.510062487
0.968528115,0.507624713
0.971565442,0.50518694
0.974852401,0.503606735
0.976245155,0.501887558
0.979293423,0.500164847
0.981627809,0.498157625
0.982781872,0.496295941
0.985834517,0.494859253
0.987459396,0.492853547
0.989314213,0.490418299
0.993063234,0.488122023
0.994939934,0.487116897
0.999170713,0.48539166
1.001513852,0.483956488
1.003852614,0.482235291
1.006204506,0.481372167
1.009489276,0.479648951
1.012546298,0.478498288
1.015130315,0.477348635
1.016996073,0.475628448
1.02029835,0.475049329
1.022168484,0.473615166
1.026162761,0.471890435
1.028271586,0.470598779
1.03156511,0.469447612
1.033910437,0.468155451
1.037199584,0.466718259
1.040497485,0.465853116
1.043322381,0.464988982
