OC-LVM-F,
W,R
0.553850988,0.311426035
0.557234661,0.311865729
0.562299464,0.312304117
0.565704553,0.313186116
0.570769356,0.313624505
0.579217832,0.314502587
0.589326021,0.31493706
0.594347992,0.314490839
0.599369964,0.314044619
0.60609448,0.314039397
0.612861827,0.314918785
0.619586343,0.314913564
0.626375105,0.316235257
0.629758779,0.316674951
0.638207255,0.317553033
0.646655731,0.318431116
0.651720534,0.318869505
0.66016901,0.319747587
0.666936357,0.320626975
0.670341446,0.321508974
0.677065962,0.321503753
0.683790478,0.321498531
0.690514994,0.32149331
0.69896347,0.322371393
0.704028273,0.322809781
0.712433917,0.322803255
0.715796175,0.322800644
0.720775315,0.321469814
0.727457,0.320579983
0.730755011,0.319250459
0.734095853,0.318805543
0.740777538,0.317915713
0.747459222,0.317025882
0.750778649,0.316138662
0.754098075,0.315251442
0.757417502,0.314364222
0.759012968,0.312593698
0.760651266,0.311707783
0.763970693,0.310820563
0.767247288,0.309048734
0.770566715,0.308161514
0.77384331,0.306389684
0.773800479,0.305505075
0.777077074,0.303733246
0.7803965,0.302846026
0.780310838,0.301076807
0.781949135,0.300190892
0.783587433,0.299304978
0.783501771,0.297535759
0.786821197,0.296648539
0.790097792,0.294876709
0.793374388,0.29310488
0.793310141,0.291777966
0.796586736,0.290006137
0.798182202,0.288235613
0.7998205,0.287349698
0.803097095,0.285577869
0.803032848,0.284250955
0.804628315,0.282480431
0.806223781,0.280709907
0.807819247,0.278939383
0.807755,0.277612468
0.811053011,0.276282944
0.812648478,0.27451242
0.814243944,0.272741896
0.815860826,0.271413676
0.815796579,0.270086762
0.817392046,0.268316238
0.819008928,0.266988019
0.818901849,0.264776496
0.822221276,0.263889276
0.822092782,0.261235448
0.825412209,0.260348228
0.827029091,0.259020008
0.828603141,0.256807179
0.830220023,0.25547896
0.831836905,0.254150741
0.836816045,0.252819911
0.840071225,0.250605777
0.841666691,0.248835253
0.841581029,0.247066034
0.844879039,0.245736509
0.848198466,0.244849289
0.849772517,0.242636461
0.851367983,0.240865937
0.852984865,0.239537717
0.857921174,0.237322278
0.85951664,0.235551754
0.862793235,0.233779924
0.864388702,0.2320094
0.867665297,0.230237571
0.870963308,0.228908046
0.872558774,0.227137522
0.875792538,0.224481084
0.874175656,0.225809303
0.877388005,0.22271056
0.8806646,0.22093873
0.885622324,0.219165595
0.89062288,0.21827707
0.893899475,0.216505241
0.898878615,0.215174411
0.900516913,0.214288496
0.903836339,0.213401276
0.910518024,0.212511445
0.913837451,0.211624225
0.917135461,0.210294701
0.920412057,0.208522871
0.925412612,0.207634346
0.930455999,0.20763043
0.935499386,0.207626514
0.942223902,0.207621293
0.945607576,0.208060987
0.952374923,0.208940375
0.957461141,0.209821068
0.964185657,0.209815847
0.972676964,0.211578539
0.979487143,0.213342536
0.986297321,0.215106533
0.988021282,0.215989837
0.99483146,0.217753835
0.998236549,0.218635833
1.001641638,0.219517832
1.005089559,0.22128444
1.010175777,0.222165133
1.013580866,0.223047132
1.018667085,0.223927825
1.020391045,0.224811129
1.023838966,0.226577737
1.025562926,0.227461041
1.03067056,0.228784039
1.032415936,0.230109648
1.03584244,0.231433952
1.042588372,0.231871035
1.047717422,0.233636338
