OC-GS-F,
W,R
0.878885006,0.147767217
0.883556665,0.146824319
0.888223586,0.146117146
0.890559416,0.145645697
0.895228706,0.144820661
0.898727712,0.144349212
0.902229088,0.1437599
0.908054447,0.143288451
0.913879807,0.142817002
0.918539621,0.142463416
0.923197066,0.142227691
0.927849773,0.142227691
0.934826465,0.142345553
0.942961595,0.14269914
0.946444019,0.143052727
0.953415972,0.143406314
0.955730481,0.143995625
0.959208166,0.144584936
0.962690589,0.144938523
0.96733382,0.145409972
0.971972313,0.146117146
0.973126014,0.146588595
0.974279715,0.147060044
0.977759769,0.147531493
0.980074278,0.148120804
0.984719878,0.148474391
0.985868841,0.149181564
0.989348895,0.149653014
0.990500227,0.150242325
0.995141089,0.150831636
0.99629479,0.151303085
1.000933283,0.152010259
1.005571776,0.152717432
1.011368708,0.15366033
1.011354494,0.154367504
1.01482981,0.155074678
1.018305126,0.155781851
1.022936512,0.156842611
1.026414198,0.157431923
1.028726337,0.158139096
1.032204023,0.158728408
1.039173607,0.159199857
1.040324939,0.159789168
1.042637079,0.160496342
1.046114764,0.161085653
1.05308198,0.161674964
1.057722842,0.162264275
1.062356597,0.163207174
1.068153529,0.164150072
1.073955198,0.164857245
1.080922414,0.165446557
1.087882523,0.166389455
1.090185186,0.167568077
1.094818941,0.168510975
1.099452696,0.169453873
1.105251997,0.170278909
1.106393853,0.17133967
1.115722957,0.170161047
1.115696898,0.171457532
1.122654638,0.172518292
1.124957301,0.173696915
1.127255227,0.175111262
1.12722443,0.176643471
1.134191646,0.177232783
1.137650379,0.178764992
1.139957781,0.17970789
1.145799723,0.178411405
1.155100399,0.17864713
1.159729417,0.179825752
1.165557145,0.179236441
1.170235911,0.177939956
1.176030474,0.179000717
1.176004415,0.180297201
1.179474994,0.1812401
1.181787133,0.181947273
1.182933727,0.182772309
1.185234022,0.184068794
1.187539054,0.185129554
1.194508639,0.185601003
1.203811684,0.185718866
1.210790744,0.185718866
1.214287382,0.185365279
1.218921137,0.186308177
1.227061005,0.186426039
1.229370776,0.187251075
1.231680546,0.188076111
1.232822402,0.189136871
1.236300087,0.189726182
1.238612227,0.190433356
1.240921997,0.191258392
1.246726036,0.191847703
1.250229781,0.19114053
1.252570348,0.190433356
1.252584562,0.189726182
1.257256221,0.188783284
1.261889976,0.189726182
1.265367661,0.190315494
1.268840609,0.19114053
1.269987203,0.191965565
1.271133796,0.192790601
1.271119582,0.193497775
1.272249593,0.195147846
1.272266176,0.194322811
1.278048894,0.195972882
1.28501611,0.196562194
1.292009384,0.19585502
1.296671567,0.195383571
1.303641152,0.19585502
1.310605999,0.196562194
1.315235016,0.197740816
1.316383978,0.19844799
1.317530572,0.199273026
1.324497788,0.199862337
1.330297089,0.200687373
1.340770418,0.200451648
1.347740002,0.200923097
1.351217687,0.201512409
1.354688266,0.202455307
1.357000405,0.20316248
1.361638898,0.203869654
1.363951038,0.204576827
1.370944313,0.203869654
1.375585175,0.204458965
1.377899683,0.205048276
1.38488822,0.204576827
1.388358798,0.205519725
1.389503023,0.206462624
1.394141516,0.207169797
1.401106363,0.207876971
