Brown University Keck/NASA Relab Spectrum PO-LAM-085-IA/CIPO85,
0.92,0.21344
0.925,0.20708
0.93,0.19995
0.935,0.19339
0.94,0.18645
0.945,0.1798
0.95,0.17392
0.955,0.16679
0.96,0.16085
0.965,0.15546
0.97,0.14935
0.975,0.14429
0.98,0.13942
0.985,0.13505
0.99,0.1305
0.995,0.12694
1,0.12306
1.005,0.11977
1.01,0.11643
1.015,0.11343
1.02,0.11092
1.025,0.10854
1.03,0.10693
1.035,0.10494
1.04,0.10325
1.045,0.10228
1.05,0.10108
1.055,0.09999
1.06,0.09931
1.065,0.09902
1.07,0.09885
1.075,0.0989
1.08,0.09917
1.085,0.09978
1.09,0.10049
1.095,0.10176
1.1,0.1032
1.105,0.10478
1.11,0.10663
1.115,0.10873
1.12,0.11073
1.125,0.11319
1.13,0.11515
1.135,0.11764
1.14,0.11997
1.145,0.12285
1.15,0.12552
1.155,0.128
1.16,0.13043
1.165,0.13286
1.17,0.13542
1.175,0.13796
1.18,0.14019
1.185,0.14312
1.19,0.14544
1.195,0.14826
1.2,0.1504
1.205,0.1532
1.21,0.15557
1.215,0.15757
1.22,0.16009
1.225,0.16269
1.23,0.16568
1.235,0.16851
1.24,0.1717
1.245,0.17519
1.25,0.17857
1.255,0.18205
1.26,0.18557
1.265,0.1894
1.27,0.19315
1.275,0.19725
1.28,0.20134
1.285,0.2055
1.29,0.21018
1.295,0.21447
1.3,0.21937
1.305,0.22421
1.31,0.22953
1.315,0.23439
1.32,0.24036
1.325,0.24599
1.33,0.25157
1.335,0.25772
1.34,0.26414
1.345,0.27069
1.35,0.27769
1.355,0.28491
1.36,0.29241
1.365,0.2984
1.37,0.30539
1.375,0.31287
1.38,0.32206
1.385,0.32775
1.39,0.33666
1.395,0.34442
1.4,0.35224
1.405,0.3605
1.41,0.36788
1.415,0.37606
1.42,0.38428
1.425,0.3928
1.43,0.40182
1.435,0.41043
1.44,0.41878
1.445,0.42725
1.45,0.43593
1.455,0.44359
1.46,0.45225
1.465,0.45873
1.47,0.46772
1.475,0.4765
1.48,0.48366
1.485,0.49127
1.49,0.49923
1.495,0.50712
1.5,0.51371
1.505,0.52104
1.51,0.52685
1.515,0.53513
1.52,0.54208
1.525,0.54809
1.53,0.55388
1.535,0.55883
1.54,0.56595
1.545,0.57047
1.55,0.57637
1.555,0.58177
1.56,0.58665
1.565,0.59135
1.57,0.59615
1.575,0.59954
1.58,0.60424
1.585,0.60846
1.59,0.61163
1.595,0.61513
1.6,0.61937
1.605,0.62157
1.61,0.62565
1.615,0.62737
1.62,0.63075
1.625,0.63311
1.63,0.63522
1.635,0.63743
1.64,0.63797
1.645,0.64139
1.65,0.64442
1.655,0.64573
1.66,0.64371
1.665,0.64545
1.67,0.64523
1.675,0.64703
1.68,0.64873
1.685,0.65203
1.69,0.65161
1.695,0.65219
1.7,0.65412
1.705,0.65446
1.71,0.65597
1.715,0.65715
1.72,0.6575
1.725,0.65812
1.73,0.65844
1.735,0.65923
1.74,0.66068
1.745,0.66141
1.75,0.66299
1.755,0.66426
1.76,0.66475
1.765,0.6655
1.77,0.66579
1.775,0.66722
1.78,0.66832
1.785,0.6679
1.79,0.6694
1.795,0.67118
1.8,0.67125
1.805,0.6716
1.81,0.67215
1.815,0.6729
1.82,0.67131
1.825,0.67252
1.83,0.67253
1.835,0.67364
1.84,0.67156
1.845,0.67506
1.85,0.67367
1.855,0.67582
1.86,0.67462
1.865,0.67823
1.87,0.67543
1.875,0.67349
1.88,0.67619
1.885,0.67738
1.89,0.67688
1.895,0.67749
1.9,0.67746
1.905,0.67458
1.91,0.67674
1.915,0.67561
1.92,0.67602
1.925,0.67695
1.93,0.67571
1.935,0.67736
1.94,0.6767
1.945,0.67787
1.95,0.678
1.955,0.67854
1.96,0.67934
1.965,0.6795
1.97,0.67976
1.975,0.68023
1.98,0.68074
1.985,0.68131
1.99,0.68125
1.995,0.68199
2,0.6813
2.005,0.68147
2.01,0.68225
2.015,0.68224
2.02,0.68292
2.025,0.68137
2.03,0.68198
2.035,0.6814
2.04,0.68107
2.045,0.68166
2.05,0.68097
2.055,0.68102
2.06,0.68173
2.065,0.68166
2.07,0.68095
2.075,0.68092
2.08,0.68097
2.085,0.68083
2.09,0.68029
2.095,0.68046
2.1,0.68031
2.105,0.68154
2.11,0.68145
2.115,0.68091
2.12,0.68115
2.125,0.68054
2.13,0.6793
2.135,0.67856
2.14,0.67871
2.145,0.67918
2.15,0.68037
2.155,0.67967
2.16,0.67805
2.165,0.67825
2.17,0.67863
2.175,0.68107
2.18,0.68073
2.185,0.68025
2.19,0.68019
2.195,0.68036
2.2,0.67946
2.205,0.67867
2.21,0.67899
2.215,0.6786
2.22,0.67941
2.225,0.67929
2.23,0.67933
2.235,0.67769
2.24,0.67727
2.245,0.67664
2.25,0.67476
2.255,0.67257
2.26,0.67021
2.265,0.6673
2.27,0.6649
2.275,0.66174
2.28,0.66104
2.285,0.65939
2.29,0.65795
2.295,0.65578
2.3,0.65501
2.305,0.65432
2.31,0.65472
2.315,0.65502
2.32,0.65638
2.325,0.65912
2.33,0.66048
2.335,0.66248
2.34,0.66392
2.345,0.66478
2.35,0.6646
2.355,0.6656
2.36,0.66572
2.365,0.66986
2.37,0.66916
2.375,0.66958
2.38,0.67004
2.385,0.67
2.39,0.669
2.395,0.66841
2.4,0.66801
2.405,0.66933
2.41,0.66992
2.415,0.67129
2.42,0.6693
2.425,0.66968
2.43,0.66994
2.435,0.66805
2.44,0.66695
2.445,0.66486
2.45,0.66092
2.455,0.65725
2.46,0.65486
2.465,0.6552
2.47,0.65656
2.475,0.65718
2.48,0.65892
2.485,0.65904
2.49,0.65905
2.495,0.65782
2.5,0.65962
2.505,0.65818
2.51,0.65791
2.515,0.65898
2.52,0.66003
2.525,0.66293
2.53,0.66484
2.535,0.66211
2.54,0.66901
2.545,0.66551
2.55,0.66419
2.555,0.66891
2.56,0.6759
2.565,0.6631
2.57,0.67224
2.575,0.66701
2.58,0.67782
2.585,0.66666
2.59,0.67802
2.595,0.66347
2.6,0.68543

