KC-Ol-hem_1,
W,R
0.75674,0.65679
0.75719,0.65617
0.75763,0.65569
0.75807,0.65493
0.75851,0.65494
0.75896,0.65558
0.7594,0.65522
0.75985,0.65431
0.76029,0.6533
0.76074,0.65287
0.76119,0.6528
0.76163,0.65244
0.76208,0.65217
0.76253,0.65135
0.76298,0.65049
0.76343,0.65023
0.76388,0.64989
0.76433,0.64957
0.76478,0.64937
0.76523,0.649
0.76568,0.64812
0.76614,0.64723
0.76659,0.64674
0.76704,0.64678
0.7675,0.64692
0.76795,0.64636
0.76841,0.64586
0.76886,0.64618
0.76932,0.64657
0.76977,0.64569
0.77023,0.64418
0.77069,0.64338
0.77115,0.64267
0.77161,0.64236
0.77207,0.64266
0.77253,0.6423
0.77299,0.64117
0.77345,0.64062
0.77391,0.64085
0.77437,0.64069
0.77484,0.64024
0.7753,0.6396
0.77576,0.6386
0.77623,0.63784
0.77669,0.63783
0.77716,0.63793
0.77762,0.63709
0.77809,0.63684
0.77856,0.63717
0.77903,0.63681
0.7795,0.63625
0.77996,0.63513
0.78043,0.63404
0.7809,0.63358
0.78138,0.63321
0.78185,0.63288
0.78232,0.6324
0.78279,0.63165
0.78326,0.63097
0.78374,0.63079
0.78421,0.63083
0.78469,0.63107
0.78516,0.63122
0.78564,0.63087
0.78611,0.63051
0.78659,0.6302
0.78707,0.62988
0.78755,0.62922
0.78803,0.62837
0.7885,0.62767
0.78898,0.62708
0.78946,0.62688
0.78995,0.62643
0.79043,0.62541
0.79091,0.62484
0.79139,0.62455
0.79188,0.62441
0.79236,0.62488
0.79284,0.6246
0.79333,0.62392
0.79382,0.62374
0.7943,0.62298
0.79479,0.62247
0.79528,0.62262
0.79576,0.62224
0.79625,0.62156
0.79674,0.62125
0.79723,0.62083
0.79772,0.6197
0.79822,0.61866
0.79871,0.61826
0.7992,0.61813
0.79969,0.61794
0.80019,0.61773
0.80068,0.61782
0.80117,0.61783
0.80167,0.61764
0.80217,0.61678
0.80266,0.61574
0.80316,0.61567
0.80366,0.61573
0.80416,0.61536
0.80466,0.6143
0.80516,0.61348
0.80566,0.61372
0.80616,0.61355
0.80666,0.61289
0.80716,0.6124
0.80766,0.61201
0.80817,0.61165
0.80867,0.61144
0.80918,0.61149
0.80968,0.61146
0.81019,0.61153
0.81069,0.61125
0.8112,0.61035
0.81171,0.60963
0.81222,0.60907
0.81273,0.60877
0.81324,0.60842
0.81375,0.60798
0.81426,0.60782
0.81477,0.60769
0.81528,0.60764
0.8158,0.60723
0.81631,0.60657
0.81682,0.60605
0.81734,0.60571
0.81786,0.60586
0.81837,0.60548
0.81889,0.60461
0.81941,0.6046
0.81992,0.60454
0.82044,0.60361
0.82096,0.60301
0.82148,0.60301
0.822,0.60286
0.82253,0.60228
0.82305,0.60175
0.82357,0.6019
0.82409,0.60152
0.82462,0.60055
0.82514,0.60041
0.82567,0.60047
0.8262,0.60032
0.82672,0.60017
0.82725,0.59994
0.82778,0.59929
0.82831,0.59848
0.82884,0.59844
0.82937,0.5986
0.8299,0.59838
0.83043,0.5979
0.83096,0.59768
0.8315,0.59772
0.83203,0.59732
0.83256,0.59676
0.8331,0.59629
0.83363,0.59569
0.83417,0.59506
0.83471,0.59508
0.83525,0.59531
0.83578,0.59472
0.83632,0.5942
0.83686,0.59431
0.8374,0.5944
0.83794,0.59424
0.83849,0.59401
0.83903,0.59381
0.83957,0.59382
0.84012,0.59396
0.84066,0.59337
0.84121,0.5925
0.84175,0.59206
0.8423,0.592
0.84285,0.59219
0.8434,0.59186
0.84395,0.5913
0.8445,0.59135
0.84505,0.59132
0.8456,0.59126
0.84615,0.59115
0.8467,0.59053
0.84726,0.58988
0.84781,0.58964
0.84836,0.58975
0.84892,0.58942
0.84948,0.58888
0.85003,0.58887
0.85059,0.58861
0.85115,0.58842
0.85171,0.5884
0.85227,0.58803
0.85283,0.58772
0.85339,0.58773
0.85395,0.58774
0.85452,0.58727
0.85508,0.58682
0.85564,0.58697
0.85621,0.58683
0.85678,0.58612
0.85734,0.58589
0.85791,0.58643
0.85848,0.58653
0.85905,0.58586
0.85962,0.58483
0.86019,0.5844
0.86076,0.58499
0.86133,0.58525
0.8619,0.58487
0.86248,0.5846
0.86305,0.58435
0.86362,0.58391
0.8642,0.58393
0.86478,0.58405
0.86535,0.58388
0.86593,0.58371
0.86651,0.5834
0.86709,0.58308
0.86767,0.58302
0.86825,0.58303
0.86883,0.58293
0.86942,0.58275
0.87,0.58246
0.87058,0.58213
0.87117,0.58188
0.87176,0.58157
0.87234,0.58132
0.87293,0.58117
0.87352,0.58086
0.87411,0.58066
0.8747,0.5806
0.87529,0.58039
0.87588,0.58015
0.87647,0.57988
0.87706,0.57964
0.87766,0.5795
0.87825,0.57924
0.87885,0.57904
0.87944,0.57901
0.88004,0.57882
0.88064,0.57853
0.88124,0.5783
0.88184,0.57795
0.88244,0.57748
0.88304,0.57712
0.88364,0.57693
0.88424,0.57679
0.88485,0.57661
0.88545,0.57636
0.88606,0.57618
0.88666,0.57595
0.88727,0.57557
0.88788,0.575
0.88849,0.57451
0.8891,0.57441
0.88971,0.57437
0.89032,0.57417
0.89093,0.57401
0.89154,0.57368
0.89215,0.57319
0.89277,0.57269
0.89338,0.57228
0.894,0.5721
0.89462,0.57204
0.89524,0.57192
0.89585,0.57158
0.89647,0.5711
0.89709,0.5708
0.89772,0.57069
0.89834,0.57041
0.89896,0.56994
0.89958,0.56954
0.90021,0.56924
0.90083,0.56898
0.90146,0.56864
0.90209,0.56831
0.90272,0.56811
0.90335,0.56779
0.90398,0.56736
0.90461,0.56704
0.90524,0.56663
0.90587,0.56606
0.9065,0.56555
0.90714,0.56511
0.90777,0.56466
0.90841,0.56435
0.90905,0.56411
0.90968,0.56376
0.91032,0.56329
0.91096,0.56286
0.9116,0.56264
0.91225,0.56237
0.91289,0.56184
0.91353,0.56122
0.91418,0.56061
0.91482,0.56017
0.91547,0.55988
0.91611,0.55958
0.91676,0.55929
0.91741,0.5589
0.91806,0.55827
0.91871,0.55764
0.91936,0.55725
0.92001,0.55683
0.92067,0.55631
0.92132,0.55596
0.92198,0.55565
0.92263,0.55508
0.92329,0.55426
0.92395,0.55347
0.92461,0.55287
0.92527,0.55238
0.92593,0.55186
0.92659,0.5513
0.92725,0.55079
0.92792,0.55016
0.92858,0.54947
0.92925,0.54886
0.92991,0.54827
0.93058,0.54772
0.93125,0.54719
0.93192,0.54654
0.93259,0.54591
0.93326,0.54538
0.93393,0.54484
0.93461,0.54417
0.93528,0.54337
0.93596,0.54263
0.93663,0.54202
0.93731,0.54144
0.93799,0.54076
0.93867,0.54003
0.93935,0.53932
0.94003,0.53871
0.94071,0.53815
0.9414,0.53746
0.94208,0.53677
0.94276,0.53614
0.94345,0.53536
0.94414,0.53462
0.94483,0.53381
0.94551,0.533
0.94621,0.53242
0.9469,0.53186
0.94759,0.53115
0.94828,0.5304
0.94898,0.52973
0.94967,0.5291
0.95037,0.52846
0.95106,0.52773
0.95176,0.52699
0.95246,0.52623
0.95316,0.52541
0.95386,0.52462
0.95457,0.52384
0.95527,0.52312
0.95597,0.52241
0.95668,0.52167
0.95739,0.5208
0.95809,0.52007
0.9588,0.51953
0.95951,0.51886
0.96022,0.51805
0.96094,0.51712
0.96165,0.51622
0.96236,0.51551
0.96308,0.51483
0.96379,0.51404
0.96451,0.51322
0.96523,0.51256
0.96595,0.51188
0.96667,0.51111
0.96739,0.51042
0.96811,0.50971
0.96883,0.50886
0.96956,0.50806
0.97029,0.50734
0.97101,0.50653
0.97174,0.50562
0.97247,0.50489
0.9732,0.50422
0.97393,0.50348
0.97466,0.50281
0.9754,0.50217
0.97613,0.50144
0.97687,0.50052
0.9776,0.49966
0.97834,0.49892
0.97908,0.49818
0.97982,0.49745
0.98056,0.49676
0.9813,0.49602
0.98205,0.49526
0.98279,0.49449
0.98354,0.4937
0.98428,0.49294
0.98503,0.49223
0.98578,0.49161
0.98653,0.49102
0.98728,0.4903
0.98803,0.4895
0.98879,0.48867
0.98954,0.48795
0.9903,0.4873
0.99106,0.48671
0.99181,0.48604
0.99257,0.48533
0.99333,0.48469
0.9941,0.48399
0.99486,0.48321
0.99562,0.48253
0.99639,0.48189
0.99715,0.48125
0.99792,0.48067
0.99869,0.48
0.99946,0.47925
1.0002,0.4785
1.001,0.47786
1.0018,0.47732
1.0026,0.47669
1.0033,0.47604
1.0041,0.47548
1.0047,0.47637
1.0049,0.47674
1.0051,0.47656
1.0053,0.47552
1.0055,0.47352
1.0057,0.47241
1.0059,0.4734
1.0061,0.47512
1.0062,0.47603
1.0064,0.47576
1.0066,0.47455
1.0068,0.47293
1.007,0.47115
1.0072,0.46929
1.0074,0.46836
1.0076,0.46926
1.0078,0.4712
1.008,0.47267
1.0082,0.47305
1.0084,0.47283
1.0086,0.47323
1.0088,0.47445
1.009,0.47546
1.0092,0.47614
1.0094,0.47671
1.0096,0.47618
1.0098,0.47447
1.01,0.47319
1.0102,0.47266
1.0104,0.47223
1.0106,0.47218
1.0108,0.47247
1.011,0.47238
1.0112,0.4719
1.0114,0.47123
1.0115,0.47046
1.0117,0.47032
1.0119,0.47062
1.0121,0.47002
1.0123,0.46862
1.0125,0.46804
1.0127,0.46883
1.0129,0.46998
1.0131,0.47083
1.0133,0.47139
1.0135,0.47152
1.0137,0.4716
1.0139,0.47233
1.0141,0.47262
1.0143,0.47106
1.0145,0.46937
1.0147,0.46933
1.0149,0.46926
1.0151,0.46846
1.0153,0.46895
1.0155,0.47024
1.0157,0.46989
1.0159,0.46873
1.0161,0.46884
1.0163,0.46948
1.0165,0.46961
1.0167,0.46947
1.0169,0.46913
1.0171,0.46896
1.0173,0.46934
1.0175,0.46921
1.0177,0.4684
1.0179,0.46869
1.0181,0.47026
1.0183,0.47132
1.0185,0.47064
1.0187,0.46831
1.0189,0.466
1.0191,0.46575
1.0193,0.46699
1.0195,0.46763
1.0197,0.46721
1.0199,0.46634
1.0201,0.46571
1.0203,0.46553
1.0205,0.4647
1.0207,0.46335
1.0209,0.46393
1.0211,0.46656
1.0213,0.46824
1.0215,0.4676
1.0217,0.46582
1.0219,0.46424
1.0221,0.46361
1.0223,0.4639
1.0225,0.46473
1.0227,0.46554
1.0229,0.46555
1.0231,0.46478
1.0233,0.4643
1.0235,0.46445
1.0237,0.46477
1.0239,0.46488
