OC-AK-Ko5,
W,R
0.924545407,0.100481575
0.93105379,0.100481575
0.933644061,0.099434673
0.938844226,0.098911223
0.942740535,0.098213289
0.946656466,0.099085706
0.951871894,0.09978364
0.957089502,0.100656058
0.963604426,0.101179509
0.967518177,0.101877443
0.970128071,0.102400893
0.972737965,0.102924344
0.977949032,0.103273311
0.983160099,0.103622278
0.98706949,0.103971245
0.99097888,0.104320212
0.99488827,0.104669179
1.000103698,0.105367113
1.004013088,0.10571608
1.007924659,0.106239531
1.01183623,0.106762982
1.014443944,0.107111949
1.020956687,0.107460916
1.026161213,0.107286432
1.032673957,0.107635399
1.035281671,0.107984366
1.043096091,0.108333333
1.048304977,0.108507817
1.05481554,0.1086823
1.057425435,0.109205751
1.063942539,0.109903685
1.069151425,0.110078169
1.074362492,0.110427136
1.082174732,0.110601619
1.091293009,0.11112507
1.09910961,0.11164852
1.106932751,0.112695422
1.113452036,0.113567839
1.118663103,0.113916806
1.125178027,0.114440257
1.129089597,0.114963707
1.136904017,0.115312675
1.144716257,0.115487158
1.151229001,0.115836125
1.161648954,0.116359576
1.166862202,0.116883026
1.170767231,0.116883026
1.177277794,0.11705751
1.181189365,0.11758096
1.191607138,0.117929927
1.200723235,0.118278895
1.207235979,0.118627862
1.187697748,0.11758096
1.156437887,0.116010609
1.212449226,0.119151312
1.217653752,0.118976829
1.225465991,0.119151312
1.230670517,0.118976829
1.235881584,0.119325796
1.239788794,0.119500279
1.243700365,0.12002373
1.251508244,0.119849246
1.259316123,0.119674763
1.263223333,0.119849246
1.26843658,0.120372697
1.272343791,0.12054718
1.278854354,0.120721664
1.28406324,0.120896147
1.290573803,0.121070631
1.29578487,0.121419598
1.30359929,0.121768565
1.307508681,0.122117532
1.314019244,0.122292016
1.321833664,0.122640983
1.328346408,0.12298995
1.333553114,0.12298995
1.341369714,0.1235134
1.345274744,0.1235134
1.351783127,0.1235134
1.355688156,0.1235134
1.360897043,0.123687884
1.368709283,0.123862367
1.37392035,0.124211335
1.380433093,0.124560302
1.38564416,0.124909269
1.390855227,0.125258236
1.394760257,0.125258236
1.402572497,0.125432719
1.409087421,0.12595617
1.412996811,0.126305137
1.419507374,0.12647962
1.423414584,0.126654104
1.42862129,0.126654104
1.435131854,0.126828587
1.442948454,0.127352038
