SM_OLV_0,
W,R
2.05486313,0.84824602
2.067509114,0.849216173
2.085989615,0.851152401
2.096691408,0.8516401
2.105449009,0.851645344
2.122964212,0.851655832
2.134641014,0.851662825
2.144358087,0.855037677
2.156998244,0.857451698
2.169648113,0.857459273
2.180344079,0.85939084
2.193959246,0.861324155
2.202720732,0.86036682
2.210520805,0.856521167
2.228999363,0.858938684
2.238724205,0.860388379
2.255266341,0.860398284
2.261114453,0.857995334
2.272804851,0.8546333
2.276712656,0.850785316
2.28450496,0.84886482
2.293274215,0.845982328
2.300097336,0.843098671
2.307858564,0.848878805
2.319515943,0.85369869
2.332161927,0.854668844
2.344811796,0.854676418
2.350663793,0.851310889
2.364300324,0.847950021
2.372092628,0.846029525
2.385723333,0.844112525
2.395454001,0.844118352
2.409067225,0.846532956
2.417822884,0.847019489
2.42981692,0.844118352
2.441001361,0.846532956
2.452185803,0.847019489
2.463370244,0.844118352
2.474554686,0.846532956
2.485739127,0.847019489
2.496923569,0.844118352
2.50810801,0.846532956
2.519292452,0.847019489
2.530476893,0.846532956
