KC-OL-Im_10,
W,R
0.66003,0.42246
0.66037,0.42296
0.6607,0.42257
0.66104,0.42275
0.66138,0.42207
0.66172,0.42224
0.66205,0.42245
0.66239,0.42339
0.66273,0.42309
0.66307,0.4218
0.66341,0.42244
0.66375,0.42297
0.66409,0.42291
0.66443,0.42276
0.66477,0.42324
0.66511,0.42327
0.66545,0.42365
0.66579,0.42485
0.66614,0.42463
0.66648,0.42416
0.66682,0.42447
0.66716,0.42503
0.66751,0.42533
0.66785,0.42554
0.6682,0.42571
0.66854,0.42584
0.66889,0.42591
0.66923,0.42651
0.66958,0.42714
0.66992,0.42632
0.67027,0.42615
0.67062,0.42663
0.67096,0.42629
0.67131,0.42606
0.67166,0.42609
0.67201,0.42619
0.67236,0.42652
0.6727,0.42718
0.67305,0.42718
0.6734,0.42695
0.67375,0.42722
0.6741,0.42742
0.67445,0.42768
0.67481,0.42729
0.67516,0.42669
0.67551,0.42681
0.67586,0.42759
0.67621,0.42897
0.67657,0.42949
0.67692,0.42923
0.67727,0.42932
0.67763,0.42959
0.67798,0.42949
0.67834,0.42875
0.67869,0.42844
0.67905,0.42873
0.6794,0.4287
0.67976,0.42867
0.68012,0.42889
0.68047,0.42908
0.68083,0.42929
0.68119,0.42931
0.68155,0.42947
0.6819,0.43
0.68226,0.43067
0.68262,0.43081
0.68298,0.42999
0.68334,0.42989
0.6837,0.43035
0.68406,0.43027
0.68443,0.43063
0.68479,0.43113
0.68515,0.43117
0.68551,0.43032
0.68587,0.42934
0.68624,0.42947
0.6866,0.43055
0.68696,0.43111
0.68733,0.4307
0.68769,0.43115
0.68806,0.43167
0.68842,0.4316
0.68879,0.43193
0.68916,0.43214
0.68952,0.43221
0.68989,0.43214
0.69026,0.43205
0.69062,0.43217
0.69099,0.43235
0.69136,0.43179
0.69173,0.43116
0.6921,0.43146
0.69247,0.4319
0.69284,0.43222
0.69321,0.43214
0.69358,0.43231
0.69395,0.43279
0.69432,0.43278
0.6947,0.43275
0.69507,0.43269
0.69544,0.43262
0.69581,0.43276
0.69619,0.43303
0.69656,0.43251
0.69694,0.43182
0.69731,0.43193
0.69769,0.43192
0.69806,0.43188
0.69844,0.43205
0.69881,0.4326
0.69919,0.43328
0.69957,0.43381
0.69995,0.43376
0.70032,0.43331
0.7007,0.43323
0.70108,0.43258
0.70146,0.43213
0.70184,0.43244
0.70222,0.43309
0.7026,0.43382
0.70298,0.43335
0.70336,0.43252
0.70375,0.4323
0.70413,0.43223
0.70451,0.43255
0.70489,0.43327
0.70528,0.43263
0.70566,0.4319
0.70605,0.43262
0.70643,0.43343
0.70682,0.43391
0.7072,0.43306
0.70759,0.43246
0.70797,0.43286
0.70836,0.43266
0.70875,0.43272
0.70914,0.43326
0.70952,0.43328
0.70991,0.43291
0.7103,0.4335
0.71069,0.43353
0.71108,0.43242
0.71147,0.43229
0.71186,0.43272
0.71225,0.43326
0.71265,0.43302
0.71304,0.43276
0.71343,0.43298
0.71382,0.43263
0.71422,0.43243
0.71461,0.43236
0.715,0.43256
0.7154,0.43265
0.71579,0.43261
0.71619,0.4331
0.71658,0.43348
0.71698,0.43326
0.71738,0.43265
0.71777,0.43243
0.71817,0.43231
0.71857,0.43261
0.71897,0.4335
0.71937,0.43368
0.71977,0.43291
0.72017,0.43211
0.72057,0.43218
0.72097,0.43247
0.72137,0.43255
0.72177,0.43217
0.72217,0.4317
0.72258,0.43206
0.72298,0.43201
0.72338,0.4319
0.72379,0.43211
0.72419,0.43184
0.7246,0.43194
0.725,0.4323
0.72541,0.43234
0.72581,0.43219
0.72622,0.43211
0.72663,0.43235
0.72703,0.4323
0.72744,0.43148
0.72785,0.43045
0.72826,0.43033
0.72867,0.43067
0.72908,0.4305
0.72949,0.43033
0.7299,0.43054
0.73031,0.43066
0.73072,0.43049
0.73113,0.43061
0.73155,0.43106
0.73196,0.43071
0.73237,0.43004
0.73279,0.42993
0.7332,0.43028
0.73362,0.43065
0.73403,0.43022
0.73445,0.42943
0.73486,0.42931
0.73528,0.42973
0.7357,0.43032
0.73612,0.43063
0.73653,0.43012
0.73695,0.42916
0.73737,0.42874
0.73779,0.42888
0.73821,0.42935
0.73863,0.42994
0.73905,0.42979
0.73948,0.42938
0.7399,0.42914
0.74032,0.42855
0.74074,0.42829
0.74117,0.42842
0.74159,0.42812
0.74202,0.42761
0.74244,0.42753
0.74287,0.42758
0.74329,0.42724
0.74372,0.42716
0.74415,0.42747
0.74457,0.42757
0.745,0.42771
0.74543,0.42768
0.74586,0.42765
0.74629,0.42793
0.74672,0.42778
0.74715,0.42751
0.74758,0.42751
0.74801,0.42719
0.74844,0.42691
0.74887,0.42659
0.74931,0.42598
0.74974,0.42594
0.75017,0.42645
0.75061,0.42681
0.75104,0.42654
0.75148,0.4254
0.75191,0.42424
0.75235,0.42399
0.75279,0.42455
0.75323,0.42492
0.75366,0.42477
0.7541,0.42426
0.75454,0.42346
0.75498,0.42312
0.75542,0.4233
0.75586,0.42318
0.7563,0.42264
0.75674,0.42264
0.75719,0.42314
0.75763,0.42297
0.75807,0.42229
0.75851,0.42184
0.75896,0.42189
0.7594,0.42215
0.75985,0.42173
0.76029,0.42123
0.76074,0.42162
0.76119,0.42178
0.76163,0.42119
0.76208,0.4207
0.76253,0.42027
0.76298,0.4201
0.76343,0.42038
0.76388,0.42006
0.76433,0.41929
0.76478,0.41931
0.76523,0.41933
0.76568,0.41856
0.76614,0.41862
0.76659,0.41934
0.76704,0.41934
0.7675,0.41928
0.76795,0.41884
0.76841,0.41821
0.76886,0.41848
0.76932,0.41883
0.76977,0.41832
0.77023,0.41762
0.77069,0.41759
0.77115,0.41753
0.77161,0.4174
0.77207,0.41745
0.77253,0.41681
0.77299,0.41591
0.77345,0.41571
0.77391,0.41609
0.77437,0.41632
0.77484,0.4164
0.7753,0.41622
0.77576,0.41551
0.77623,0.41537
0.77669,0.41586
