OWN_OLV_0,
W,R
0.782520536,0.718811869
0.784075188,0.717656359
0.785629841,0.716067428
0.786407167,0.714767305
0.788350482,0.713322918
0.789516471,0.711733917
0.791071123,0.710722881
0.792237112,0.709278354
0.794180427,0.708411861
0.796123742,0.707256421
0.797289731,0.705811894
0.798067057,0.704945192
0.799233047,0.703789612
0.800399036,0.702634032
0.801953688,0.701189575
0.80350834,0.700034065
0.805451655,0.699167573
0.805840318,0.697722906
0.808172296,0.696567536
0.808949622,0.695700833
0.810892937,0.694256446
0.812836253,0.692812059
0.814390905,0.691656549
0.815945557,0.690501039
0.817500209,0.689490003
0.819054861,0.688478967
0.820609513,0.687467931
0.821775502,0.686312351
0.824884806,0.685012647
0.826828122,0.683857207
0.8291601,0.682990784
0.831103415,0.681257449
0.832658067,0.679812992
0.834601382,0.678657552
0.83693336,0.677502182
0.839265339,0.676057865
0.84198598,0.674758091
0.843929295,0.673602651
0.84587261,0.672447211
0.848593251,0.671436384
0.850536566,0.670280944
0.852479882,0.669414451
0.85481186,0.668548029
0.857143838,0.667537132
0.859475816,0.666237288
0.862196457,0.665659883
0.864139772,0.66479339
0.866471751,0.664071441
0.868803729,0.663060544
0.871913033,0.662483209
0.874245011,0.661327838
0.876188326,0.660316872
0.878131641,0.659305906
0.880852283,0.6587285
0.883572924,0.6575732
0.885516239,0.656851181
0.887459554,0.655984688
0.890180195,0.655118335
0.892123511,0.654107369
0.894455489,0.653240946
0.896010141,0.651940963
0.897564793,0.650929926
0.899896771,0.649485609
0.901451423,0.648041152
0.904560727,0.646885921
0.906504043,0.645586008
0.908058695,0.643997077
0.910779336,0.642552829
0.913111314,0.641397459
0.91388864,0.640097336
0.915831955,0.638797422
0.91777527,0.637353035
0.919329923,0.635908578
0.921273238,0.634753138
0.922050564,0.633597488
0.923605216,0.632153031
0.924771205,0.630852978
0.926325857,0.629841941
0.928269172,0.628397554
0.929435161,0.627241974
0.93060115,0.626230868
0.931767139,0.625219762
0.932933129,0.623919709
0.934487781,0.622764199
0.935265107,0.621464076
0.936819759,0.620308566
0.938374411,0.618864109
0.939151737,0.617130565
0.940706389,0.615830581
0.942261041,0.614530597
0.943038367,0.613086001
0.945370345,0.611641683
0.946147672,0.610197086
0.947702324,0.608608155
0.94847965,0.607308032
0.949645639,0.605574558
0.951200291,0.604130101
0.95236628,0.602685574
0.953920932,0.601530064
0.954698258,0.60022994
0.955864247,0.59864094
0.957418899,0.597340956
0.957807562,0.596040763
0.958973552,0.594596236
0.960528204,0.593151779
0.962471519,0.591851865
0.963248845,0.590262795
0.964803497,0.589107285
0.966358149,0.587662828
0.966897959,0.586547267
0.967707673,0.585343465
0.968787293,0.583939054
0.970136817,0.58273535
0.970676627,0.5815315
0.971756247,0.580528404
