AF_OL_010_0,
W,R
0.41647796,0.112677526
0.416966649,0.112800943
0.419968464,0.112946835
0.421463365,0.113071041
0.423962074,0.113216538
0.426458381,0.11338254
0.427950879,0.113527249
0.431199442,0.113714346
0.433700554,0.11383934
0.435693755,0.114004947
0.436939506,0.114108451
0.439186662,0.114253752
0.441936925,0.114399447
0.442935928,0.114461747
0.446186893,0.11462834
0.4476866,0.114711538
0.449689412,0.11479513
0.451943777,0.114878919
0.453194333,0.114941416
0.455192339,0.115066016
0.457187943,0.115211119
0.458685247,0.115314821
0.461679854,0.115522224
0.46317956,0.115605422
0.464930819,0.115688817
0.466931228,0.115792913
0.468680085,0.115896812
0.470932047,0.116001105
0.4726785,0.116125508
0.474676507,0.116250107
0.475673107,0.116332911
0.477922667,0.116457708
0.479424776,0.116520402
0.480672929,0.116603403
0.483420789,0.116769601
0.484918092,0.116873303
0.48767316,0.11697799
0.489920317,0.117123291
0.492414221,0.117309796
0.49416548,0.117393191
0.49666419,0.117538689
0.499165302,0.117663683
0.501163308,0.117788283
0.503412868,0.11791308
0.505662427,0.118037877
0.507665239,0.118121469
0.509917202,0.118225762
0.513676078,0.118351742
0.516931849,0.118477327
0.518182405,0.118539824
0.520683518,0.118664818
0.523687736,0.118790206
0.524686739,0.118852506
0.527695763,0.118936887
0.530201681,0.119020874
0.532456046,0.119104663
0.533958155,0.119167357
0.536468878,0.119210336
0.538476496,0.119252921
0.540232561,0.119295308
0.542999642,0.119297477
0.545258813,0.119340259
0.549281257,0.119363917
0.55179198,0.119406896
0.553804403,0.119408473
0.555572482,0.119348342
0.557846069,0.119268101
0.561375018,0.11920935
0.56213208,0.119189438
0.563902561,0.119108803
0.564913578,0.119068584
0.567438718,0.118988541
0.568955244,0.118928212
0.571226429,0.118868476
0.571981087,0.118869067
0.574513436,0.118727512
0.57628632,0.118626374
0.577302143,0.118545147
0.578816266,0.118505323
0.580335194,0.118424491
0.581597764,0.118384469
0.584122904,0.118304425
0.58588858,0.118264798
0.58766627,0.118122652
0.588428137,0.118061732
0.590965291,0.11787917
0.590965291,0.11787917
0.593492834,0.117778622
0.594757807,0.117718097
0.596777438,0.117658163
0.598293964,0.117597835
0.600315999,0.117517397
0.60183733,0.117416061
0.602848347,0.117375842
0.605136351,0.117172579
0.606916444,0.117009929
0.60794428,0.116826184
0.608449789,0.116806074
0.610732987,0.116643819
0.61301138,0.116522571
0.614537517,0.116380227
0.616310401,0.116279089
0.618837944,0.116178541
0.62161704,0.116078191
0.623382716,0.116038564
0.625910259,0.115938017
0.62792989,0.115878083
0.630962942,0.115757426
0.631969153,0.115758215
0.634491891,0.115698675
0.637019433,0.115598128
0.638531154,0.115578807
0.639293021,0.115517887
0.641564205,0.11545815
0.643581434,0.11541872
0.645847813,0.11539999
0.648116594,0.115360757
0.650133823,0.115321327
0.651897096,0.115302203
0.653665175,0.115242072
0.655682404,0.115202642
0.657196527,0.115162817
0.658713052,0.115102489
0.662749913,0.115003125
0.664767142,0.114963694
0.666281265,0.11492387
0.668801599,0.114884834
0.670823633,0.114804396
0.672845668,0.114723958
0.675375614,0.114602907
0.676135078,0.114562491
0.660481131,0.115042358
0.677907962,0.114461353
0.679429293,0.114360017
