BRU_LE4OLV_0,
W,R
1.368,0.561149
1.369,0.562403
1.37,0.563566
1.371,0.562955
1.372,0.56356
1.373,0.564612
1.374,0.565111
1.375,0.566479
1.376,0.567358
1.377,0.567505
1.378,0.568449
1.379,0.569878
1.38,0.57012
1.381,0.570881
1.382,0.571721
1.383,0.571868
1.384,0.572542
1.385,0.574282
1.386,0.574784
1.387,0.575252
1.388,0.575905
1.389,0.576826
1.39,0.577644
1.391,0.578532
1.392,0.579599
1.393,0.58049
1.394,0.580838
1.395,0.581206
1.396,0.581896
1.397,0.582855
1.398,0.583758
1.399,0.584408
1.4,0.585345
1.401,0.586588
1.402,0.587858
1.403,0.588628
1.404,0.589047
1.405,0.589811
1.406,0.590551
1.407,0.591457
1.408,0.592155
1.409,0.592335
1.41,0.593188
1.411,0.594146
1.412,0.595148
1.413,0.595956
1.414,0.596635
1.415,0.597953
1.416,0.599087
1.417,0.599966
1.418,0.600771
1.419,0.601285
1.42,0.602159
1.421,0.603188
1.422,0.604145
1.423,0.605236
1.424,0.605696
1.425,0.606642
1.426,0.607721
1.427,0.608899
1.428,0.609819
1.429,0.610441
1.43,0.611335
1.431,0.612214
1.432,0.612852
1.433,0.613996
1.434,0.61495
1.435,0.616296
1.436,0.617413
1.437,0.618715
1.438,0.619776
1.439,0.620829
1.44,0.620683
1.441,0.621747
1.442,0.622805
1.443,0.623895
1.444,0.625157
1.445,0.626389
1.446,0.627161
1.447,0.627988
1.448,0.629248
1.449,0.630086
1.45,0.631165
1.451,0.632373
1.452,0.633405
1.453,0.634209
1.454,0.635085
1.455,0.636248
1.456,0.637413
1.457,0.638377
1.458,0.639104
1.459,0.640426
1.46,0.641134
1.461,0.642378
1.462,0.643846
1.463,0.644147
1.464,0.645227
1.465,0.646625
1.466,0.647818
1.467,0.648327
1.468,0.648956
1.469,0.650104
1.47,0.651708
1.471,0.652732
1.472,0.652976
1.473,0.654654
1.474,0.655866
1.475,0.65669
1.476,0.658101
1.477,0.658655
1.478,0.659978
1.479,0.660278
1.48,0.66229
1.481,0.662354
1.482,0.663828
1.483,0.665106
1.484,0.665831
1.485,0.666785
1.486,0.668001
1.487,0.669273
1.488,0.670347
1.489,0.671317
1.49,0.67193
1.491,0.673118
1.492,0.673836
1.493,0.675274
1.494,0.676343
1.495,0.677136
1.496,0.677892
1.497,0.678646
1.498,0.680097
1.499,0.680933
1.5,0.682065
1.501,0.683539
1.502,0.683354
1.503,0.68472
1.504,0.686242
1.505,0.687438
1.506,0.688155
1.507,0.690834
1.508,0.691003
1.509,0.69163
1.51,0.692233
1.511,0.693565
1.512,0.69382
1.513,0.695312
1.514,0.696239
1.515,0.697183
1.516,0.698601
1.517,0.700269
1.518,0.700974
1.519,0.700983
1.52,0.702536
1.521,0.702916
1.522,0.704647
1.523,0.70502
1.524,0.706794
1.525,0.706708
1.526,0.70816
1.527,0.709057
1.528,0.710283
1.529,0.711864
1.53,0.71237
1.531,0.71349
1.532,0.714175
1.533,0.715448
1.534,0.716116
1.535,0.717407
1.536,0.718156
1.537,0.719327
1.538,0.720034
1.539,0.721339
1.54,0.722177
1.541,0.722282
1.542,0.72327
1.543,0.724456
1.544,0.72528
1.545,0.726736
1.546,0.727169
1.547,0.728239
1.548,0.729228
1.549,0.729882
1.55,0.731358
1.551,0.732118
1.552,0.733193
1.553,0.73389
1.554,0.734765
1.555,0.735832
1.556,0.736739
1.557,0.737448
1.558,0.738226
1.559,0.739228
1.56,0.740142
1.561,0.74138
1.562,0.741454
1.563,0.742542
1.564,0.743742
1.565,0.744329
1.566,0.745653
1.567,0.746104
1.568,0.746472
1.569,0.747531
1.57,0.749116
1.571,0.74939
1.572,0.750441
1.573,0.751385
1.574,0.752217
1.575,0.75271
1.576,0.754214
1.577,0.75517
1.578,0.755072
1.579,0.756133
1.58,0.757007
1.581,0.757164
1.582,0.757755
1.583,0.758649
1.584,0.759819
1.585,0.760669
1.586,0.761708
1.587,0.762279
1.588,0.763105
1.589,0.763397
1.59,0.764093
1.591,0.765347
1.592,0.766274
1.593,0.766876
1.594,0.767157
1.595,0.767647
1.596,0.768826
1.597,0.769336
1.598,0.769988
1.599,0.770476
1.6,0.771329
1.601,0.7721
1.602,0.772351
1.603,0.773122
1.604,0.773684
1.605,0.774443
1.606,0.774899
1.607,0.775815
1.608,0.776954
1.609,0.777547
1.61,0.778312
1.611,0.779524
1.612,0.780115
1.613,0.779983
1.614,0.780866
1.615,0.781409
1.616,0.782034
1.617,0.782971
1.618,0.783646
1.619,0.783865
1.62,0.784006
1.621,0.784926
1.622,0.785282
1.623,0.785717
1.624,0.7868
1.625,0.787543
1.626,0.788357
1.627,0.788645
1.628,0.789106
1.629,0.78933
1.63,0.789981
1.631,0.790407
1.632,0.791329
1.633,0.791887
1.634,0.792523
1.635,0.793011
1.636,0.793558
1.637,0.793938
1.638,0.794371
1.639,0.794748
1.64,0.795315
1.641,0.795594
1.642,0.796278
1.643,0.797261
1.644,0.798396
1.645,0.79826
