Brown University Keck/NASA Relab Spectrum OC-TXH-015-D/C1OC15D,,
W,R,Standard Deviation
2.065,0.25391,0.00544
2.07,0.25391,0.00627
2.075,0.25352,0.00616
2.08,0.25363,0.00555
2.085,0.25387,0.00617
2.09,0.25319,0.00572
2.095,0.25403,0.00557
2.1,0.25431,0.00591
2.105,0.25368,0.00577
2.11,0.25467,0.00551
2.115,0.25515,0.00525
2.12,0.2546,0.00514
2.125,0.25476,0.00495
2.13,0.25437,0.00569
2.135,0.25467,0.00616
2.14,0.25443,0.00561
2.145,0.25432,0.00577
2.15,0.25485,0.0054
2.155,0.25498,0.00608
2.16,0.25471,0.00577
2.165,0.25457,0.00507
2.17,0.25365,0.00579
2.175,0.25338,0.00603
2.18,0.25415,0.0058
2.185,0.25418,0.00497
2.19,0.25361,0.00548
2.195,0.25375,0.00583
2.2,0.25399,0.00601
2.205,0.25349,0.00603
2.21,0.25323,0.0048
2.215,0.25381,0.00572
2.22,0.25324,0.00563
2.225,0.25405,0.00513
2.23,0.25371,0.00596
2.235,0.25373,0.00604
2.24,0.25393,0.00637
2.245,0.25344,0.00608
2.25,0.25383,0.00565
2.255,0.25447,0.00573
2.26,0.25431,0.00597
2.265,0.25401,0.0059
2.27,0.25359,0.00569
2.275,0.25438,0.00573
2.28,0.25426,0.00582
2.285,0.25376,0.00531
2.29,0.25501,0.00538
2.295,0.25417,0.00554
2.3,0.25437,0.00578
2.305,0.25371,0.00593
2.31,0.25428,0.00572
2.315,0.25411,0.00549
2.32,0.25411,0.00519
2.325,0.2539,0.00553
2.33,0.25362,0.00562
2.335,0.2544,0.00513
2.34,0.25467,0.00565
2.345,0.25376,0.00565
2.35,0.25431,0.00539
2.355,0.25364,0.00519
2.36,0.25307,0.00515
2.365,0.25343,0.00494
2.37,0.25376,0.00556
2.375,0.25319,0.0056
2.38,0.2529,0.00609
2.385,0.25359,0.00612
2.39,0.25317,0.00544
2.395,0.25354,0.00612
2.4,0.25393,0.00586
2.405,0.25409,0.00605
2.41,0.25387,0.00588
2.415,0.25437,0.00616
2.42,0.25368,0.00638
2.425,0.25356,0.00589
2.43,0.25306,0.00644
2.435,0.25329,0.00594
2.44,0.25424,0.0054
2.445,0.25425,0.00575
2.45,0.25351,0.00565
2.455,0.25338,0.00597
2.46,0.25419,0.00576
2.465,0.25317,0.00607
2.47,0.25394,0.00646
2.475,0.25371,0.00601
2.48,0.25399,0.00582
2.485,0.25372,0.00614
2.49,0.25392,0.00612
2.495,0.25331,0.00637
2.5,0.25341,0.00599
2.505,0.25467,0.00608
2.51,0.2554,0.00597
2.515,0.25444,0.00585
2.52,0.25492,0.00609
2.525,0.25472,0.00697
2.53,0.25551,0.00646
2.535,0.25446,0.00647
2.54,0.25556,0.00625
2.545,0.25558,0.00647
2.55,0.25384,0.00689
2.555,0.25412,0.00689
2.56,0.25516,0.00749
2.565,0.25533,0.00789
2.57,0.25463,0.00758
2.575,0.25595,0.00764
2.58,0.25419,0.00833
2.585,0.25364,0.00839
2.59,0.2552,0.00857
2.595,0.25568,0.009
2.6,0.25522,0.0084
