MY_EN_600,
W,R
1.398635704,0.518821544
1.404241572,0.519590532
1.413042263,0.521664465
1.419493433,0.522576013
1.428327178,0.524966975
1.435965313,0.525627477
1.446399706,0.525832901
1.453118725,0.524916901
1.456686689,0.524966975
1.46431906,0.524306473
1.47194855,0.522985469
1.478487289,0.521664465
1.485026028,0.520343461
1.486705828,0.518504903
1.492652636,0.518361955
1.499464756,0.515112311
1.506552813,0.514729873
1.51423901,0.511357842
1.521103531,0.50954846
1.527528832,0.506372994
1.534381216,0.505205943
1.540956746,0.502220462
1.547808227,0.500846462
1.551826494,0.497284241
1.558544181,0.496062908
1.563907619,0.492630736
1.570758444,0.491106331
1.577197264,0.487605176
1.584044571,0.485274466
1.588062395,0.481610467
1.595433363,0.476029653
1.595450533,0.47996506
1.602819725,0.473977135
1.608061813,0.47014531
1.613509801,0.468824306
1.620039895,0.465521797
1.626575753,0.463540291
1.632017978,0.460898283
1.636369452,0.458256275
1.64106165,0.455809806
1.645218552,0.453204295
1.648333126,0.450330251
1.652690364,0.449009247
1.657041839,0.446367239
1.662486946,0.444385733
1.666841302,0.442404227
1.674465028,0.439762219
1.681000885,0.437780713
1.689372335,0.434029366
1.695862271,0.431971194
1.700599812,0.42985469
1.706042037,0.427212682
1.711487144,0.425231176
1.718023001,0.42324967
1.722377358,0.421268164
1.729911143,0.418396303
1.736451461,0.416145561
1.741979166,0.414002642
1.748515023,0.412021136
1.75286938,0.41003963
1.759402355,0.407397622
1.768119713,0.405416116
1.77261073,0.404920929
1.779988877,0.400985522
1.786566005,0.398366441
1.793423437,0.398356264
1.797444369,0.395404709
1.804355062,0.394394201
1.810737067,0.391079154
1.818032482,0.388726957
1.826858273,0.387862977
1.83438062,0.386159896
1.842442762,0.384904637
1.850507717,0.384293971
1.858580072,0.3853796
1.866647691,0.3853796
1.875247822,0.384158267
1.882481051,0.386230832
1.88801869,0.386261559
1.897586441,0.388331155
1.902212855,0.389564069
1.909850989,0.390224571
1.916404137,0.392206077
1.919682152,0.393527081
1.92473354,0.395421672
1.932879528,0.394706143
1.940345006,0.396778708
1.947384271,0.399221374
1.951348496,0.401453104
1.957904526,0.404095112
1.96825848,0.406752928
1.975662974,0.408856335
1.977572615,0.412021136
1.984134408,0.415984148
1.989602569,0.419286658
1.992889229,0.422589168
1.998892809,0.423981126
2.004907657,0.427212682
2.011460804,0.429194188
2.019835806,0.43327066
2.025669378,0.435799207
2.03004967,0.439762219
2.035514949,0.442404227
2.042070979,0.445046235
2.045357639,0.448348745
2.049807328,0.452675051
2.056854295,0.456883099
2.063959271,0.460378496
2.069362156,0.465987581
2.073395966,0.465987581
2.076776124,0.470262247
2.083522053,0.475513979
2.090266384,0.480399311
2.093512038,0.485336856
2.096210524,0.486790954
2.103761439,0.491635575
2.111850668,0.496588759
2.115387564,0.499207398
2.119638559,0.502516543
2.121958002,0.505151915
2.126996494,0.507957026
2.131405733,0.509955571
2.135093179,0.514618843
2.142869644,0.517928162
2.150279024,0.521151124
2.154766968,0.524966975
2.159138616,0.526948481
2.162419512,0.528929987
2.16788191,0.530911493
2.174435058,0.532892999
2.178803823,0.534214003
2.186513503,0.535969965
2.193376288,0.537186775
2.196278884,0.539498018
2.200653413,0.542140026
2.203934309,0.544121532
2.209396707,0.546103038
2.217040605,0.548084544
2.222508766,0.551387054
2.227060639,0.553064104
2.23452583,0.555070874
2.237802327,0.55667107
2.243267606,0.559313078
2.249823636,0.561955086
2.255286033,0.563936592
2.261844945,0.567239102
2.266219473,0.56988111
2.270840369,0.571429335
2.276217893,0.571225779
2.28148998,0.56988111
2.290221747,0.571202114
2.296766249,0.571202114
2.305489371,0.570541612
2.312039637,0.571862616
2.314165695,0.573697525
2.320922274,0.57738796
2.325325215,0.577943111
2.327588325,0.583009381
2.332071322,0.583235554
2.33410932,0.588069998
2.339880993,0.592599108
2.345447015,0.597932262
2.348252742,0.593820441
2.35185552,0.597755847
2.352701173,0.600799487
2.361730548,0.601103204
2.368819986,0.601037409
2.376977278,0.602912587
2.385276102,0.604541031
2.394020562,0.605581426
2.401737493,0.609253649
2.409380141,0.612710392
2.415238224,0.614786658
2.421313523,0.617437252
2.425676525,0.617437252
2.430036645,0.61677675
2.437669016,0.616116248
2.444213519,0.616116248
2.450755139,0.615455746
2.458603747,0.615261621
2.464258067,0.616862924
2.467125041,0.617437252
2.473672426,0.618097754
2.48021981,0.618758256
2.487857945,0.619418758
2.493311697,0.619418758
2.497609869,0.618156633
2.50365787,0.617534657
2.508570676,0.61677675
2.512927914,0.615455746
2.519469535,0.614795244
2.524920405,0.614134742
2.532552777,0.61347424
2.539094398,0.612813738
2.544645027,0.612208288
2.552174758,0.610832232
2.560777526,0.611580659
2.568315963,0.613565325
2.574123334,0.619427724
2.580995419,0.622776212
2.58944572,0.622434529
