KC-OPX-hem_1,
W,R
0.62563,0.33079
0.62593,0.33061
0.62623,0.32855
0.62654,0.32817
0.62684,0.32961
0.62714,0.33055
0.62744,0.33212
0.62775,0.33083
0.62805,0.3302
0.62836,0.32938
0.62866,0.32878
0.62897,0.32882
0.62927,0.32868
0.62958,0.32995
0.62988,0.32974
0.63019,0.33168
0.6305,0.33088
0.6308,0.32994
0.63111,0.33016
0.63142,0.33003
0.63173,0.33107
0.63203,0.33087
0.63234,0.3233
0.63327,0.35318
0.63358,0.32465
0.63389,0.33384
0.6342,0.33469
0.63451,0.33317
0.63482,0.33369
0.63513,0.33294
0.63544,0.33254
0.63575,0.3329
0.63607,0.33247
0.63638,0.33281
0.63669,0.33259
0.637,0.33425
0.63732,0.33582
0.63763,0.33617
0.63794,0.335
0.63826,0.33381
0.63857,0.33359
0.63889,0.33319
0.6392,0.334
0.63952,0.33493
0.63983,0.33564
0.64015,0.33614
0.64046,0.33598
0.64078,0.3351
0.6411,0.33452
0.64142,0.33502
0.64173,0.33551
0.64205,0.33589
0.64237,0.33622
0.64269,0.33682
0.64301,0.33692
0.64333,0.33626
0.64364,0.33543
0.64396,0.33552
0.64428,0.33679
0.64461,0.33778
0.64493,0.3389
0.64525,0.33855
0.64557,0.33725
0.64589,0.33799
0.64621,0.33877
0.64653,0.3384
0.64686,0.33821
0.64718,0.33845
0.6475,0.33921
0.64783,0.33972
0.64815,0.33852
0.64847,0.33732
0.6488,0.33767
0.64912,0.33829
0.64945,0.33909
0.64978,0.3399
0.6501,0.34031
0.65043,0.34078
0.65075,0.34081
0.65108,0.34009
0.65141,0.33936
0.65173,0.33975
0.65206,0.34162
0.65239,0.34213
0.65272,0.34041
0.65305,0.33954
0.65338,0.34028
0.65371,0.34127
0.65404,0.3413
0.65437,0.34103
0.6547,0.34079
0.65503,0.34056
0.65536,0.34174
0.65569,0.34269
0.65602,0.3432
0.65635,0.34408
0.65669,0.34404
0.65702,0.3435
0.65735,0.34317
0.65769,0.34301
0.65802,0.34333
0.65836,0.34363
0.65869,0.34295
0.65902,0.34278
0.65936,0.34345
0.6597,0.34391
0.66003,0.34419
0.66037,0.34348
0.6607,0.34314
0.66104,0.34354
0.66138,0.34362
0.66172,0.34412
0.66205,0.34484
0.66239,0.3455
0.66273,0.34562
0.66307,0.34469
0.66341,0.34371
0.66375,0.3443
0.66409,0.34534
0.66443,0.34555
0.66477,0.34607
0.66511,0.34613
0.66545,0.34598
0.66579,0.34641
0.66614,0.34652
0.66648,0.34632
0.66682,0.34597
0.66716,0.34597
0.66751,0.3467
0.66785,0.34786
0.6682,0.34839
0.66854,0.34786
0.66889,0.34718
0.66923,0.34738
0.66958,0.34841
0.66992,0.34919
0.67027,0.3493
0.67062,0.34882
0.67096,0.34866
0.67131,0.34929
0.67166,0.34992
0.67201,0.35002
0.67236,0.34962
0.6727,0.34962
0.67305,0.35032
0.6734,0.35111
0.67375,0.35148
0.6741,0.35116
0.67445,0.35096
0.67481,0.35147
0.67516,0.35177
0.67551,0.35191
0.67586,0.35194
0.67621,0.35169
0.67657,0.35241
0.67692,0.35337
0.67727,0.35358
0.67763,0.35349
0.67798,0.35299
0.67834,0.35283
0.67869,0.35312
0.67905,0.35352
0.6794,0.354
0.67976,0.35376
0.68012,0.3532
0.68047,0.35295
0.68083,0.35312
0.68119,0.35326
0.68155,0.35333
0.6819,0.35399
0.68226,0.35477
0.68262,0.35518
0.68298,0.35561
0.68334,0.35606
0.6837,0.35619
0.68406,0.35594
0.68443,0.35629
0.68479,0.35754
0.68515,0.35777
0.68551,0.35696
0.68587,0.35655
0.68624,0.35644
0.6866,0.35649
0.68696,0.35642
0.68733,0.35648
0.68769,0.35698
0.68806,0.35746
0.68842,0.35785
0.68879,0.35783
0.68916,0.35734
0.68952,0.3573
0.68989,0.35759
0.69026,0.35777
0.69062,0.35855
0.69099,0.35953
0.69136,0.36002
0.69173,0.36038
0.6921,0.36006
0.69247,0.35946
0.69284,0.35987
0.69321,0.36071
0.69358,0.36072
0.69395,0.36065
0.69432,0.36114
0.6947,0.36126
0.69507,0.36127
0.69544,0.36172
0.69581,0.362
0.69619,0.36184
0.69656,0.36179
0.69694,0.36217
0.69731,0.36255
0.69769,0.36242
0.69806,0.36218
0.69844,0.36223
0.69881,0.36238
0.69919,0.3633
0.69957,0.36433
0.69995,0.36401
0.70032,0.36341
0.7007,0.36379
0.70108,0.3644
0.70146,0.36417
0.70184,0.36388
0.70222,0.36393
0.7026,0.36401
0.70298,0.36434
0.70336,0.3648
0.70375,0.36526
0.70413,0.36541
0.70451,0.36535
0.70489,0.36548
0.70528,0.36598
0.70566,0.36696
0.70605,0.36734
0.70643,0.36695
0.70682,0.36654
0.7072,0.36649
0.70759,0.36708
0.70797,0.36797
0.70836,0.36836
0.70875,0.36824
0.70914,0.36849
0.70952,0.36902
0.70991,0.36899
0.7103,0.36817
0.71069,0.36786
0.71108,0.3683
0.71147,0.36861
0.71186,0.36917
0.71225,0.36962
0.71265,0.36963
0.71304,0.36962
0.71343,0.37005
0.71382,0.37067
0.71422,0.37069
0.71461,0.37095
0.715,0.37141
0.7154,0.37163
0.71579,0.37175
0.71619,0.37172
0.71658,0.37193
0.71698,0.37173
0.71738,0.3715
0.71777,0.37168
0.71817,0.37148
0.71857,0.37168
0.71897,0.37222
0.71937,0.37242
0.71977,0.37263
0.72017,0.37272
0.72057,0.37303
0.72097,0.37351
0.72137,0.37381
0.72177,0.3745
0.72217,0.37495
0.72258,0.3749
0.72298,0.37504
0.72338,0.37504
0.72379,0.37491
0.72419,0.37497
0.7246,0.375
0.725,0.37485
0.72541,0.3753
0.72581,0.37623
0.72622,0.37648
0.72663,0.37667
0.72703,0.37696
0.72744,0.37648
0.72785,0.37606
0.72826,0.37643
0.72867,0.37669
0.72908,0.37657
0.72949,0.37679
0.7299,0.37712
0.73031,0.37719
0.73072,0.3776
0.73113,0.37777
0.73155,0.37743
0.73196,0.37757
0.73237,0.37798
0.73279,0.37826
0.7332,0.37836
0.73362,0.37819
0.73403,0.37826
0.73445,0.37822
0.73486,0.37792
0.73528,0.37739
0.7357,0.37698
0.73612,0.37755
0.73653,0.37858
0.73695,0.3792
0.73737,0.37921
0.73779,0.37913
0.73821,0.37918
0.73863,0.37919
0.73905,0.37917
0.73948,0.37915
0.7399,0.37931
0.74032,0.37922
0.74074,0.379
0.74117,0.37914
0.74159,0.37936
0.74202,0.3796
0.74244,0.38004
0.74287,0.38029
0.74329,0.37964
0.74372,0.37917
0.74415,0.37948
0.74457,0.37972
0.745,0.38041
0.74543,0.38086
0.74586,0.38077
0.74629,0.38097
0.74672,0.38101
0.74715,0.38067
0.74758,0.38027
0.74801,0.38012
0.74844,0.37992
0.74887,0.37944
0.74931,0.3797
0.74974,0.38037
0.75017,0.3802
0.75061,0.37967
0.75104,0.37968
0.75148,0.37965
0.75191,0.37944
0.75235,0.37935
0.75279,0.37927
0.75323,0.37955
0.75366,0.37969
0.7541,0.37933
0.75454,0.37916
0.75498,0.37938
0.75542,0.38013
0.75586,0.38009
0.7563,0.3791
0.75674,0.37905
0.75719,0.37967
0.75763,0.38019
0.75807,0.38041
0.75851,0.38016
0.75896,0.37975
0.7594,0.37941
0.75985,0.37921
0.76029,0.37906
0.76074,0.37916
0.76119,0.37933
0.76163,0.37901
0.76208,0.37832
0.76253,0.37788
0.76298,0.378
0.76343,0.37823
0.76388,0.37842
0.76433,0.3784
0.76478,0.37805
0.76523,0.3778
0.76568,0.37766
0.76614,0.37737
0.76659,0.37671
0.76704,0.37621
0.7675,0.3763
0.76795,0.3764
0.76841,0.37628
0.76886,0.37615
0.76932,0.37581
0.76977,0.37538
0.77023,0.37546
0.77069,0.37586
0.77115,0.37598
0.77161,0.37563
0.77207,0.37493
0.77253,0.37433
0.77299,0.37399
0.77345,0.37372
0.77391,0.37367
0.77437,0.37371
0.77484,0.37314
0.7753,0.3722
0.77576,0.37164
0.77623,0.37168
0.77669,0.37197
0.77716,0.37177
0.77762,0.3715
0.77809,0.3713
0.77856,0.37071
0.77903,0.37039
0.7795,0.3701
0.77996,0.36942
0.78043,0.36888
0.7809,0.3689
0.78138,0.36897
0.78185,0.36849
0.78232,0.36804
0.78279,0.36801
0.78326,0.36787
0.78374,0.36691
0.78421,0.36582
0.78469,0.36557
0.78516,0.36541
0.78564,0.36505
0.78611,0.36471
0.78659,0.36433
0.78707,0.36382
0.78755,0.36329
0.78803,0.36274
0.7885,0.36179
0.78898,0.36104
0.78946,0.36042
0.78995,0.35954
0.79043,0.35886
0.79091,0.35827
0.79139,0.35782
0.79188,0.35763
0.79236,0.35723
0.79284,0.3567
0.79333,0.35632
0.79382,0.3557
0.7943,0.355
0.79479,0.35453
0.79528,0.35388
0.79576,0.35315
0.79625,0.35253
0.79674,0.35198
0.79723,0.35141
0.79772,0.35091
0.79822,0.35053
0.79871,0.34981
0.7992,0.34932
0.79969,0.34929
0.80019,0.34847
0.80068,0.34726
0.80117,0.34663
0.80167,0.34605
0.80217,0.345
0.80266,0.34397
0.80316,0.34345
0.80366,0.34311
0.80416,0.34254
0.80466,0.34198
0.80516,0.34166
0.80566,0.34118
0.80616,0.34027
0.80666,0.33926
0.80716,0.33844
0.80766,0.33764
0.80817,0.33663
0.80867,0.33582
0.80918,0.33534
0.80968,0.33447
0.81019,0.33354
0.81069,0.33317
0.8112,0.3324
0.81171,0.33108
0.81222,0.33019
0.81273,0.32961
0.81324,0.32896
0.81375,0.32833
0.81426,0.32772
0.81477,0.3271
0.81528,0.32629
0.8158,0.32529
0.81631,0.32415
0.81682,0.32304
0.81734,0.32257
0.81786,0.32245
0.81837,0.32186
0.81889,0.32096
0.81941,0.32014
0.81992,0.31946
0.82044,0.31892
0.82096,0.31803
0.82148,0.31673
0.822,0.31587
0.82253,0.31532
0.82305,0.31456
0.82357,0.31383
0.82409,0.31328
0.82462,0.31251
0.82514,0.31147
0.82567,0.31057
0.8262,0.30995
0.82672,0.30939
0.82725,0.30875
0.82778,0.30799
0.82831,0.30701
0.82884,0.30623
0.82937,0.30565
0.8299,0.30474
0.83043,0.30385
0.83096,0.30308
0.8315,0.30196
0.83203,0.3007
0.83256,0.29995
0.8331,0.29925
0.83363,0.29834
0.83417,0.29792
0.83471,0.29759
0.83525,0.29686
0.83578,0.29592
0.83632,0.29497
0.83686,0.29432
0.8374,0.29387
0.83794,0.29339
0.83849,0.29275
0.83903,0.29184
0.83957,0.29075
0.84012,0.28988
0.84066,0.28952
0.84121,0.28904
0.84175,0.28801
0.8423,0.28722
0.84285,0.28688
0.8434,0.28611
0.84395,0.28504
0.8445,0.28415
0.84505,0.28321
0.8456,0.28228
0.84615,0.28159
0.8467,0.28105
0.84726,0.28029
0.84781,0.27949
0.84836,0.27868
0.84892,0.27777
0.84948,0.27732
0.85003,0.27698
0.85059,0.27623
0.85115,0.27533
0.85171,0.27454
0.85227,0.27415
0.85283,0.27372
0.85339,0.273
0.85395,0.27206
