KC-OL-hvn_3,
2.31,0.80433
2.315,0.80312
2.32,0.802
2.325,0.80156
2.33,0.80117
2.335,0.80154
2.34,0.80178
2.345,0.80283
2.35,0.80297
2.355,0.80369
2.36,0.80467
2.365,0.80568
2.37,0.806
2.375,0.80597
2.38,0.80548
2.385,0.80459
2.39,0.80388
2.395,0.80305
2.4,0.8035
2.405,0.80352
2.41,0.80363
2.415,0.80341
2.42,0.80339
2.425,0.80255
2.43,0.80182
2.435,0.8015
2.44,0.80047
2.445,0.80109
2.45,0.80109
2.455,0.80064
2.46,0.80088
2.465,0.80015
2.47,0.80001
2.475,0.79925
2.48,0.79868
2.485,0.79788
2.49,0.79735
2.495,0.79813
2.5,0.79906

