BRU_LE2CPX_0,
W,R
1.306,0.805612
1.307,0.805425
1.308,0.806531
1.309,0.805396
1.31,0.805828
1.311,0.806499
1.312,0.8071
1.313,0.807536
1.314,0.80769
1.315,0.808328
1.316,0.809302
1.317,0.809721
1.318,0.810042
1.319,0.811234
1.32,0.81127
1.321,0.810996
1.322,0.811531
1.323,0.811483
1.324,0.811855
1.325,0.812785
1.326,0.812914
1.327,0.812798
1.328,0.813243
1.329,0.814106
1.33,0.814893
1.331,0.815301
1.332,0.814975
1.333,0.815643
1.334,0.816244
1.335,0.815785
1.336,0.817216
1.337,0.817622
1.338,0.817585
1.339,0.817559
1.34,0.818041
1.341,0.818669
1.342,0.818888
1.343,0.81902
1.344,0.819331
1.345,0.81968
1.346,0.820279
1.347,0.820371
1.348,0.820892
1.349,0.821458
1.35,0.821231
1.351,0.822119
1.352,0.822199
1.353,0.822176
1.354,0.822809
1.355,0.822738
1.356,0.823671
1.357,0.824193
1.358,0.823858
1.359,0.824651
1.36,0.824947
1.361,0.824338
1.362,0.825064
1.363,0.825219
1.364,0.82571
1.365,0.825233
1.366,0.825813
1.367,0.825854
1.368,0.826176
1.369,0.826555
1.37,0.826226
1.371,0.826292
1.372,0.826717
1.373,0.826726
1.374,0.826776
1.375,0.827347
1.376,0.827309
1.377,0.827025
1.378,0.826861
1.379,0.826982
1.38,0.827299
1.381,0.826815
1.382,0.826314
1.383,0.826768
1.384,0.826841
1.385,0.82684
1.386,0.826637
1.387,0.82655
1.388,0.826226
1.389,0.826235
1.39,0.826743
1.391,0.826783
1.392,0.826979
1.393,0.827299
1.394,0.828318
1.395,0.828806
1.396,0.828333
1.397,0.828414
1.398,0.82865
1.399,0.828422
1.4,0.828691
1.401,0.829075
1.402,0.828987
1.403,0.829119
1.404,0.829568
1.405,0.829858
1.406,0.829403
1.407,0.829738
1.408,0.829916
1.409,0.829653
1.41,0.829969
1.411,0.830009
1.412,0.830382
1.413,0.830197
1.414,0.830186
1.415,0.830802
1.416,0.831101
1.417,0.831516
1.418,0.83155
1.419,0.831547
1.42,0.831795
1.421,0.831939
1.422,0.832389
1.423,0.833125
1.424,0.832806
1.425,0.83306
1.426,0.833362
1.427,0.834093
1.428,0.834163
1.429,0.833791
1.43,0.834556
1.431,0.834817
1.432,0.835024
1.433,0.835777
1.434,0.835894
1.435,0.836071
1.436,0.835912
1.437,0.836624
1.438,0.837057
1.439,0.836656
1.44,0.836675
1.441,0.837153
1.442,0.837166
1.443,0.8377
1.444,0.838877
1.445,0.839209
1.446,0.838728
1.447,0.838192
1.448,0.839125
1.449,0.839211
1.45,0.839488
1.451,0.839671
1.452,0.839312
1.453,0.83952
1.454,0.840117
1.455,0.84003
1.456,0.840718
1.457,0.84071
1.458,0.840754
1.459,0.841479
1.46,0.842147
1.461,0.841962
1.462,0.841838
1.463,0.841975
1.464,0.842202
1.465,0.842629
1.466,0.842626
1.467,0.842916
1.468,0.842711
1.469,0.843349
1.47,0.843967
1.471,0.843355
1.472,0.844045
1.473,0.844246
1.474,0.844608
1.475,0.844645
1.476,0.845176
1.477,0.844957
1.478,0.84583
1.479,0.845571
1.48,0.845662
1.481,0.845377
1.482,0.845488
1.483,0.846395
1.484,0.846235
1.485,0.847202
1.486,0.847226
1.487,0.847118
1.488,0.847614
1.489,0.848293
1.49,0.84763
1.491,0.847603
1.492,0.848117
1.493,0.848874
1.494,0.848973
1.495,0.849248
1.496,0.849082
1.497,0.849477
1.498,0.849283
1.499,0.850148
1.5,0.849616
1.501,0.85037
1.502,0.849681
1.503,0.849928
1.504,0.850806
1.505,0.85067
1.506,0.850579
1.507,0.851618
1.508,0.851519
1.509,0.851899
1.51,0.851843
1.511,0.851373
1.512,0.851209
1.513,0.852077
1.514,0.852234
1.515,0.852213
1.516,0.853127
1.517,0.852888
1.518,0.852765
1.519,0.852474
1.52,0.853027
1.521,0.852659
1.522,0.85352
1.523,0.853104
1.524,0.853487
1.525,0.852888
1.526,0.853905
1.527,0.853999
1.528,0.854253
1.529,0.854373
1.53,0.854626
1.531,0.855062
1.532,0.855084
1.533,0.855416
1.534,0.8554
1.535,0.855366
1.536,0.855436
1.537,0.855664
1.538,0.855585
1.539,0.85638
1.54,0.855972
1.541,0.855271
1.542,0.855916
1.543,0.855751
1.544,0.855995
1.545,0.856335
1.546,0.856639
1.547,0.856514
1.548,0.856139
1.549,0.856928
1.55,0.85709
1.551,0.856992
1.552,0.856627
1.553,0.857393
1.554,0.857366
1.555,0.857472
1.556,0.857855
1.557,0.857802
1.558,0.857757
1.559,0.857616
1.56,0.857891
1.561,0.857874
1.562,0.857425
1.563,0.857899
1.564,0.858339
1.565,0.858078
1.566,0.858467
1.567,0.8586
1.568,0.858452
1.569,0.858433
1.57,0.858889
1.571,0.85912
1.572,0.859925
1.573,0.859649
1.574,0.858903
1.575,0.858771
1.576,0.858784
1.577,0.859161
1.578,0.859263
1.579,0.859527
1.58,0.860198
1.581,0.860379
1.582,0.85983
1.583,0.85955
1.584,0.859786
1.585,0.860376
1.586,0.860377
1.587,0.859521
1.588,0.859961
1.589,0.860021
1.59,0.859861
1.591,0.860278
1.592,0.860131
1.593,0.860272
1.594,0.860165
1.595,0.859848
1.596,0.860574
1.597,0.860513
1.598,0.860465
1.599,0.860532
1.6,0.860445
1.601,0.860287
1.602,0.860332
1.603,0.860532
1.604,0.860755
1.605,0.860865
1.606,0.860685
1.607,0.861049
1.608,0.861509
1.609,0.861408
1.61,0.861344
1.611,0.861763
1.612,0.861904
1.613,0.861394
1.614,0.861467
1.615,0.861562
1.616,0.86142
1.617,0.861668
1.618,0.861668
1.619,0.861662
1.62,0.861574
1.621,0.861762
1.622,0.861865
1.623,0.862165
1.624,0.862638
1.625,0.862378
1.626,0.862021
1.627,0.861774
1.628,0.861936
1.629,0.862221
1.63,0.86225
1.631,0.861587
1.632,0.862167
1.633,0.862443
1.634,0.862367
1.635,0.862378
1.636,0.863044
1.637,0.862716
1.638,0.8618
1.639,0.862054
1.64,0.862228
1.641,0.861879
1.642,0.862308
1.643,0.861804
1.644,0.862351
1.645,0.862789
1.646,0.862819
1.647,0.862732
1.648,0.863034
1.649,0.863877
1.65,0.863357
1.651,0.862811
1.652,0.862879
1.653,0.863243
1.654,0.863745
1.655,0.863649
1.656,0.863376
1.657,0.862798
1.658,0.862733
1.659,0.862656
1.66,0.862372
1.661,0.862899
1.662,0.863171
1.663,0.862975
1.664,0.862806
1.665,0.863174
1.666,0.863123
1.667,0.862871
1.668,0.863065
1.669,0.863053
1.67,0.863293
1.671,0.862915
1.672,0.862709
1.673,0.862745
1.674,0.863094
1.675,0.863411
1.676,0.863615
1.677,0.863779
1.678,0.863201
1.679,0.862981
1.68,0.862758
1.681,0.863212
1.682,0.863292
1.683,0.86322
1.684,0.863213
1.685,0.863372
1.686,0.862709
1.687,0.863454
1.688,0.863515
1.689,0.863292
1.69,0.861764
1.691,0.862469
1.692,0.862603
1.693,0.862995
1.694,0.861139
1.695,0.86293
1.696,0.862753
1.697,0.862065
1.698,0.862671
1.699,0.86263
1.7,0.862783
1.701,0.862328
1.702,0.862571
1.703,0.861469
1.704,0.862339
1.705,0.862375
1.706,0.863605
1.707,0.863324
1.708,0.861532
1.709,0.86219
1.71,0.861793
1.711,0.862412
1.712,0.862186
1.713,0.862486
1.714,0.862509
1.715,0.862495
1.716,0.861068
1.717,0.861714
1.718,0.86123
1.719,0.861062
1.72,0.861467
1.721,0.862302
1.722,0.860425
1.723,0.86068
1.724,0.859981
1.725,0.859115
1.726,0.860606
1.727,0.861087
1.728,0.860096
1.729,0.860416
1.73,0.860483
1.731,0.859812
1.732,0.858472
1.733,0.859247
1.734,0.859164
1.735,0.859979
1.736,0.859309
1.737,0.859417
1.738,0.858583
1.739,0.857938
1.74,0.858623
1.741,0.858312
1.742,0.858653
1.743,0.858717
1.744,0.858265
1.745,0.85812
1.746,0.858499
1.747,0.857112
1.748,0.857363
1.749,0.858438
1.75,0.856672
1.751,0.857569
1.752,0.857551
1.753,0.857712
1.754,0.857274
1.755,0.856628
1.756,0.85692
1.757,0.857805
1.758,0.857052
1.759,0.856616
1.76,0.855816
1.761,0.855048
1.762,0.855473
1.763,0.855744
1.764,0.85528
1.765,0.854837
1.766,0.854944
1.767,0.855409
1.768,0.853895
1.769,0.853621
1.77,0.854097
1.771,0.854511
1.772,0.853848
1.773,0.853923
1.774,0.854365
1.775,0.853529
1.776,0.853456
1.777,0.852673
1.778,0.852249
1.779,0.852979
1.78,0.8537
1.781,0.853359
1.782,0.851915
1.783,0.852107
1.784,0.851584
1.785,0.851275
1.786,0.852053
1.787,0.8509
1.788,0.850723
1.789,0.851024
1.79,0.851216
1.791,0.851073
1.792,0.850802
1.793,0.850784
1.794,0.850593
1.795,0.849814
1.796,0.850938
1.797,0.851538
1.798,0.850703
