SM-Eifel,
W,R
0.81437012,0.195045406
0.819589544,0.193042201
0.826113825,0.191706731
0.83133325,0.191038996
0.836552674,0.191038996
0.843076955,0.190371261
0.846991524,0.189035791
0.84829638,0.187366453
0.84829638,0.187477742
0.84829638,0.186643073
0.84938376,0.185808405
0.8526459,0.184973736
0.857430373,0.18369391
0.862649797,0.184027778
0.870006165,0.181393911
0.879612927,0.181690705
0.886137208,0.180355235
0.890051777,0.179019765
0.891356633,0.179353632
0.892661489,0.1796875
0.896576057,0.1796875
0.89918577,0.179019765
0.903100338,0.178685897
0.904405194,0.177684295
0.909624619,0.176682692
0.912234331,0.176348825
0.9161489,0.17568109
0.921368324,0.175013355
0.925282893,0.175013355
0.927892605,0.173677885
0.930502317,0.17301015
0.935721742,0.172008547
0.937663532,0.170740878
0.940941167,0.170005342
0.943550879,0.169671474
0.947465447,0.169003739
0.951380016,0.168669872
0.95659944,0.168002137
0.959209153,0.167334402
0.960514009,0.166666667
0.961818865,0.166332799
0.964428577,0.165998932
0.96703829,0.165998932
0.970952858,0.165665064
0.974867427,0.164997329
0.974867427,0.164997329
0.977477139,0.164329594
0.980086851,0.162994124
0.98400142,0.162326389
0.989220844,0.162660256
0.991615945,0.161989116
0.995745125,0.162326389
0.999659694,0.161658654
1.003574262,0.161658654
1.006183974,0.160323184
1.011403399,0.160657051
1.014013111,0.160990919
1.019232536,0.160990919
1.020537392,0.161658654
1.02445196,0.161658654
1.029671385,0.161658654
1.036195666,0.162326389
1.040110234,0.162326389
1.045329659,0.163661859
1.049244227,0.163661859
1.053158796,0.164329594
1.057073364,0.164663462
1.05837822,0.165998932
1.061008117,0.165129878
1.066207357,0.166332799
1.070121926,0.167000534
1.07534135,0.167000534
1.077951063,0.168669872
1.081865631,0.169003739
1.084475343,0.169671474
1.087085056,0.170339209
1.088389912,0.171006944
1.089694768,0.171674679
1.09230448,0.171674679
1.094914193,0.172342415
1.096219049,0.17301015
1.098828761,0.173344017
1.100133617,0.17434562
