Brown University Keck/NASA Relab Spectrum PO-RGB-043/C1PO43,
1.37,0.67222
1.375,0.67283
1.38,0.67407
1.385,0.68486
1.39,0.68555
1.395,0.68578
1.4,0.6877
1.405,0.69308
1.41,0.69855
1.415,0.69945
1.42,0.70221
1.425,0.70474
1.43,0.70654
1.435,0.70983
1.44,0.71427
1.445,0.71648
1.45,0.72122
1.455,0.72519
1.46,0.72628
1.465,0.72916
1.47,0.73218
1.475,0.73353
1.48,0.73798
1.485,0.74064
1.49,0.74413
1.495,0.74621
1.5,0.74879
1.505,0.74869
1.51,0.754
1.515,0.75341
1.52,0.75617
1.525,0.75801
1.53,0.75877
1.535,0.76134
1.54,0.76467
1.545,0.76784
1.55,0.7678
1.555,0.77025
1.56,0.77451
1.565,0.77464
1.57,0.77389
1.575,0.77801
1.58,0.78093
1.585,0.78095
1.59,0.78309
1.595,0.78227
1.6,0.78255
1.605,0.78477
1.61,0.78863
1.615,0.78958
1.62,0.79501
1.625,0.79371
1.63,0.79474
1.635,0.79472
1.64,0.79573
1.645,0.79422
1.65,0.79814
1.655,0.80238
1.66,0.80059
1.665,0.79924
1.67,0.79973
1.675,0.80202
1.68,0.80181
1.685,0.80451
1.69,0.80316
1.695,0.80506
1.7,0.80753
1.705,0.80845
1.71,0.80922
1.715,0.80977
1.72,0.80955
1.725,0.80919
1.73,0.80989
1.735,0.80908
1.74,0.812
1.745,0.8104
1.75,0.81219
1.755,0.81393
1.76,0.81389
1.765,0.81232
1.77,0.81221
1.775,0.81333
1.78,0.81578
1.785,0.81578
1.79,0.8164
1.795,0.81628
1.8,0.81905
1.805,0.81717
1.81,0.81638
1.815,0.81478
1.82,0.81578
1.825,0.81757
1.83,0.81902
1.835,0.81882
1.84,0.81966
1.845,0.81925
1.85,0.81664
1.855,0.81726
1.86,0.81859
1.865,0.81918
1.87,0.81555
1.875,0.82582
1.88,0.82746
1.885,0.8244
1.89,0.82336
1.895,0.82435
1.9,0.82217
1.905,0.82639
1.91,0.82512
1.915,0.82372
1.92,0.82265
1.925,0.82061
1.93,0.82169
1.935,0.82297
1.94,0.82509
1.945,0.82565
1.95,0.82364
1.955,0.82266
1.96,0.82449
1.965,0.8291
1.97,0.83185
1.975,0.83179
1.98,0.8323
1.985,0.83375
1.99,0.83343
1.995,0.83042
2,0.82928
2.005,0.83015
2.01,0.83086
2.015,0.83414
2.02,0.83604
2.025,0.83546
2.03,0.83494
2.035,0.83406
2.04,0.83817
2.045,0.83952
2.05,0.83693
2.055,0.83695
2.06,0.83629
2.065,0.83672
2.07,0.83742
2.075,0.83744
2.08,0.83888
2.085,0.83848
2.09,0.8398
2.095,0.84112
2.1,0.84099
2.105,0.84392
2.11,0.84145
2.115,0.84214
2.12,0.84036
2.125,0.84132
2.13,0.84268
2.135,0.84494
2.14,0.84626
2.145,0.84704
2.15,0.84674
2.155,0.84742
2.16,0.84702
2.165,0.84492
2.17,0.84194
2.175,0.84069
2.18,0.84044
2.185,0.84081
2.19,0.84201
2.195,0.84124
2.2,0.84292
2.205,0.84391
2.21,0.84339
2.215,0.84615
2.22,0.84767
2.225,0.84741
2.23,0.84368
2.235,0.84397
2.24,0.84342
2.245,0.84083
2.25,0.83908
2.255,0.84311
2.26,0.84276
2.265,0.83991
2.27,0.84056
2.275,0.84065
2.28,0.84176
2.285,0.84065
2.29,0.84295
2.295,0.84016
2.3,0.84206
2.305,0.84578
2.31,0.8473
2.315,0.84771
2.32,0.84643
2.325,0.84873
2.33,0.84725
2.335,0.84523
2.34,0.84586
2.345,0.84718
2.35,0.84679
2.355,0.84927
2.36,0.85123
2.365,0.8513
2.37,0.85353
2.375,0.84953
2.38,0.84816
2.385,0.84961
2.39,0.85044
2.395,0.85137
2.4,0.85124
2.405,0.84906
2.41,0.84945
2.415,0.84969
2.42,0.84825
2.425,0.84999
2.43,0.85106
2.435,0.85211
2.44,0.85066
2.445,0.84682
2.45,0.8458
2.455,0.84417
2.46,0.84339
2.465,0.84498
2.47,0.84403
2.475,0.84362
2.48,0.84372
2.485,0.84722
2.49,0.84396
2.495,0.84158
2.5,0.84342
2.505,0.84774
2.51,0.8496
2.515,0.85031
2.52,0.85201
2.525,0.85381
2.53,0.85206
2.535,0.85017
2.54,0.84957
2.545,0.84972
2.55,0.85738
2.555,0.85782
2.56,0.84386
2.565,0.85373
2.57,0.85134
2.575,0.85489
2.58,0.84894
2.585,0.84963
2.59,0.85606
2.595,0.85313
2.6,0.84997

