KC-OPX-lm_2,
W,R
0.61641,0.33906
0.6167,0.33903
0.61699,0.33728
0.61729,0.33677
0.61758,0.33797
0.61787,0.34007
0.61817,0.34073
0.61846,0.34054
0.61876,0.34121
0.61905,0.34115
0.61935,0.34091
0.61965,0.34113
0.61994,0.34077
0.62024,0.33946
0.62054,0.33948
0.62083,0.34035
0.62113,0.34072
0.62143,0.34078
0.62173,0.34023
0.62203,0.34041
0.62232,0.33984
0.62262,0.33969
0.62292,0.34096
0.62322,0.34122
0.62352,0.34112
0.62382,0.34178
0.62412,0.34308
0.62442,0.34308
0.62472,0.34207
0.62502,0.34163
0.62533,0.34217
0.62563,0.34276
0.62593,0.34218
0.62623,0.3419
0.62654,0.34307
0.62684,0.34377
0.62714,0.3428
0.62744,0.34318
0.62775,0.34405
0.62805,0.34435
0.62836,0.34413
0.62866,0.34337
0.62897,0.34336
0.62927,0.3436
0.62958,0.34448
0.62988,0.34398
0.63019,0.34522
0.6305,0.34534
0.6308,0.34442
0.63111,0.34526
0.63142,0.34434
0.63173,0.34585
0.63203,0.34523
0.63234,0.33712
0.63327,0.34029
0.63358,0.32407
0.63389,0.34863
0.6342,0.34749
0.63451,0.34657
0.63482,0.34715
0.63513,0.34691
0.63544,0.34621
0.63575,0.34764
0.63607,0.34621
0.63638,0.34757
0.63669,0.34688
0.637,0.34773
0.63732,0.3479
0.63763,0.34722
0.63794,0.34779
0.63826,0.34682
0.63857,0.34788
0.63889,0.34695
0.6392,0.34714
0.63952,0.3477
0.63983,0.34836
0.64015,0.34875
0.64046,0.34773
0.64078,0.34935
0.6411,0.34939
0.64142,0.35014
0.64173,0.3505
0.64205,0.35075
0.64237,0.35141
0.64269,0.35024
0.64301,0.3502
0.64333,0.34984
0.64364,0.35063
0.64396,0.35065
0.64428,0.35119
0.64461,0.3524
0.64493,0.35239
0.64525,0.35218
0.64557,0.35085
0.64589,0.3525
0.64621,0.35321
0.64653,0.35256
0.64686,0.35266
0.64718,0.35295
0.6475,0.3539
0.64783,0.35231
0.64815,0.35205
0.64847,0.35284
0.6488,0.35337
0.64912,0.35328
0.64945,0.35292
0.64978,0.35326
0.6501,0.35217
0.65043,0.35351
0.65075,0.35498
0.65108,0.35477
0.65141,0.35449
0.65173,0.35479
0.65206,0.35587
0.65239,0.35461
0.65272,0.3536
0.65305,0.35365
0.65338,0.3545
0.65371,0.35544
0.65404,0.35633
0.65437,0.35658
0.6547,0.35503
0.65503,0.35603
0.65536,0.35742
0.65569,0.35698
0.65602,0.35629
0.65635,0.35609
0.65669,0.3562
0.65702,0.35524
0.65735,0.35577
0.65769,0.35738
0.65802,0.35882
0.65836,0.35838
0.65869,0.35646
0.65902,0.35652
0.65936,0.35765
0.6597,0.35877
0.66003,0.35864
0.66037,0.35791
0.6607,0.35805
0.66104,0.35854
0.66138,0.35846
0.66172,0.35844
0.66205,0.35918
0.66239,0.35953
0.66273,0.36045
0.66307,0.36036
0.66341,0.35902
0.66375,0.35926
0.66409,0.36024
0.66443,0.36063
0.66477,0.36
0.66511,0.35972
0.66545,0.36049
0.66579,0.36092
0.66614,0.36036
0.66648,0.36006
0.66682,0.3609
0.66716,0.36187
0.66751,0.36301
0.66785,0.36344
0.6682,0.36278
0.66854,0.36192
0.66889,0.36172
0.66923,0.36264
0.66958,0.36339
0.66992,0.3638
0.67027,0.36409
0.67062,0.3639
0.67096,0.36414
0.67131,0.36477
0.67166,0.36458
0.67201,0.36393
0.67236,0.3635
0.6727,0.36309
0.67305,0.36317
0.6734,0.36352
0.67375,0.36407
0.6741,0.36485
0.67445,0.36522
0.67481,0.36509
0.67516,0.36519
0.67551,0.36605
0.67586,0.36627
0.67621,0.36604
0.67657,0.36626
0.67692,0.36653
0.67727,0.36698
0.67763,0.36706
0.67798,0.36697
0.67834,0.36708
0.67869,0.36686
0.67905,0.36673
0.6794,0.3675
0.67976,0.36822
0.68012,0.36833
0.68047,0.36912
0.68083,0.36978
0.68119,0.36891
0.68155,0.36818
0.6819,0.36864
0.68226,0.36914
0.68262,0.36881
0.68298,0.36845
0.68334,0.36911
0.6837,0.3701
0.68406,0.37027
0.68443,0.36983
0.68479,0.36997
0.68515,0.3702
0.68551,0.36959
0.68587,0.36932
0.68624,0.36981
0.6866,0.37047
0.68696,0.37086
0.68733,0.37085
0.68769,0.37132
0.68806,0.37181
0.68842,0.37155
0.68879,0.37142
0.68916,0.37176
0.68952,0.37184
0.68989,0.37218
0.69026,0.37286
0.69062,0.37312
0.69099,0.37369
0.69136,0.37379
