Brown University Keck/NASA Relab Spectrum OC-TXH-019-P05/C1OC19P05,
0.905,0.224637
0.91,0.224247
0.915,0.223786
0.92,0.223217
0.925,0.222866
0.93,0.222911
0.935,0.22294
0.94,0.223138
0.945,0.223408
0.95,0.2237
0.955,0.224146
0.96,0.224654
0.965,0.225289
0.97,0.225799
0.975,0.226203
0.98,0.226801
0.985,0.227325
0.99,0.227831
0.995,0.228423
1,0.228615
1.005,0.228976
1.01,0.22941
1.015,0.229719
1.02,0.229838
1.025,0.229982
1.03,0.230123
1.035,0.230333
1.04,0.230402
1.045,0.230774
1.05,0.231077
1.055,0.231275
1.06,0.231571
1.065,0.231622
1.07,0.231905
1.075,0.232233
1.08,0.232682
1.085,0.232907
1.09,0.232991
1.095,0.233476
1.1,0.233681
1.105,0.234064
1.11,0.234471
1.115,0.234945
1.12,0.235255
1.125,0.235416
1.13,0.23576
1.135,0.236232
1.14,0.236414
1.145,0.236548
1.15,0.236792
1.155,0.236892
1.16,0.237063
1.165,0.237221
1.17,0.237148
1.175,0.237
1.18,0.236987
1.185,0.23707
1.19,0.236997
1.195,0.237042
1.2,0.236874
1.205,0.236671
1.21,0.236558
1.215,0.236679
1.22,0.236694
1.225,0.236797
1.23,0.236744
1.235,0.236601
1.24,0.236437
1.245,0.236302
1.25,0.236353
1.255,0.23632
1.26,0.236335
1.265,0.236155
1.27,0.236245
1.275,0.236139
1.28,0.235948
1.285,0.235812
1.29,0.2358
1.295,0.235834
1.3,0.235648
1.305,0.235563
1.31,0.235533
1.315,0.235553
1.32,0.235563
1.325,0.235174
1.33,0.234946
1.335,0.234994
1.34,0.234942
1.345,0.23509
1.35,0.235009
1.355,0.234877
1.36,0.234805
1.365,0.234882
1.37,0.234845
1.375,0.23463
1.38,0.234789
1.385,0.235024
1.39,0.234682
1.395,0.234636
1.4,0.234423
1.405,0.234377
1.41,0.234345
1.415,0.234008
1.42,0.233954
1.425,0.233929
1.43,0.233922
1.435,0.233908
1.44,0.233928
1.445,0.233749
1.45,0.233629
1.455,0.233556
1.46,0.23331
1.465,0.233022
1.47,0.232971
1.475,0.232693
1.48,0.232416
1.485,0.232057
1.49,0.231867
1.495,0.231713
1.5,0.231696
1.505,0.231285
1.51,0.23086
1.515,0.23052
1.52,0.230193
1.525,0.229752
1.53,0.229426
1.535,0.229276
1.54,0.229159
1.545,0.228946
1.55,0.22871
1.555,0.228218
1.56,0.227659
1.565,0.227002
1.57,0.226622
1.575,0.226087
1.58,0.225639
1.585,0.225143
1.59,0.224778
1.595,0.224367
1.6,0.223921
1.605,0.223608
1.61,0.223228
1.615,0.222757
1.62,0.222097
1.625,0.221453
1.63,0.22095
1.635,0.220412
1.64,0.219919
1.645,0.219561
1.65,0.219238
1.655,0.219035
1.66,0.218348
1.665,0.217774
1.67,0.217181
1.675,0.216615
1.68,0.215994
1.685,0.215556
1.69,0.215235
1.695,0.214757
1.7,0.214076
1.705,0.213535
1.71,0.213192
1.715,0.212827
1.72,0.212442
1.725,0.212246
1.73,0.211394
1.735,0.210865
1.74,0.210374
1.745,0.209655
1.75,0.209045
1.755,0.208428
1.76,0.207934
1.765,0.207343
1.77,0.206721
1.775,0.206307
1.78,0.206226
1.785,0.205619
1.79,0.205157
1.795,0.204649
1.8,0.20433
1.805,0.20405
1.81,0.203739
1.815,0.20319
1.82,0.203133
1.825,0.202742
1.83,0.2025
1.835,0.202059
1.84,0.201813
1.845,0.201254
1.85,0.20075
1.855,0.200229
1.86,0.19995
1.865,0.199391
1.87,0.199406
1.875,0.199179
1.88,0.198623
1.885,0.198184
1.89,0.197637
1.895,0.197212
1.9,0.197184
1.905,0.196957
1.91,0.196324
1.915,0.196071
1.92,0.195907
1.925,0.195643
1.93,0.1954
1.935,0.194856
1.94,0.19479
1.945,0.194742
1.95,0.194613
1.955,0.194371
1.96,0.194345
1.965,0.194556
1.97,0.19456
1.975,0.194367
1.98,0.194189
1.985,0.194016
1.99,0.193822
1.995,0.193598
2,0.193587
2.005,0.193451
2.01,0.193681
2.015,0.193732
2.02,0.193891
2.025,0.194035
2.03,0.193976
2.035,0.193825
2.04,0.193385
2.045,0.192952
2.05,0.192829
2.055,0.192486
2.06,0.192085
2.065,0.191676
2.07,0.191735
2.075,0.19198
2.08,0.192131
2.085,0.192011
2.09,0.192378
2.095,0.192352
2.1,0.192277
2.105,0.19226
2.11,0.192459
2.115,0.19242
2.12,0.192549
2.125,0.19249
2.13,0.192355
2.135,0.192364
2.14,0.192528
2.145,0.192265
2.15,0.191968
2.155,0.191822
2.16,0.191745
2.165,0.191503
2.17,0.191226
2.175,0.190898
2.18,0.190791
2.185,0.190618
2.19,0.190662
2.195,0.190442
2.2,0.190325
2.205,0.190338
2.21,0.190327
2.215,0.19012
2.22,0.190151
2.225,0.189781
2.23,0.189362
2.235,0.189256
2.24,0.188938
2.245,0.188781
2.25,0.188752
2.255,0.188613
2.26,0.188739
2.265,0.188755
2.27,0.188641
2.275,0.188959
2.28,0.188754
2.285,0.188806
2.29,0.18874
2.295,0.188606
2.3,0.188693
2.305,0.188637
2.31,0.188433
2.315,0.188212
2.32,0.187979
2.325,0.187573
2.33,0.187672
2.335,0.187655
2.34,0.187348
2.345,0.187256
2.35,0.187204
2.355,0.186935
2.36,0.186519
2.365,0.186411
2.37,0.186397
2.375,0.186249
2.38,0.186068
2.385,0.186883
2.39,0.186901
2.395,0.186807
2.4,0.186358
2.405,0.186183
2.41,0.185492
2.415,0.185334
2.42,0.18508
2.425,0.184647
2.43,0.185021
2.435,0.185344
2.44,0.185355
2.445,0.184565
2.45,0.184892
2.455,0.184266
2.46,0.18488
2.465,0.185456
2.47,0.184811
2.475,0.185584
2.48,0.185097
2.485,0.185263
2.49,0.184727
2.495,0.18471
2.5,0.184282

