ZK-Eif_0,
W,R
1.205,0.80884
1.206,0.80984
1.207,0.81033
1.208,0.81095
1.209,0.81097
1.21,0.81151
1.211,0.81207
1.212,0.81185
1.213,0.81283
1.214,0.81398
1.215,0.81431
1.216,0.81407
1.217,0.81596
1.218,0.81726
1.219,0.81668
1.22,0.81597
1.221,0.81664
1.222,0.81683
1.223,0.81788
1.224,0.81823
1.225,0.8183
1.226,0.81947
1.227,0.82018
1.228,0.81992
1.229,0.8202
1.23,0.82107
1.231,0.82205
1.232,0.82303
1.233,0.82391
1.234,0.8249
1.235,0.82512
1.236,0.82484
1.237,0.82548
1.238,0.82676
1.239,0.82672
1.24,0.82574
1.241,0.82645
1.242,0.82756
1.243,0.82783
1.244,0.82825
1.245,0.82889
1.246,0.82973
1.247,0.83027
1.248,0.8313
1.249,0.83346
1.25,0.83429
1.251,0.83299
1.252,0.83263
1.253,0.8332
1.254,0.83293
1.255,0.834
1.256,0.8349
1.257,0.83589
1.258,0.83626
1.259,0.8366
1.26,0.83693
1.261,0.83725
1.262,0.83773
1.263,0.83952
1.264,0.84133
1.265,0.84161
1.266,0.84122
1.267,0.84066
1.268,0.84128
1.269,0.84203
1.27,0.84251
1.271,0.84291
1.272,0.84387
1.273,0.84496
1.274,0.84508
1.275,0.84538
1.276,0.84643
1.277,0.84704
1.278,0.84729
1.279,0.84857
1.28,0.84996
1.281,0.85024
1.282,0.85061
1.283,0.85145
1.284,0.85166
1.285,0.85147
1.286,0.85172
1.287,0.85223
1.288,0.85271
1.289,0.8539
1.29,0.85503
1.291,0.8565
1.292,0.85646
1.293,0.85711
1.294,0.85695
1.295,0.85709
1.296,0.8583
1.297,0.85928
1.298,0.86022
1.299,0.8613
1.3,0.86189
1.301,0.86155
1.302,0.86174
1.303,0.86195
1.304,0.86287
1.305,0.86441
1.306,0.86522
1.307,0.86562
1.308,0.86748
1.309,0.86752
1.31,0.86719
1.311,0.8678
1.312,0.8683
1.313,0.86918
1.314,0.8705
1.315,0.87234
1.316,0.87297
1.317,0.87183
1.318,0.87212
1.319,0.87399
1.32,0.87491
1.321,0.87568
1.322,0.87667
1.323,0.87718
1.324,0.87657
1.325,0.87719
1.326,0.87819
1.327,0.87857
1.328,0.88003
1.329,0.88186
1.33,0.88282
1.331,0.88199
1.332,0.88165
1.333,0.88315
1.334,0.8851
1.335,0.8867
1.336,0.88588
1.337,0.88609
1.338,0.88796
1.339,0.88831
1.34,0.88883
1.341,0.89006
1.342,0.89005
1.343,0.89085
1.344,0.89221
1.345,0.89264
1.346,0.89293
1.347,0.89304
1.348,0.89367
1.349,0.89418
1.35,0.89495
1.351,0.89555
1.352,0.89466
1.353,0.8932
1.354,0.89373
1.355,0.89471
1.356,0.89538
1.357,0.8976
1.358,0.89884
1.359,0.89986
1.36,0.89992
1.361,0.90124
1.362,0.90285
1.363,0.90431
1.364,0.905
1.365,0.90534
1.366,0.90575
1.367,0.90594
1.368,0.90609
1.369,0.90671
1.37,0.90693
1.371,0.90789
1.372,0.90859
1.373,0.90886
1.374,0.90839
1.375,0.90862
1.376,0.90956
1.377,0.91153
1.378,0.91285
1.379,0.91385
1.38,0.91476
1.381,0.91566
1.382,0.91697
1.383,0.91777
1.384,0.91836
1.385,0.91932
1.386,0.91976
1.387,0.92169
1.388,0.92298
1.389,0.92298
1.39,0.924
1.391,0.92551
1.392,0.92519
1.393,0.92598
1.394,0.92847
1.395,0.92937
1.396,0.92956
1.397,0.93065
1.398,0.93198
1.399,0.93249
1.4,0.93414
1.401,0.93595
1.402,0.93688
1.403,0.937
1.404,0.9382
1.405,0.93934
1.406,0.94031
1.407,0.94098
1.408,0.9422
1.409,0.94372
1.41,0.94413
1.411,0.94475
1.412,0.94638
1.413,0.94741
1.414,0.94753
1.415,0.94867
1.416,0.95048
1.417,0.95089
1.418,0.95103
1.419,0.95214
1.42,0.954
1.421,0.95544
1.422,0.95506
1.423,0.95461
1.424,0.95524
1.425,0.95703
1.426,0.95836
1.427,0.95769
1.428,0.95774
1.429,0.95883
1.43,0.95943
1.431,0.96052
1.432,0.96137
