TJ_OL_0,
W,R
0.769825239,0.831436115
0.771038133,0.830249606
0.771644249,0.829195105
0.772859708,0.82787681
0.772861808,0.828799303
0.773162222,0.826822421
0.774380374,0.825635912
0.775295172,0.824713084
0.775904633,0.823658583
0.77712801,0.822867427
0.777738611,0.821681141
0.778964578,0.820758201
0.780192174,0.819703476
0.781114747,0.819176002
0.781420795,0.818253397
0.782652869,0.817462242
0.783269027,0.816803095
0.784195238,0.81627562
0.785121326,0.815221007
0.785739122,0.814430075
0.786667948,0.813770816
0.787596956,0.812716203
0.788838768,0.811925048
0.78945949,0.811134116
0.790704546,0.810474745
0.791327042,0.809815598
0.792886197,0.808497192
0.794449349,0.807574139
0.795387546,0.806519526
0.79632716,0.805596698
0.797581809,0.804410189
0.797894,0.8033558
0.799467025,0.802432747
0.800095488,0.801378246
0.801356696,0.800455306
0.802303362,0.799532478
0.803885079,0.798609425
0.805152573,0.79781827
0.807058189,0.796895106
0.807375029,0.79623607
0.808647712,0.79531313
0.809284334,0.794653983
0.810240051,0.79359937
0.81183773,0.792808102
0.812796462,0.79175349
0.814078007,0.790962334
0.815360939,0.789907609
0.816645894,0.788852884
0.817934143,0.788325298
0.819546358,0.787270461
0.820838545,0.786479305
0.821807906,0.785424692
0.82277969,0.784897218
0.823751982,0.784106174
0.825375665,0.783051337
0.826025136,0.782260405
0.826675119,0.781469474
0.828304885,0.780546421
0.830592859,0.779623145
0.832559009,0.778831766
0.834200375,0.777908713
0.835845301,0.777117446
0.83650301,0.776326514
0.837822584,0.775798928
0.838481849,0.775007996
0.839803892,0.77421684
0.840464391,0.773294124
0.842453908,0.772502744
0.843782214,0.771711589
0.845112943,0.771052218
0.846780044,0.770524519
0.848450104,0.769865036
0.849788524,0.76933745
0.851128395,0.768546294
0.852470708,0.767886923
0.853815471,0.767359337
0.854824771,0.766700078
0.857186664,0.766040371
0.858877583,0.765512672
0.860570835,0.76458962
0.86192804,0.763930249
0.863287051,0.763139093
0.864988996,0.762216041
0.866695979,0.761951912
0.868747254,0.761028748
0.871491306,0.760368929
0.873554948,0.759841119
0.87493297,0.759313532
0.877004761,0.758785722
0.878388225,0.758258136
0.879080093,0.757730773
0.8808142,0.757203075
0.882551042,0.756411807
0.883245846,0.75575266
0.884638125,0.75482972
0.885683518,0.754038676
0.887429961,0.753247408
0.889179158,0.752192571
0.890932495,0.751401304
0.891634244,0.750873941
0.892336199,0.750214794
0.894448158,0.74929163
0.895858444,0.748500474
0.897270953,0.747709319
0.897977346,0.747050172
0.899393546,0.746390801
0.901878933,0.745862878
0.904013478,0.744939714
0.905796417,0.744280231
0.907223188,0.742961937
0.908294564,0.741907324
0.909367206,0.740852711
0.910801722,0.740325125
0.911518059,0.739402408
0.912954551,0.738347683
0.914393661,0.737424743
0.915473505,0.73637013
0.918001547,0.735183285
0.918724617,0.734655922
0.920172823,0.733732982
0.920896173,0.732678481
0.922347444,0.731623756
0.923800285,0.730305462
0.925256132,0.729250737
0.926713555,0.727932443
0.927442407,0.727009726
0.928171473,0.725955225
0.929267227,0.724768828
0.93036608,0.724241353
0.931463702,0.722791386
0.932932351,0.722000231
0.933297159,0.720814057
0.934399327,0.719759444
0.936241104,0.718704607
0.936978177,0.71804546
0.9384537,0.716595381
0.93919215,0.71580445
0.94030128,0.714749837
0.94215469,0.713695
0.942895321,0.712640499
0.943636534,0.711585998
0.945122175,0.710004134
0.945865138,0.708949633
0.946608686,0.707895132
0.946979576,0.706972528
0.948097902,0.705917915
0.94959241,0.704994975
0.950713084,0.703676792
0.952587387,0.70275374
0.953336219,0.701699239
0.95408638,0.700908307
0.955962882,0.69840384
0.95596622,0.699589901
0.956336695,0.697217666
0.957840101,0.694845095
0.957843074,0.695899372
0.958971625,0.693922266
0.959347359,0.692999662
0.960101878,0.692076946
0.961237192,0.691549471
0.962368622,0.689177012
0.962371609,0.690231289
0.96312589,0.68838608
0.964644835,0.687726709
0.965401272,0.686013285
0.96540352,0.686803993
0.966160552,0.685090569
0.967301905,0.68416774
0.968444231,0.683113127
0.969588658,0.682322084
0.970732931,0.681003901
0.972263118,0.680080961
0.974174614,0.677312924
0.974178773,0.678762555
0.976094792,0.676258087
0.976477236,0.675335483
0.978401573,0.674148861
0.978783401,0.672699118
0.980325517,0.671512609
0.981869683,0.670194315
0.982641152,0.669008029
0.984189347,0.667821519
0.985348557,0.665712629
0.985351234,0.666635122
0.986901401,0.664657904
0.987287695,0.663603515
0.98845439,0.662812472
0.989621695,0.661757859
0.991179735,0.660175995
0.991958904,0.659121494
0.993130348,0.658066881
0.994303176,0.657012268
0.995084028,0.655694198
0.995473912,0.654771594
0.99664912,0.653585196
0.99782649,0.652662368
0.998610497,0.651476082
1.00018424,0.650421357
1.001760464,0.649366632
1.00254834,0.648443916
1.003337225,0.647652984
1.004918027,0.646466475
1.005704094,0.644094127
1.005707996,0.645411974
1.00689177,0.643039515
1.007286671,0.642248695
1.008873304,0.640930401
1.010462829,0.639743891
1.011655733,0.638557493
1.013651363,0.638029795
1.01444741,0.636711725
1.016447758,0.635920457
1.017647727,0.63473406
1.019252263,0.633942904
1.020054291,0.633151972
1.021662622,0.632360817
1.023273885,0.631701446
1.025291637,0.630910178
1.026907827,0.629987238
1.028932346,0.629064185
1.031367998,0.628272806
1.032587184,0.627613547
1.034215275,0.626822391
1.035845531,0.625899451
1.038707991,0.625371528
1.041166784,0.624580149
1.042808402,0.623788993
1.045277713,0.623261183
1.046927032,0.622865381
1.050649865,0.622732589
1.053138561,0.622468348
1.056883893,0.62246734
1.060642956,0.622598117
1.062738107,0.622992911
1.066100283,0.624046292
1.068207457,0.62483644
1.070318381,0.625494804
1.072011787,0.626548633
1.072859495,0.627075547
1.075404972,0.628129153
1.077956907,0.629314543
1.081367231,0.630367924
1.082224017,0.631421977
1.084791712,0.632475582
1.086935831,0.63326573
1.089085455,0.634451232
1.09123933,0.635636734
1.092533954,0.636427106
1.094262508,0.637480935
1.096425771,0.638402868
1.097293636,0.639193351
1.098595016,0.639851939
1.10033316,0.640905768
1.102508425,0.641827701
1.104253189,0.643013314
1.105562823,0.643671902
