OWN_OL1/EN4_0,
W,R
0.780664059,0.609395217
0.782180195,0.608125741
0.782937197,0.606856264
0.783505008,0.60593942
0.785210216,0.604246785
0.786345127,0.601989939
0.786347021,0.603118362
0.788051638,0.601073095
0.78975578,0.598745722
0.789757675,0.599874145
0.790132742,0.59719414
0.791080001,0.59620677
0.791837714,0.595360452
0.793164539,0.594373082
0.793921778,0.593244658
0.79467878,0.591975182
0.795436019,0.590846759
0.796003001,0.58943623
0.797518781,0.587955174
0.797896572,0.586897277
0.798654166,0.585980434
0.79998111,0.58506359
0.80111756,0.583723587
0.801495588,0.582806743
0.802632393,0.58167832
0.803200322,0.580832002
0.803957561,0.579703579
0.804904702,0.578645682
0.806230935,0.57730568
0.807367978,0.576318309
0.807745887,0.575330939
0.808313461,0.574273042
0.809070818,0.573215145
0.810396933,0.571804616
0.810964271,0.570605666
0.811910938,0.569265664
0.81266865,0.568419346
0.813425652,0.56714987
0.813992753,0.565809867
0.814749163,0.564187759
0.815126361,0.56277723
0.815693343,0.561366701
0.815880996,0.560097224
0.817017564,0.558827748
0.817964113,0.557417219
0.819100682,0.556147743
0.820047585,0.554948793
0.820425376,0.553890896
0.82156159,0.552409841
0.822318947,0.551351944
0.823265969,0.550223521
0.823832951,0.548812992
0.82515883,0.547261409
0.8264853,0.54606246
0.826862736,0.544792984
0.827619856,0.543594034
0.828567115,0.542606663
0.829134807,0.541619293
0.829510704,0.539432973
0.829512716,0.540631923
0.830077567,0.537951917
0.831592874,0.536188756
0.832349521,0.5347077
0.833296543,0.533579277
0.833671492,0.530828745
0.833673742,0.532168748
0.834808298,0.529700322
0.835944393,0.52814874
0.83746041,0.526808737
0.838217175,0.525398208
0.839353981,0.524269785
0.840110983,0.523000309
0.840867866,0.521660306
0.84162475,0.520320304
0.8427612,0.518980301
0.843707394,0.517358192
0.844652995,0.515383452
0.845789801,0.514255028
0.847305463,0.512703446
0.848441558,0.511151864
0.849388343,0.509882388
0.849575877,0.508542385
0.850901755,0.506990803
0.852227871,0.505580274
0.852795089,0.504310798
0.85431087,0.502829743
0.855446491,0.500996055
0.856583178,0.499797105
0.857340417,0.498668682
0.858856197,0.497187626
0.859802983,0.49591815
0.860560103,0.4947192
0.861317224,0.49352025
0.863023024,0.492180248
0.863969809,0.490910772
0.86529628,0.489711822
0.866812296,0.488371819
0.867948392,0.486820237
0.869084605,0.485339182
0.870410483,0.4837876
0.871926382,0.482377071
0.873442044,0.480825489
0.875147252,0.479132854
0.876852697,0.477581272
0.878748636,0.476452848
0.880264771,0.475183372
0.881591596,0.474196002
0.883297397,0.472855999
0.884244419,0.471727576
0.886520279,0.470810732
0.888795784,0.469682309
0.890881625,0.468624412
0.892777919,0.467707568
0.895053897,0.46686125
0.896950191,0.465944406
0.899036505,0.465168615
0.901502267,0.464322298
0.904347833,0.463617033
0.908143025,0.463334928
0.911369341,0.463334928
0.913457431,0.463617033
0.916304654,0.463899139
0.919531799,0.464392824
0.921810382,0.465098089
0.92370928,0.465732827
0.925987864,0.466438092
0.927697098,0.467143356
0.929216548,0.467848621
0.931305348,0.468553885
0.932635015,0.46925915
0.934344604,0.470175994
0.935674626,0.471092838
0.937004885,0.472150734
0.93852469,0.473067578
0.940044851,0.474196002
0.940995188,0.475042319
0.942324973,0.47581811
0.943845134,0.476946533
0.944795708,0.477933904
0.946505652,0.479062327
0.947646364,0.480261277
0.948786603,0.481178121
0.950306882,0.482377071
0.95239663,0.483646547
0.953536868,0.484563391
0.954867246,0.485691814
0.95619786,0.48696129
0.957528592,0.488301293
0.958669423,0.489570769
0.959810136,0.490769719
0.961330415,0.491968668
0.962281462,0.493238145
0.963232865,0.4947192
0.963993537,0.495636044
0.964754446,0.496693941
0.966274962,0.498033944
0.967225891,0.499232893
0.968937019,0.501066581
0.970077731,0.502265531
0.971598247,0.503605534
0.97292898,0.504945536
0.974069337,0.505932907
0.975400306,0.507413962
0.976921296,0.509036071
0.978061771,0.510093967
0.979392504,0.51143397
0.98053369,0.512915026
0.981295073,0.514255028
0.981866317,0.515383452
0.983196812,0.516582401
0.984337762,0.517922404
0.985288572,0.519050827
0.98642964,0.520461356
0.987570234,0.52158978
0.988901203,0.523070835
0.989852014,0.524199259
0.991182983,0.525680314
0.992893756,0.527302423
0.994034824,0.528712952
0.99479597,0.529911901
0.995746899,0.531110851
0.997268125,0.532874013
0.998978542,0.534284542
1.000309038,0.535483491
1.00125973,0.536541388
1.002401153,0.538163497
1.003921906,0.539644552
1.005252402,0.540843502
1.006772207,0.541760346
1.008673,0.543523507
1.009812765,0.544158245
1.010953359,0.545286669
1.011904051,0.546344566
1.013045237,0.547825621
1.014565161,0.548812992
1.015705992,0.550082468
1.016656803,0.551210891
1.018177674,0.552762473
1.018938464,0.553749843
1.020458862,0.55501932
1.022359063,0.556429849
1.024069717,0.557981431
1.025209837,0.558827748
1.026730472,0.560238277
1.027870829,0.561225648
1.028821284,0.562142492
1.030531465,0.563411968
1.031672178,0.564610918
1.033003265,0.5661625
1.033764174,0.567220396
1.034904413,0.56813724
1.036045244,0.569406716
1.038704578,0.570817246
1.040605016,0.572368828
1.042125058,0.573426724
1.043075987,0.574625674
1.044027035,0.57589515
1.045357293,0.576953047
1.046877217,0.577940418
1.049157103,0.579421473
1.050487836,0.580761476
1.053337308,0.582383584
1.055995813,0.583300428
1.057136289,0.584358325
1.059035779,0.585345695
1.061315073,0.586474119
1.062835471,0.587743595
1.065115001,0.589013071
1.06720463,0.590212021
1.068534889,0.591269918
1.06986503,0.592257288
1.072334699,0.593738344
1.074234544,0.594937293
1.076324528,0.596347822
1.078034946,0.597758352
1.080504141,0.598957301
1.082593889,0.600226778
1.084113812,0.601214148
1.086203205,0.602272045
1.088482498,0.603400468
1.090762266,0.604810997
1.092092643,0.60593942
1.093612567,0.606926791
1.094942471,0.607773108
1.096652296,0.608831005
1.098551787,0.609818375
1.100641416,0.611017325
1.103110493,0.612145748
1.104630772,0.613344698
1.106910184,0.614543648
1.109189714,0.615813124
1.111089797,0.617153127
1.113369091,0.61828155
1.114700297,0.619903659
1.116410359,0.621102608
1.118499751,0.622160505
1.122487805,0.623712087
1.124387532,0.62484051
1.126666826,0.625968934
1.128946593,0.627379463
1.131985139,0.628578413
1.135214178,0.630200521
1.138063532,0.631752103
1.141291979,0.633021579
1.144521136,0.634714214
1.148319525,0.636336323
1.151548091,0.637676325
1.155346361,0.639227907
1.160282858,0.640497384
1.163700733,0.64155528
1.167688313,0.642824757
1.171105952,0.643741601
1.174333925,0.644728971
1.177751445,0.645575288
1.18059997,0.646633185
1.186484436,0.64733845
1.190850873,0.648184767
