KC-OL-hm_4,
W,R
0.71857,0.74018
0.71897,0.74048
0.71937,0.74003
0.71977,0.73964
0.72017,0.73945
0.72057,0.73933
0.72097,0.73855
0.72137,0.73788
0.72177,0.73735
0.72217,0.73659
0.72258,0.73675
0.72298,0.73689
0.72338,0.7362
0.72379,0.73555
0.72419,0.73519
0.7246,0.73517
0.725,0.73571
0.72541,0.73552
0.72581,0.73415
0.72622,0.73344
0.72663,0.73373
0.72703,0.73341
0.72744,0.73254
0.72785,0.73242
0.72826,0.73298
0.72867,0.7331
0.72908,0.73181
0.72949,0.73015
0.7299,0.72988
0.73031,0.73025
0.73072,0.73011
0.73113,0.72951
0.73155,0.72932
0.73196,0.72859
0.73237,0.7277
0.73279,0.72819
0.7332,0.72836
0.73362,0.72757
0.73403,0.7266
0.73445,0.72603
0.73486,0.72607
0.73528,0.72585
0.7357,0.72568
0.73612,0.72577
0.73653,0.72529
0.73695,0.72358
0.73737,0.72213
0.73779,0.72221
0.73821,0.72271
0.73863,0.72306
0.73905,0.72299
0.73948,0.7227
0.7399,0.72198
0.74032,0.72124
0.74074,0.72135
0.74117,0.72116
0.74159,0.72055
0.74202,0.71952
0.74244,0.71829
0.74287,0.71811
0.74329,0.71852
0.74372,0.71818
0.74415,0.71722
0.74457,0.71668
0.745,0.71645
0.74543,0.7161
0.74586,0.7159
0.74629,0.71567
0.74672,0.71517
0.74715,0.71477
0.74758,0.71489
0.74801,0.71391
0.74844,0.71249
0.74887,0.71238
0.74931,0.71252
0.74974,0.71255
0.75017,0.71263
0.75061,0.71234
0.75104,0.71148
0.75148,0.71018
0.75191,0.70898
0.75235,0.70795
0.75279,0.70744
0.75323,0.70738
0.75366,0.70708
0.7541,0.70618
0.75454,0.70477
0.75498,0.70326
0.75542,0.70294
0.75586,0.70356
0.7563,0.70333
0.75674,0.70282
0.75719,0.70256
0.75763,0.70224
0.75807,0.70177
0.75851,0.70103
0.75896,0.70045
0.7594,0.7003
0.75985,0.69962
0.76029,0.69803
0.76074,0.69767
0.76119,0.69822
0.76163,0.69757
0.76208,0.69636
0.76253,0.69557
0.76298,0.69564
0.76343,0.69593
0.76388,0.69554
0.76433,0.69442
0.76478,0.69339
0.76523,0.69304
0.76568,0.69228
0.76614,0.69162
0.76659,0.6914
0.76704,0.69113
0.7675,0.69121
0.76795,0.69112
0.76841,0.69032
0.76886,0.68937
0.76932,0.68942
0.76977,0.68923
0.77023,0.68805
0.77069,0.68728
0.77115,0.68681
0.77161,0.68673
0.77207,0.68662
0.77253,0.68564
0.77299,0.68429
0.77345,0.68387
0.77391,0.68458
0.77437,0.685
0.77484,0.68464
0.7753,0.68334
0.77576,0.6822
0.77623,0.68181
0.77669,0.68145
0.77716,0.68159
0.77762,0.68183
0.77809,0.6815
0.77856,0.67989
0.77903,0.67838
0.7795,0.67816
0.77996,0.67735
0.78043,0.67638
0.7809,0.6759
0.78138,0.675
0.78185,0.67415
0.78232,0.67403
0.78279,0.67388
0.78326,0.67324
0.78374,0.673
0.78421,0.67291
0.78469,0.67294
0.78516,0.67297
0.78564,0.67266
0.78611,0.67229
0.78659,0.67167
0.78707,0.67099
0.78755,0.6704
0.78803,0.67018
0.7885,0.66948
0.78898,0.6682
0.78946,0.668
0.78995,0.66801
0.79043,0.66718
0.79091,0.66632
0.79139,0.66574
0.79188,0.66502
0.79236,0.66441
0.79284,0.66399
0.79333,0.66362
0.79382,0.66345
0.7943,0.663
0.79479,0.66227
0.79528,0.66197
0.79576,0.66191
0.79625,0.66134
0.79674,0.66056
0.79723,0.6598
0.79772,0.65885
0.79822,0.65861
0.79871,0.6586
0.7992,0.6578
0.79969,0.6574
0.80019,0.65741
0.80068,0.65663
0.80117,0.65595
0.80167,0.65623
0.80217,0.6564
0.80266,0.65583
0.80316,0.65498
0.80366,0.65472
0.80416,0.65448
0.80466,0.65329
0.80516,0.65262
0.80566,0.65269
0.80616,0.65225
0.80666,0.65175
0.80716,0.65131
0.80766,0.65073
0.80817,0.65048
0.80867,0.65017
0.80918,0.64952
0.80968,0.64924
0.81019,0.64917
0.81069,0.64894
0.8112,0.64878
0.81171,0.64827
0.81222,0.6472
0.81273,0.64623
0.81324,0.64599
0.81375,0.64608
0.81426,0.64591
0.81477,0.64568
0.81528,0.6452
0.8158,0.64441
0.81631,0.6439
0.81682,0.64346
0.81734,0.6432
0.81786,0.64341
0.81837,0.6431
0.81889,0.64222
0.81941,0.64194
0.81992,0.64195
0.82044,0.64113
0.82096,0.64018
0.82148,0.64013
0.822,0.64024
0.82253,0.64013
0.82305,0.63967
0.82357,0.63892
0.82409,0.63846
0.82462,0.6382
0.82514,0.63844
0.82567,0.6385
0.8262,0.63757
0.82672,0.63702
0.82725,0.63693
0.82778,0.63612
0.82831,0.6355
0.82884,0.63568
0.82937,0.63537
0.8299,0.63488
0.83043,0.63492
0.83096,0.63458
0.8315,0.63383
0.83203,0.63332
0.83256,0.6331
0.8331,0.63287
0.83363,0.63226
0.83417,0.63178
0.83471,0.63194
0.83525,0.63194
0.83578,0.63128
0.83632,0.63054
0.83686,0.62998
0.8374,0.62992
0.83794,0.63014
0.83849,0.62991
0.83903,0.62962
0.83957,0.62974
0.84012,0.62981
0.84066,0.62934
0.84121,0.62872
0.84175,0.62856
0.8423,0.62853
0.84285,0.62815
0.8434,0.62735
0.84395,0.62657
0.8445,0.62651
0.84505,0.6268
0.8456,0.6269
0.84615,0.62682
0.8467,0.62645
0.84726,0.62568
0.84781,0.62498
0.84836,0.62498
0.84892,0.62508
0.84948,0.62474
0.85003,0.62425
0.85059,0.62407
0.85115,0.62419
0.85171,0.624
0.85227,0.62376
0.85283,0.62367
0.85339,0.62345
0.85395,0.62312
0.85452,0.62263
0.85508,0.62242
0.85564,0.62286
0.85621,0.62267
0.85678,0.6215
0.85734,0.62121
0.85791,0.6217
0.85848,0.62166
0.85905,0.6211
0.85962,0.61993
0.86019,0.61941
0.86076,0.61991
0.86133,0.62018
0.8619,0.62011
0.86248,0.61974
0.86305,0.6195
0.86362,0.61937
0.8642,0.61935
0.86478,0.61923
0.86535,0.61896
0.86593,0.61852
0.86651,0.61824
0.86709,0.61833
0.86767,0.6182
0.86825,0.61786
0.86883,0.61756
0.86942,0.61729
0.87,0.61722
0.87058,0.61712
0.87117,0.61697
0.87176,0.61694
0.87234,0.61697
0.87293,0.61671
0.87352,0.61616
0.87411,0.61575
0.8747,0.61549
0.87529,0.61529
0.87588,0.61506
0.87647,0.61468
0.87706,0.61413
0.87766,0.61361
0.87825,0.61337
0.87885,0.61343
0.87944,0.61361
0.88004,0.61354
0.88064,0.61332
0.88124,0.61313
0.88184,0.61267
0.88244,0.61218
0.88304,0.61193
0.88364,0.61162
0.88424,0.61132
0.88485,0.61109
0.88545,0.61098
0.88606,0.61104
0.88666,0.61071
0.88727,0.61018
0.88788,0.60977
0.88849,0.60952
0.8891,0.60933
0.88971,0.60898
0.89032,0.60877
0.89093,0.60876
0.89154,0.60853
0.89215,0.60807
0.89277,0.60752
0.89338,0.6071
0.894,0.60675
0.89462,0.60656
0.89524,0.60649
0.89585,0.60616
0.89647,0.6056
0.89709,0.60524
0.89772,0.60501
0.89834,0.60454
0.89896,0.60415
0.89958,0.60398
0.90021,0.60352
0.90083,0.60298
0.90146,0.60267
0.90209,0.60231
0.90272,0.60187
0.90335,0.60142
0.90398,0.60089
0.90461,0.60043
0.90524,0.6001
0.90587,0.59967
0.9065,0.59924
0.90714,0.59895
0.90777,0.59864
0.90841,0.59835
0.90905,0.59798
0.90968,0.59751
0.91032,0.59699
0.91096,0.59634
0.9116,0.59585
0.91225,0.59551
0.91289,0.59509
0.91353,0.59462
0.91418,0.59411
0.91482,0.59371
0.91547,0.59335
0.91611,0.59289
0.91676,0.59248
0.91741,0.59208
0.91806,0.59156
0.91871,0.59101
0.91936,0.59055
0.92001,0.5901
0.92067,0.58956
0.92132,0.58903
0.92198,0.58838
