LVM-EN_1,
0.517370655,0.403236991
0.524855641,0.40322745
0.533403777,0.402601827
0.539813345,0.40197893
0.54409048,0.401973478
0.552638616,0.401347855
0.556915751,0.401342403
0.563331453,0.401334225
0.569734889,0.400096609
0.577207607,0.39885763
0.584680326,0.397618651
0.591071494,0.395151598
0.597481063,0.394528701
0.603890632,0.393905804
0.608149366,0.392056195
0.614565068,0.392048017
0.617754519,0.390199772
0.62184935,0.389784734
0.626299588,0.389266789
0.631625561,0.387210911
0.639640078,0.386688423
0.646758413,0.385654805
0.653871637,0.384108921
0.657420583,0.38256758
0.664533807,0.381021696
0.672532989,0.378962411
0.678750032,0.376905397
0.682288755,0.374339525
0.68672877,0.372797049
0.689381534,0.370744578
0.695593466,0.368175299
0.698251341,0.366635094
0.703572203,0.36406695
0.706224967,0.36201448
0.70976369,0.359448608
0.714198593,0.357393866
0.718633497,0.355339124
0.724860763,0.354306641
0.729290555,0.351739633
0.733715236,0.34866036
0.73725907,0.346606754
0.739906723,0.344042017
0.742559487,0.341989547
0.746108432,0.340448206
0.749647154,0.337882334
0.754978239,0.336338722
0.760299101,0.333770578
0.766521255,0.33222583
0.770951048,0.329658823
0.774499993,0.328117482
0.780711925,0.325548202
0.785146828,0.32349346
0.788680439,0.320415323
0.795783441,0.317844907
0.801109414,0.315789029
0.807331569,0.314244281
0.812667765,0.313212935
0.81889503,0.312180452
0.826013366,0.311146834
0.832240632,0.310114352
0.838473009,0.309594135
0.843814316,0.309075054
0.847378595,0.309070511
0.852735236,0.310088227
0.858091877,0.311105944
0.864339588,0.312122524
0.868815382,0.314165908
0.872400106,0.316210427
0.877756747,0.317228144
0.884910862,0.319780386
0.886723669,0.322851708
0.890303282,0.324383962
0.894768854,0.325402814
0.896571438,0.327449606
0.901052344,0.330005255
0.904631957,0.331537509
0.907330722,0.33409543
0.910920558,0.336652215
0.915401463,0.339207865
0.918981076,0.340740118
0.922576023,0.343809169
0.926160747,0.345853689
0.929735249,0.346873677
0.935112335,0.349940456
0.938697059,0.351984976
0.941385602,0.353518365
0.944094591,0.357100818
0.945907398,0.360172141
0.949502345,0.363241192
0.953102403,0.366822508
0.95669735,0.369891559
0.962079548,0.373470604
0.966555342,0.375513988
0.971041358,0.378581903
0.978205695,0.382158676
0.98179042,0.384203196
0.987162395,0.386757709
0.990747119,0.388802229
0.994331843,0.390846748
1.001480846,0.392886725
1.007743891,0.395440102
1.014898006,0.397992344
1.017601883,0.401062531
1.022973858,0.403617044
1.028345833,0.406171558
1.033712696,0.408213806
1.039089783,0.411280585
1.044466869,0.414347364
1.051615872,0.416387341
1.057878917,0.418940718
1.064121517,0.419445033
1.070389673,0.422510677
1.075751425,0.424040659
1.081108067,0.425058375
1.086469819,0.426588357
1.091841794,0.429142871
1.098084394,0.429647186
1.103446146,0.431177168
1.10881301,0.433219415
1.115967124,0.435771657
1.121328877,0.437301639
1.128482991,0.439853881
1.136533287,0.442917253
1.142780998,0.443933834
1.147256792,0.445977217
1.152618544,0.447507199
1.157089227,0.449038317
1.160663729,0.450058305
1.165139523,0.452101689
1.171387233,0.45311827
1.178531125,0.45464598
1.18479417,0.457199358
1.189259742,0.45821821
1.194626605,0.460260458
1.19999858,0.462814971
1.207142472,0.464342682
1.215187657,0.466893788
1.222331549,0.468421498
1.228584371,0.469950344
1.233941012,0.470968061
1.241981085,0.473006901
1.248233907,0.474535747
1.25538291,0.476575724
1.260754885,0.479130237
1.265225568,0.480661355
1.269696251,0.482192473
1.275949073,0.483721319
1.280424867,0.485764703
1.285781508,0.486782419
1.291148372,0.488824667
1.298302486,0.491376909
1.304555309,0.492905755
1.310813242,0.494946867
1.317957134,0.496474578
1.326883166,0.498000016
1.335804086,0.499013189
1.339368365,0.499008646
1.344719895,0.499514097
1.351863787,0.501041807
1.35901279,0.503081783
1.367037529,0.503583826
1.373295462,0.505624938
1.379548285,0.507153785
1.385795996,0.508170365
1.392048818,0.509699212
1.398291417,0.510203526
1.405419975,0.51019444
1.411652352,0.509674223
1.417003882,0.510179674
1.423241371,0.510171723
1.432162291,0.511184896
1.437513821,0.511690346
1.44553856,0.512192389
1.452687563,0.514232366
1.458044204,0.515250082
1.464291915,0.516266663
1.473202613,0.516255304
1.48211331,0.516243946
1.490132938,0.516233723
1.498152566,0.5162235
1.506172194,0.516213278
1.515082891,0.516201919
1.521330602,0.5172185
1.526677021,0.517211685
1.532023439,0.51720487
1.541825207,0.517192376
1.547171625,0.51718556
1.551616751,0.51615535
1.560517226,0.51511946
1.564086617,0.515627182
1.571215175,0.515618096
1.576566705,0.516123546
1.581913123,0.516116731
1.589932751,0.516106509
1.595279169,0.516099693
1.603298797,0.516089471
1.608645216,0.516082656
1.616664844,0.516072433
1.622897221,0.515552217
1.63003089,0.516055396
1.635372197,0.515536315
1.640718616,0.5155295
1.649624202,0.515005876
1.658545122,0.516019049
1.663886429,0.515499968
1.671014988,0.515490881
1.679029504,0.514968393
1.687049132,0.51495817
1.692400662,0.515463621
1.699524108,0.514942268
1.705761597,0.514934317
1.712004196,0.515438632
1.719137866,0.515941811
1.724474062,0.514910465
1.73160262,0.514901378
1.736943927,0.514382297
1.742295457,0.514887748
1.745849513,0.513858673
1.752967849,0.512825055
1.757423198,0.512819375
1.763650463,0.511786893
1.768105812,0.511781214
1.774333078,0.510748732
1.781451413,0.509715113
1.789471041,0.509704891
1.79392639,0.509699212
1.801946018,0.509688989
1.805510297,0.509684446
1.81172734,0.507627432
1.817053313,0.505571554
1.825953788,0.504535664
1.834849152,0.502987508
1.841071306,0.50144276
1.846417725,0.501435945
1.850873074,0.501430266
1.858001632,0.501421179
1.866912329,0.501409821
1.874040887,0.501400734
1.881179668,0.502416179
1.886531198,0.502921629
1.894550826,0.502911407
1.900793425,0.503415722
1.907911761,0.502382103
1.913247957,0.501350757
1.917703305,0.501345078
1.923039501,0.500313731
1.926598669,0.499796922
1.932836157,0.499788971
1.941741744,0.499265347
1.947088162,0.499258532
1.952434581,0.499251717
1.959563139,0.49924263
1.967587878,0.499744673
1.975602394,0.499222185
1.980943702,0.498703104
1.98807226,0.498694017
1.994294414,0.497149269
2.0032,0.496625645
2.007655349,0.496619966
2.020130326,0.496604064
2.027258884,0.496594977
2.033491261,0.496074761
2.039728749,0.49606681
2.044173875,0.495036599
2.048619002,0.494006388
2.051292211,0.494002981
2.056628407,0.492971634
2.061078644,0.492453689
2.069098272,0.492443467
2.07800897,0.492432108
2.083360499,0.492937559
2.087810737,0.492419614
2.094934184,0.491898262
2.100275491,0.491379181
2.109181077,0.490855557
2.114517273,0.48982421
2.118962399,0.488793999
2.124313929,0.48929945
2.132333557,0.489289227
2.139451893,0.488255609
2.143891907,0.486713133
2.150119173,0.485680651
2.159029871,0.485669292
2.167925234,0.484121136
2.175048681,0.483599784
2.180400211,0.484105235
2.186637699,0.484097284
2.196429244,0.483060258
2.204438649,0.482025504
2.212453166,0.481503016
2.220467682,0.480980527
2.22580899,0.480461447
2.235610757,0.480448952
2.241838023,0.47941647
2.251629567,0.478379444
2.254302777,0.478376037
2.262322404,0.478365814
2.269445851,0.477844462
2.275657783,0.475275182
2.283677411,0.475264959
2.291697039,0.475254737
2.297924304,0.474222254
2.305943932,0.474212032
2.31307249,0.474202945
2.321978076,0.473679321
2.328215565,0.47367137
2.331774733,0.473154561
2.337126262,0.473660012
2.342472681,0.473653197
2.35138849,0.474154104
2.35852727,0.475169548
2.363889023,0.476699531
2.368354594,0.477718383
2.372825277,0.479249501
2.378192141,0.481291749
2.385330921,0.482307193
2.388905423,0.483327181
2.394256953,0.483832632
2.399618705,0.485362614
2.409440918,0.487399183
2.416589921,0.489439159
2.422842743,0.490968005
2.429991747,0.493007981
2.436229235,0.49300003
2.440689695,0.493506617
2.446041225,0.494012068
2.451392755,0.494517518
2.458521313,0.494508431
2.468333303,0.495520469
2.479942766,0.498067031
2.487096881,0.500619273
2.496903759,0.501119045
2.502265512,0.502649027
2.512077502,0.503661064
2.51920606,0.503651977
2.528132091,0.505177416
2.534395136,0.507730794
2.540663292,0.510796437
2.550485504,0.512833006
2.554951076,0.513851858
2.565654136,0.514862759
2.570119707,0.515881611
2.574575056,0.515875932
2.582604906,0.516890241
2.590634757,0.51790455
2.597773537,0.518919995
2.604031471,0.520961107
2.612061321,0.521975415
2.617417962,0.522993132
2.626338882,0.524006305

