Brown University Keck/NASA Relab Spectrum MS-CMP-044-A/CAMS44,,
W,R,Standard Deviation
1.92,0.71336,0.00283
1.925,0.71301,0.00321
1.93,0.71275,0.00343
1.935,0.71235,0.00407
1.94,0.71163,0.00443
1.945,0.71203,0.00564
1.95,0.71242,0.00568
1.955,0.71285,0.00545
1.96,0.71267,0.00528
1.965,0.71198,0.0058
1.97,0.7114,0.00623
1.975,0.71141,0.00681
1.98,0.71092,0.00653
1.985,0.71064,0.00698
1.99,0.71016,0.00628
1.995,0.71011,0.00639
2,0.70987,0.00652
2.005,0.7097,0.00673
2.01,0.70898,0.00718
2.015,0.70863,0.00703
2.02,0.70765,0.00704
2.025,0.70752,0.0079
2.03,0.70714,0.00823
2.035,0.70697,0.00705
2.04,0.70604,0.00694
2.045,0.7047,0.00721
2.05,0.70429,0.0076
2.055,0.70324,0.00762
2.06,0.70272,0.00845
2.065,0.70196,0.00873
2.07,0.70081,0.00831
2.075,0.69932,0.00791
2.08,0.69811,0.00733
2.085,0.69693,0.00732
2.09,0.696,0.00711
2.095,0.69462,0.00892
2.1,0.69337,0.00868
2.105,0.69212,0.0081
2.11,0.69035,0.00824
2.115,0.68904,0.00742
2.12,0.68785,0.00744
2.125,0.68683,0.00834
2.13,0.68536,0.00826
2.135,0.68327,0.00855
2.14,0.68205,0.00875
2.145,0.67995,0.00824
2.15,0.67891,0.00761
2.155,0.67731,0.00816
2.16,0.67563,0.0081
2.165,0.67472,0.00706
2.17,0.67284,0.00804
2.175,0.67117,0.00824
2.18,0.66974,0.0078
2.185,0.66904,0.00817
2.19,0.66725,0.0084
2.195,0.66597,0.00838
2.2,0.66437,0.00773
2.205,0.66259,0.00716
2.21,0.66151,0.00774
2.215,0.65945,0.00896
2.22,0.65734,0.00848
2.225,0.655,0.00847
2.23,0.65188,0.00753
2.235,0.64839,0.00784
2.24,0.6454,0.00789
2.245,0.64241,0.00761
2.25,0.64053,0.00898
2.255,0.64061,0.0083
2.26,0.6403,0.00808
2.265,0.64034,0.00768
2.27,0.63958,0.00799
2.275,0.63853,0.00833
2.28,0.63747,0.00864
2.285,0.63436,0.00803
2.29,0.63114,0.00835
2.295,0.62834,0.00645
2.3,0.62571,0.00797
2.305,0.62321,0.00783
2.31,0.62005,0.00788
2.315,0.61766,0.00706
2.32,0.61675,0.00715
2.325,0.61645,0.00659
2.33,0.61621,0.0067
2.335,0.61634,0.00717
2.34,0.61733,0.00671
2.345,0.61802,0.00698
2.35,0.61858,0.00679
2.355,0.61792,0.00662
2.36,0.61854,0.00651
2.365,0.62053,0.00693
2.37,0.62221,0.00685
2.375,0.62269,0.00683
2.38,0.62286,0.00716
2.385,0.62202,0.00719
2.39,0.62179,0.00623
2.395,0.62334,0.00666
2.4,0.62555,0.00663
2.405,0.62766,0.007
2.41,0.63003,0.00765
2.415,0.63116,0.00669
2.42,0.63096,0.00647
2.425,0.63143,0.00624
2.43,0.63122,0.00624
2.435,0.63173,0.00646
2.44,0.63357,0.00678
2.445,0.63324,0.00626
2.45,0.63347,0.0054
2.455,0.63327,0.00585
2.46,0.63327,0.00571
2.465,0.63322,0.00527
2.47,0.63396,0.00557
2.475,0.6354,0.00323
2.48,0.6363,0.00369
2.485,0.63784,0.00404
2.49,0.63904,0.00496
2.495,0.64062,0.0044
2.5,0.64096,0.00418
