EK-OL_10,
W,R
0.940202431,0.333184137
0.947325439,0.330435697
0.957493048,0.328317144
0.965700286,0.325664317
0.974783665,0.324358508
0.983054308,0.3222585
0.992074282,0.318774392
0.999387505,0.316802944
1.009364898,0.313190275
1.017762352,0.311348504
1.026655515,0.311574243
1.035116374,0.311357987
1.043946132,0.310723143
1.052470396,0.31136747
1.061236749,0.312740538
1.068803593,0.314791696
1.074928542,0.315478103
1.079914313,0.316589466
1.084115966,0.319581484
1.088199265,0.323682076
1.095817982,0.327675608
1.102490813,0.329154367
1.106574112,0.331205778
1.113108599,0.334186978
1.119844835,0.335994451
1.123928134,0.338728922
1.128642415,0.341735108
1.131073908,0.346929549
1.139240506,0.349666252
1.146117958,0.354380096
1.152511229,0.357187165
1.162398084,0.360935307
1.166802777,0.364025575
1.172927726,0.366078103
1.180699192,0.369458591
1.188240098,0.370867891
1.194365047,0.373603478
1.197989808,0.376639276
1.20559412,0.379074095
1.210698244,0.381126065
1.215280425,0.38305503
1.219885668,0.385229446
1.226010617,0.387281973
1.232234212,0.388920804
1.23723969,0.39138647
1.243364639,0.393438997
1.249861659,0.395886537
1.255614537,0.398227112
1.260718661,0.400279081
1.267152275,0.403784346
1.273989383,0.407116934
1.280114332,0.409852521
1.284442892,0.41153873
1.291343405,0.415323138
1.295426705,0.41805761
1.301733509,0.419866814
1.308697428,0.423529343
1.314822376,0.42489881
1.319515336,0.427621467
1.32196815,0.431733316
1.325030625,0.43583335
1.332497333,0.437733175
1.337280523,0.441304525
1.343405472,0.444040112
1.350461611,0.447526608
1.35565537,0.449511287
1.361780318,0.452246874
1.368380977,0.456396862
1.373009392,0.461815852
1.376071866,0.465915886
1.380755914,0.468005092
1.386280114,0.472069006
1.391384238,0.476170155
1.397617838,0.480205409
1.402613312,0.485056073
1.41077991,0.487792776
1.414303888,0.489162024
1.417925684,0.493261162
1.417925684,0.499408703
1.425125638,0.502566015
1.431196407,0.506929616
1.436300531,0.511030765
1.441630317,0.513934273
1.447529604,0.517184442
1.453654553,0.52196921
1.458920934,0.524509344
1.464883626,0.529489007
1.472050707,0.534336896
1.475091874,0.539740487
1.481216823,0.543842195
1.488449714,0.545738683
1.493466721,0.54794725
1.50163332,0.552733133
1.506750822,0.556491879
1.509799918,0.560251257
1.511841568,0.565716853
1.518914134,0.567266764
1.522049816,0.572553033
1.528174765,0.57665474
1.535942772,0.578957218
1.542466313,0.57939479
1.547570437,0.58486206
1.553233389,0.58867174
1.559820335,0.593065476
1.564924459,0.596483565
1.570524006,0.600202976
1.575132707,0.602636685
1.581257656,0.605372272
1.587814622,0.608196402
1.594528379,0.612210125
1.599632503,0.612212914
1.605105239,0.616524485
1.609840751,0.620415214
1.616986525,0.623151359
1.622395856,0.626334624
1.628215598,0.628621976
1.636382197,0.627260318
1.639686473,0.631794213
1.648632095,0.636146793
1.65634834,0.639108418
1.660881993,0.642984089
1.669048591,0.643671611
1.674267706,0.645486268
1.683340139,0.647777781
1.691558323,0.650945857
1.697631686,0.653250072
1.70918577,0.656634426
1.712944059,0.66008904
1.719069008,0.662141568
1.726139556,0.662438733
1.73642303,0.662834111
1.743430173,0.665412293
1.751735402,0.664891659
1.751735402,0.67035614
1.76072079,0.669437634
1.770110249,0.671049241
1.778011407,0.674132291
1.784401797,0.675155411
1.795302024,0.676388727
1.801755819,0.678580194
1.81259264,0.680222835
1.820130666,0.680639416
1.829883257,0.682335846
1.837484688,0.682015019
1.847173874,0.685500639
1.856880359,0.687490099
1.864464491,0.690386528
1.875255206,0.6915985
1.881755107,0.692786389
1.889546754,0.69433855
1.899045724,0.697528854
1.907921601,0.697080831
1.916336341,0.697012412
1.926296448,0.698456993
1.933626958,0.700416246
1.942629645,0.701198158
1.949570254,0.704095948
1.95518409,0.700380217
1.957942017,0.705304886
1.96917109,0.706677143
1.972923814,0.707895806
1.979379339,0.709414961
1.984483463,0.712149991
1.990214431,0.713785669
1.996733361,0.716255046
2.007505047,0.717380736
2.014087383,0.717630649
2.023274806,0.71900179
2.025469324,0.722130398
2.029399755,0.727201858
2.036545529,0.730621063
2.043174501,0.72704646
2.050837076,0.731311933
2.05872195,0.731201402
2.065128624,0.731319742
2.071253573,0.73268921
2.078014835,0.734329725
2.08554512,0.7381615
2.093303183,0.74024809
2.099836668,0.74226767
2.105961617,0.745686318
2.111248748,0.746600457
2.120253165,0.748426368
2.129886685,0.748632247
2.134544712,0.751166418
2.138628011,0.75595007
2.145829981,0.754698947
2.152919559,0.754591759
2.163120598,0.752174559
2.169252756,0.752551504
2.173336056,0.752553736
2.180411215,0.750367294
2.191710902,0.751197656
2.197701832,0.750663592
2.20600245,0.751888526
2.214992448,0.751677013
2.222335647,0.751897451
2.232956726,0.752670314
2.238668844,0.752589437
2.248525766,0.751411675
2.256022866,0.75328198
2.266864299,0.755195361
2.275418538,0.756024819
2.284154915,0.758933852
2.291751735,0.761498225
2.301445532,0.762050837
2.311147407,0.762191884
2.319746639,0.763874136
2.32441813,0.766980556
2.331563904,0.769716702
2.336026766,0.772157274
2.346876276,0.77382343
2.353317382,0.774796176
2.361167824,0.77656348
2.370607999,0.777721927
2.376480196,0.777937967
2.38362597,0.779307992
2.387898616,0.779739322
2.395875868,0.780680806
2.405189233,0.781469867
2.41322989,0.78273947
2.422479849,0.78272233
2.430583912,0.783432013
2.439770466,0.783305477
2.448958759,0.783442054
2.457061083,0.78455794
2.463250306,0.785499044
2.47243773,0.785504064
2.47569902,0.782140149
2.482645978,0.782094342
2.490294996,0.782598888
2.502645436,0.785347782
