SM_OLV,
W,R
1.846784151,0.809136891
1.860397375,0.811551495
1.871108879,0.809632747
1.880857028,0.80530697
1.887687918,0.800498155
1.891603492,0.794725013
1.899407449,0.789916781
1.909151713,0.786553583
1.916926537,0.788964691
1.93053005,0.793785742
1.943160496,0.79860621
1.958714027,0.802465847
1.969406109,0.805359993
1.992740291,0.810186871
1.983017391,0.808255886
2.00246319,0.812117855
2.018014779,0.816458782
2.033572195,0.81935584
2.043293152,0.821768114
2.051073802,0.822735354
2.061775595,0.823223053
2.074415752,0.825637074
2.089980937,0.826608976
2.104571113,0.828061584
2.118192106,0.828551031
2.130830321,0.831446341
2.14152823,0.832896619
2.150278062,0.83482702
2.169729688,0.837245121
2.18626017,0.840142762
2.201827297,0.840633374
2.214477166,0.840640949
2.224205892,0.841128065
2.235874925,0.843060215
2.249497861,0.843068372
2.260217134,0.839224467
2.267042197,0.83585952
2.275813395,0.832495739
2.281663449,0.829611499
2.292378838,0.826730172
2.300180853,0.822403229
2.304051755,0.827699743
2.311820752,0.831554719
2.320568642,0.83396641
2.335164645,0.83397515
2.349758705,0.834465179
2.36046244,0.834471589
2.368246975,0.83447625
2.383816044,0.834485573
2.395492846,0.834492565
2.403283207,0.833053358
2.415927249,0.834504801
2.428571291,0.834029144
2.441215333,0.834035262
2.453859375,0.83404138
2.466503417,0.834047498
2.479147459,0.834053616
2.491791501,0.834059734
2.504435543,0.834065852
2.517079585,0.83407197
2.529723627,0.834078088
