OC-PZ-Xin,
W,R
1.297143127,0.095495356
1.308481048,0.095619932
1.317909674,0.095775504
1.327338299,0.095931077
1.338652649,0.096117764
1.348081275,0.096273336
1.355612389,0.096428849
1.363131718,0.096615418
1.370662832,0.096770932
1.380091458,0.096926504
1.387622572,0.097082017
1.395141901,0.097268586
1.408377334,0.097393221
1.415908448,0.097548734
1.425325288,0.097735362
1.436651424,0.097890993
1.448001131,0.097984513
1.457429757,0.098140086
1.466881954,0.098233547
1.478243447,0.098296012
1.491502451,0.098358535
1.502899302,0.098327833
1.514284367,0.098328187
1.521897982,0.098266312
1.53520413,0.098204613
1.54282953,0.098111682
1.552352442,0.09801881
1.560001414,0.097863768
1.569547897,0.097708785
1.577173298,0.097615854
1.584834056,0.097429757
1.592471243,0.09730577
1.603938808,0.097088735
1.613497077,0.096902697
1.623055346,0.096716658
1.632613615,0.096530619
1.642171884,0.096344581
1.649832642,0.096158483
1.657469828,0.096034497
1.665142372,0.095817344
1.67280313,0.095631246
1.682349613,0.095476263
1.690010371,0.095290166
1.69767113,0.095104068
1.703434377,0.094917912
1.714878371,0.094762988
1.722550915,0.094545835
1.730199887,0.094390793
1.739758156,0.094204754
1.74932821,0.09398766
1.756988969,0.093801563
1.768421177,0.093677694
1.77796766,0.093522711
1.785628418,0.093336614
1.798946351,0.09324386
1.808481048,0.093119932
1.816118235,0.092995946
1.827550443,0.092872077
1.842777673,0.092748326
1.856095606,0.092655572
1.863721007,0.092562641
1.875153215,0.092438773
1.888459363,0.092377074
1.90176551,0.092315376
1.913174147,0.092253618
1.922685272,0.092191802
1.932184612,0.092161041
1.945478974,0.092130398
1.95876155,0.09213081
1.970123044,0.092193275
1.981484537,0.09225574
1.992846031,0.092318204
2.004207524,0.092380669
2.013647935,0.092505186
2.024997643,0.092598706
2.038268433,0.092630174
2.04772063,0.092723635
2.059058552,0.092848211
2.070420045,0.092910676
2.079895814,0.092942026
2.091257307,0.09300449
2.098811993,0.093097893
2.106354893,0.093222351
2.113909579,0.093315753
2.121440694,0.093471266
2.132778616,0.093595842
2.144116538,0.093720418
2.157375542,0.093782941
2.166827739,0.093876403
2.180086743,0.093938926
2.187629644,0.094063384
2.197093626,0.09412579
2.204636526,0.094250248
2.215986234,0.094343768
2.223576278,0.094344003
2.234937771,0.094406468
2.2424571,0.094593037
2.253806807,0.094686557
2.265144729,0.094811133
2.272711201,0.09487348
2.285946634,0.094998114
2.297284556,0.09512269
2.306748539,0.095185096
2.318074675,0.095340727
2.329424382,0.095434247
2.336979068,0.095527649
2.344510183,0.095683163
2.352088441,0.095714454
2.367256741,0.095745981
2.378618235,0.095808446
2.389979728,0.09587091
2.403226947,0.095964489
2.412702715,0.09599584
2.425985291,0.095996252
2.433528192,0.09612071
2.439173581,0.096245109
2.446728267,0.096338511
2.454306525,0.096369802
2.463782293,0.096401153
2.473281633,0.096370392
2.480871676,0.096370627
2.488426362,0.09646403
2.492162455,0.096619425
