SS_OL_3,
W,R
1.679998684,0.703530798
1.685625482,0.707203282
1.692182566,0.710592804
1.696398512,0.712852539
1.700616831,0.715394918
1.705755946,0.716523757
1.71276038,0.717651964
1.721159058,0.718214406
1.72955299,0.718211559
1.735624765,0.719340082
1.740775743,0.721882145
1.745926721,0.724424208
1.752945389,0.727248283
1.760896717,0.730072042
1.767444311,0.732330986
1.77166263,0.734873365
1.780544245,0.737414163
1.785219403,0.738825805
1.794082038,0.739105444
1.801540939,0.738820269
1.808540627,0.739383186
1.818338293,0.739945154
1.82487877,0.741356163
1.832815863,0.742484054
1.840291371,0.744177391
1.846360773,0.74502327
1.851966218,0.746151951
1.858973025,0.747562802
1.866448533,0.74925614
1.872058723,0.75095011
1.878139988,0.753209212
1.884216507,0.754903025
1.890745121,0.75490081
1.899148544,0.756028542
1.907078519,0.756308498
1.913609506,0.756588929
1.921537109,0.75658624
1.9308637,0.756583076
1.937399432,0.757428796
1.945812345,0.759687107
1.954691587,0.76194526
1.962169467,0.763921243
1.968712317,0.765614897
1.976197315,0.768438814
1.980403771,0.76956797
1.991619406,0.772390621
1.996768012,0.774650039
2.000508138,0.775779353
2.007058105,0.778320941
2.013605699,0.780579885
2.024833197,0.784815761
2.033234247,0.785660848
2.038834947,0.786224239
2.043502988,0.786787947
2.048166283,0.786786365
2.056562588,0.787066163
2.062158543,0.787064265
2.067759243,0.787627657
2.073821528,0.787625601
2.080816472,0.787623228
2.085943725,0.787338843
2.093412115,0.788184247
2.101344463,0.788746848
2.108344152,0.789309765
2.117209159,0.789872049
2.12748739,0.792129727
2.134962898,0.793823065
2.141505747,0.79551672
2.151308159,0.796643977
2.159249997,0.798337157
2.167672399,0.801726047
2.178869054,0.80228754
2.187731689,0.80256718
2.194265048,0.803130255
2.200332077,0.803693488
2.205932777,0.80425688
2.212475626,0.805950534
2.219482433,0.807361385
2.231611747,0.807922563
2.238609063,0.808202835
2.246546156,0.809330725
2.254478504,0.809893326
2.26101898,0.811304335
2.26755234,0.81186741
2.274085699,0.812430486
2.281085388,0.812993403
2.289015363,0.813273358
2.297409295,0.813270511
2.305336898,0.813267823
2.312800544,0.813547937
2.320728147,0.813545248
2.32865575,0.813542559
2.335650693,0.813540186
2.342174563,0.812972683
2.349640581,0.813535441
2.355236536,0.813533543
2.362697809,0.813531013
2.368296137,0.81381176
2.373896837,0.814375151
2.378562505,0.814656214
2.385571684,0.81634971
2.393032957,0.816347179
2.40097005,0.81747507
2.407969739,0.818037987
2.415906832,0.819165877
2.421041202,0.819729427
2.427108231,0.82029266
2.435504536,0.820572458
2.442968182,0.820852572
2.450427083,0.820567396
2.457410164,0.8191518
2.465323532,0.817453243
2.47557092,0.816036539
2.481157385,0.814904062
2.48673436,0.812641006
2.493260602,0.812356147
2.500712385,0.811223037
2.504416924,0.80811268
2.509068357,0.806697874
2.515577991,0.804434502
2.521173946,0.804432604
2.528164145,0.803864942
2.535154344,0.80329728
2.543081947,0.803294591
2.551927974,0.801595717
2.55844947,0.800745568
2.564043053,0.800461026
2.568699231,0.79961151
2.575694175,0.799609137
2.585023139,0.799888619
2.593390974,0.796776679
