BRU_LE2CPX,
W,R
0.765,0.538983
0.766,0.539078
0.767,0.537899
0.768,0.539265
0.769,0.540752
0.77,0.542044
0.771,0.541389
0.772,0.540886
0.773,0.54235
0.774,0.54318
0.775,0.541886
0.776,0.541788
0.777,0.54311
0.778,0.543501
0.779,0.543223
0.78,0.545184
0.781,0.545872
0.782,0.545212
0.783,0.545939
0.784,0.546721
0.785,0.549646
0.786,0.549149
0.787,0.550772
0.788,0.550701
0.789,0.549019
0.79,0.550654
0.791,0.55006
0.792,0.550111
0.793,0.550912
0.794,0.552907
0.795,0.553878
0.796,0.555717
0.797,0.557891
0.798,0.55678
0.799,0.555344
0.8,0.555836
0.801,0.556417
0.802,0.556832
0.803,0.558405
0.804,0.556803
0.805,0.555934
0.806,0.557613
0.807,0.559915
0.808,0.559417
0.809,0.560303
0.81,0.563104
0.811,0.562605
0.812,0.5631
0.813,0.562448
0.814,0.561225
0.815,0.562175
0.816,0.563358
0.817,0.562839
0.818,0.562756
0.819,0.565395
0.82,0.56783
0.821,0.5668
0.822,0.565922
0.823,0.566804
0.824,0.566786
0.825,0.568449
0.826,0.568779
0.827,0.569774
0.828,0.570067
0.829,0.554605
0.83,0.571073
0.831,0.568299
0.832,0.566337
0.833,0.567671
0.834,0.574697
0.835,0.574333
0.836,0.567578
0.837,0.570119
0.838,0.568595
0.839,0.565645
0.84,0.565701
0.841,0.568222
0.842,0.571371
0.843,0.567863
0.844,0.573615
0.845,0.570538
0.846,0.569016
0.847,0.565437
0.848,0.566508
0.849,0.566324
0.85,0.56475
0.851,0.565102
0.852,0.568208
0.853,0.562813
0.854,0.561643
0.855,0.558874
0.856,0.562995
0.857,0.56984
0.858,0.574487
0.859,0.571597
0.86,0.576719
0.861,0.573228
0.862,0.569866
0.863,0.572904
0.864,0.5764
0.865,0.573938
0.866,0.572527
0.867,0.573313
0.868,0.573353
0.869,0.573718
0.87,0.572635
0.871,0.572776
0.872,0.570396
0.873,0.571921
0.874,0.571104
0.875,0.569794
0.876,0.572632
0.877,0.57252
0.878,0.570565
0.879,0.567803
0.88,0.568203
0.881,0.568286
0.882,0.567463
0.883,0.569612
0.884,0.570245
0.885,0.570106
0.886,0.570659
0.887,0.572951
0.888,0.572848
0.889,0.572393
0.89,0.567197
0.891,0.567432
0.892,0.567354
0.893,0.568746
0.894,0.565877
0.895,0.566962
0.896,0.565978
0.897,0.565985
0.898,0.565629
0.899,0.566614
0.9,0.565648
0.901,0.564158
0.902,0.563012
0.903,0.5612
0.904,0.564449
0.905,0.563147
0.906,0.561224
0.907,0.563043
0.908,0.561033
0.909,0.559409
0.91,0.558117
0.911,0.558158
0.912,0.558427
0.913,0.556539
0.914,0.555258
0.915,0.556652
0.916,0.555395
0.917,0.554524
0.918,0.555498
0.919,0.555472
0.92,0.553952
0.921,0.554353
0.922,0.552843
0.923,0.553116
0.924,0.550975
0.925,0.55138
0.926,0.550027
0.927,0.549494
0.928,0.549397
0.929,0.549067
0.93,0.548846
0.931,0.547178
0.932,0.546904
0.933,0.545838
0.934,0.545572
0.935,0.544608
0.936,0.544505
0.937,0.543786
0.938,0.54339
0.939,0.542485
0.94,0.542011
0.941,0.541231
0.942,0.540207
0.943,0.539763
0.944,0.538927
0.945,0.538365
0.946,0.537087
0.947,0.536605
0.948,0.535579
0.949,0.534493
0.95,0.533857
0.951,0.533595
0.952,0.532574
0.953,0.532139
0.954,0.53135
0.955,0.530557
0.956,0.529843
0.957,0.530068
0.958,0.530239
0.959,0.529152
0.96,0.527605
0.961,0.525876
0.962,0.525381
0.963,0.524542
0.964,0.523288
0.965,0.523189
0.966,0.522288
0.967,0.521736
0.968,0.521352
0.969,0.520573
0.97,0.519582
0.971,0.518355
0.972,0.517366
0.973,0.51568
0.974,0.515038
0.975,0.513896
0.976,0.512488
0.977,0.511687
0.978,0.511277
0.979,0.510752
0.98,0.509374
0.981,0.507861
0.982,0.507479
0.983,0.505868
0.984,0.50517
0.985,0.504278
0.986,0.503804
0.987,0.5032
0.988,0.501576
0.989,0.500568
0.99,0.500133
0.991,0.499478
0.992,0.498826
0.993,0.497521
0.994,0.496415
0.995,0.495461
0.996,0.494919
0.997,0.494495
0.998,0.493988
0.999,0.49329
1,0.492498
1.001,0.491789
1.002,0.490687
1.003,0.490373
1.004,0.490029
1.005,0.489566
1.006,0.488966
1.007,0.487852
1.008,0.48717
1.009,0.486476
1.01,0.485675
1.011,0.485002
1.012,0.484541
1.013,0.483589
1.014,0.482561
1.015,0.482074
1.016,0.481921
1.017,0.482026
1.018,0.48179
1.019,0.481229
1.02,0.480864
1.021,0.48087
1.022,0.482164
1.023,0.483055
1.024,0.481744
1.025,0.479713
1.026,0.479331
1.027,0.479286
1.028,0.479221
1.029,0.478895
1.03,0.478759
1.031,0.478633
1.032,0.478452
1.033,0.478171
1.034,0.477863
1.035,0.478278
1.036,0.478212
1.037,0.477774
1.038,0.47789
1.039,0.477557
1.04,0.477391
1.041,0.477618
1.042,0.477456
1.043,0.478005
1.044,0.478112
1.045,0.478072
1.046,0.478065
1.047,0.477988
1.048,0.478968
1.049,0.478568
1.05,0.478783
1.051,0.478673
1.052,0.47954
1.053,0.479427
1.054,0.479986
1.055,0.479437
1.056,0.480061
1.057,0.480317
1.058,0.480672
1.059,0.481013
1.06,0.481736
1.061,0.481705
1.062,0.482147
1.063,0.482705
1.064,0.483605
1.065,0.484225
1.066,0.484691
1.067,0.48535
1.068,0.485859
1.069,0.486536
1.07,0.487075
1.071,0.487786
1.072,0.4882
1.073,0.489334
1.074,0.490027
1.075,0.489737
1.076,0.491328
1.077,0.491676
1.078,0.492405
1.079,0.492268
1.08,0.493426
1.081,0.494675
1.082,0.495137
1.083,0.496328
1.084,0.497206
1.085,0.498455
1.086,0.498682
1.087,0.500444
1.088,0.501979
1.089,0.503037
1.09,0.505217
1.091,0.505794
1.092,0.50542
1.093,0.506741
1.094,0.507135
1.095,0.508213
1.096,0.510501
1.097,0.511255
1.098,0.511583
1.099,0.513347
1.1,0.514578
1.101,0.515073
1.102,0.516836
1.103,0.517835
1.104,0.518423
1.105,0.519886
1.106,0.520892
1.107,0.52269
1.108,0.524127
1.109,0.524996
1.11,0.525369
1.111,0.527379
1.112,0.529467
1.113,0.529555
1.114,0.531457
1.115,0.531883
1.116,0.534063
1.117,0.534305
