KC_OL_arm_1,
W,R
0.62897,0.53777
0.62927,0.53708
0.62958,0.53919
0.62988,0.5365
0.63019,0.5358
0.6305,0.53646
0.6308,0.53851
0.63111,0.54038
0.63142,0.53796
0.63173,0.53709
0.63203,0.53611
0.63234,0.5321
0.63358,0.52113
0.63389,0.53459
0.6342,0.5363
0.63451,0.53818
0.63482,0.53728
0.63513,0.53828
0.63544,0.53955
0.63575,0.53639
0.63607,0.54015
0.63638,0.53848
0.63669,0.54094
0.637,0.53848
0.63732,0.53711
0.63763,0.53814
0.63794,0.53629
0.63826,0.53918
0.63857,0.53782
0.63889,0.54121
0.6392,0.53968
0.63952,0.53879
0.63983,0.54022
0.64015,0.5397
0.64046,0.54191
0.64078,0.53935
0.6411,0.54095
0.64142,0.53881
0.64173,0.54032
0.64205,0.5423
0.64237,0.54013
0.64269,0.54169
0.64301,0.53975
0.64333,0.54162
0.64364,0.54016
0.64396,0.54133
0.64428,0.54317
0.64461,0.54204
0.64493,0.54378
0.64525,0.54261
0.64557,0.54422
0.64589,0.54215
0.64621,0.54286
0.64653,0.54371
0.64686,0.54281
0.64718,0.5443
0.6475,0.54219
0.64783,0.544
0.64815,0.54294
0.64847,0.54252
0.6488,0.54245
0.64912,0.54206
0.64945,0.54358
0.64978,0.54275
0.6501,0.54471
0.65043,0.54349
0.65075,0.54445
0.65108,0.5456
0.65141,0.54522
0.65173,0.5466
0.65206,0.54588
0.65239,0.54716
0.65272,0.54621
0.65305,0.54668
0.65338,0.54643
0.65371,0.54494
0.65404,0.54539
0.65437,0.54507
0.6547,0.54655
0.65503,0.54631
0.65536,0.54807
0.65569,0.54886
0.65602,0.54782
0.65635,0.54826
0.65669,0.54741
0.65702,0.54682
0.65735,0.54656
0.65769,0.54917
0.65802,0.54996
0.65836,0.54902
0.65869,0.54917
0.65902,0.54972
0.65936,0.55099
0.6597,0.55
0.66003,0.5511
0.66037,0.55225
0.6607,0.55179
0.66104,0.55082
0.66138,0.54938
0.66172,0.55072
0.66205,0.55224
0.66239,0.55363
0.66273,0.55318
0.66307,0.55095
0.66341,0.54987
0.66375,0.54994
0.66409,0.55083
0.66443,0.55169
0.66477,0.55266
0.66511,0.55176
0.66545,0.55077
0.66579,0.55167
0.66614,0.55286
0.66648,0.55269
0.66682,0.55142
0.66716,0.55173
0.66751,0.55214
0.66785,0.55233
0.6682,0.55303
0.66854,0.5537
0.66889,0.55402
0.66923,0.55329
0.66958,0.55315
0.66992,0.55354
0.67027,0.55377
0.67062,0.55397
0.67096,0.55428
0.67131,0.55394
0.67166,0.55236
0.67201,0.55212
0.67236,0.55388
0.6727,0.55484
0.67305,0.55418
0.6734,0.554
0.67375,0.5543
0.6741,0.55452
0.67445,0.55522
0.67481,0.55536
0.67516,0.5552
0.67551,0.55527
0.67586,0.55495
0.67621,0.55459
0.67657,0.55459
0.67692,0.5551
0.67727,0.55558
0.67763,0.55561
0.67798,0.55513
0.67834,0.55481
0.67869,0.5554
0.67905,0.55621
0.6794,0.55644
0.67976,0.55604
0.68012,0.55568
0.68047,0.5559
0.68083,0.55678
0.68119,0.55625
0.68155,0.5548
0.6819,0.55549
0.68226,0.55679
0.68262,0.55697
0.68298,0.55603
0.68334,0.55538
0.6837,0.55613
0.68406,0.55634
0.68443,0.55587
0.68479,0.55591
0.68515,0.55653
0.68551,0.55631
0.68587,0.55547
0.68624,0.55563
0.6866,0.55613
0.68696,0.55667
0.68733,0.55726
0.68769,0.5577
0.68806,0.558
0.68842,0.55821
0.68879,0.55788
0.68916,0.55728
0.68952,0.55763
0.68989,0.55811
0.69026,0.55811
0.69062,0.55773
0.69099,0.55756
0.69136,0.55732
0.69173,0.55665
0.6921,0.55664
0.69247,0.55735
0.69284,0.55824
0.69321,0.55818
0.69358,0.55713
0.69395,0.55634
0.69432,0.55642
0.6947,0.55667
0.69507,0.55641
0.69544,0.55621
0.69581,0.55681
0.69619,0.55838
0.69656,0.55782
0.69694,0.55594
0.69731,0.55608
0.69769,0.55616
0.69806,0.55605
0.69844,0.55708
0.69881,0.55813
0.69919,0.55781
0.69957,0.55731
0.69995,0.55744
0.70032,0.55746
0.7007,0.55761
0.70108,0.55721
0.70146,0.55647
0.70184,0.55563
0.70222,0.55553
0.7026,0.5562
0.70298,0.55608
0.70336,0.55643
0.70375,0.55673
0.70413,0.55682
0.70451,0.55693
0.70489,0.55619
