KC-OL-hevn_3,
W,R
0.83718,0.59374
0.83761,0.59308
0.83804,0.59179
0.83848,0.59106
0.83891,0.59051
0.83934,0.59002
0.83977,0.58955
0.84021,0.58918
0.84064,0.58912
0.84107,0.58951
0.8415,0.58979
0.84193,0.58949
0.84237,0.5895
0.8428,0.58932
0.84323,0.58934
0.84366,0.58869
0.84409,0.58855
0.84453,0.58805
0.84496,0.58806
0.84539,0.58792
0.84582,0.58739
0.84625,0.5877
0.84669,0.58779
0.84712,0.58837
0.84755,0.58835
0.84798,0.58763
0.84841,0.58701
0.84884,0.58647
0.84928,0.58611
0.84971,0.5853
0.85014,0.58512
0.85057,0.58524
0.851,0.58573
0.85143,0.58546
0.85186,0.58555
0.8523,0.58531
0.85273,0.5865
0.85316,0.58635
0.85359,0.58678
0.85402,0.58659
0.85445,0.58594
0.85488,0.58553
0.85532,0.58503
0.85575,0.58354
0.85618,0.58258
0.85661,0.5827
0.85704,0.58243
0.85747,0.5817
0.8579,0.58183
0.85833,0.58222
0.85876,0.58236
0.8592,0.58217
0.85963,0.58209
0.86006,0.58263
0.86049,0.58226
0.86092,0.58267
0.86135,0.58268
0.86178,0.58275
0.86221,0.5833
0.86264,0.58276
0.86307,0.58281
0.8635,0.58253
0.86394,0.5823
0.86437,0.58202
0.8648,0.58157
0.86523,0.58102
0.86566,0.58023
0.86609,0.57981
0.86652,0.57956
0.86695,0.57991
0.86738,0.57981
0.86781,0.57951
0.86824,0.57959
0.86867,0.57924
0.8691,0.57886
0.86953,0.57846
0.86996,0.57808
0.87039,0.57756
0.87082,0.57705
0.87125,0.57617
0.87168,0.57644
0.87211,0.57628
0.87254,0.57659
0.87297,0.57673
0.8734,0.57699
0.87383,0.57662
0.87426,0.57633
0.87469,0.5762
0.87512,0.576
0.87555,0.57559
0.87598,0.57533
0.87641,0.57542
0.87684,0.57523
0.87727,0.57522
0.8777,0.57568
0.87813,0.57604
0.87856,0.57586
0.87899,0.5756
0.87942,0.57557
0.87985,0.57578
0.88028,0.57583
0.88071,0.5755
0.88114,0.57521
0.88157,0.5754
0.882,0.57565
0.88243,0.57553
0.88286,0.57527
0.88329,0.57514
0.88372,0.57467
0.88415,0.57419
0.88458,0.57314
0.88501,0.57245
0.88544,0.57167
0.88587,0.57091
0.8863,0.57033
0.88673,0.57114
0.88715,0.57066
0.88758,0.57053
0.88801,0.56961
0.88844,0.57004
0.88887,0.57028
0.8893,0.57024
0.88973,0.56998
0.89016,0.56995
0.89059,0.56977
0.89102,0.57016
0.89145,0.56993
0.89188,0.5706
0.8923,0.57018
0.89273,0.57015
0.89316,0.57039
0.89359,0.57036
0.89402,0.5701
0.89445,0.56976
0.89488,0.56899
0.89531,0.56816
0.89574,0.56804
0.89616,0.56751
0.89659,0.56705
0.89702,0.56622
0.89745,0.56587
0.89788,0.56505
0.89831,0.56477
0.89874,0.56538
0.89916,0.56606
0.89959,0.56529
0.90002,0.56577
0.90045,0.5644
0.90088,0.56465
0.90131,0.56405
0.90174,0.5636
0.90216,0.56333
0.90259,0.56357
0.90302,0.56363
0.90345,0.56328
0.90388,0.56389
0.90431,0.56299
0.90473,0.56295
0.90516,0.5628
0.90559,0.56215
0.90602,0.56194
0.90645,0.56114
0.90687,0.56058
0.9073,0.56035
0.90773,0.55998
0.90816,0.55979
0.90859,0.5588
0.90901,0.55848
0.90944,0.5584
0.90987,0.55746
0.9103,0.55779
0.91073,0.5569
0.91115,0.55636
0.91158,0.55569
0.91201,0.55515
0.91244,0.55514
0.91286,0.55454
0.91329,0.55422
0.91372,0.55411
0.91415,0.55321
0.91458,0.5534
0.915,0.55323
0.91543,0.5527
0.91586,0.55281
0.91629,0.55246
0.91671,0.55266
0.91714,0.55215
0.91757,0.55249
0.918,0.55164
0.91842,0.5509
0.91885,0.55041
0.91928,0.55045
0.9197,0.55026
0.92013,0.54969
0.92056,0.54943
0.92099,0.54868
0.92141,0.5478
0.92184,0.54782
0.92227,0.547
0.9227,0.54659
0.92312,0.54578
0.92355,0.54521
0.92398,0.54511
0.9244,0.54458
0.92483,0.54441
0.92526,0.54435
0.92568,0.54385
0.92611,0.54386
0.92654,0.54344
0.92697,0.54321
0.92739,0.54214
0.92782,0.54189
0.92825,0.54147
0.92867,0.54112
0.9291,0.54084
0.92953,0.53967
0.92995,0.53891
0.93038,0.53883
0.93081,0.53787
0.93123,0.53685
0.93166,0.53685
0.93209,0.53587
0.93251,0.53522
0.93294,0.53438
0.93337,0.5336
0.93379,0.53292
0.93422,0.53288
0.93464,0.53256
0.93507,0.53283
0.9355,0.53281
0.93592,0.53235
0.93635,0.53202
0.93678,0.53197
0.9372,0.53157
0.93763,0.5315
0.93805,0.53096
0.93848,0.53112
0.93891,0.53124
0.93933,0.53062
0.93976,0.53015
0.94019,0.53013
0.94061,0.52977
0.94104,0.52958
0.94146,0.52884
0.94189,0.5285
0.94232,0.52759
0.94274,0.52739
0.94317,0.52591
0.94359,0.52557
0.94402,0.52511
0.94444,0.52457
0.94487,0.52363
0.9453,0.52342
0.94572,0.52334
0.94615,0.52334
0.94657,0.52354
0.947,0.5231
0.94742,0.52376
0.94785,0.52321
0.94828,0.52267
0.9487,0.52277
0.94913,0.52239
0.94955,0.52348
0.94998,0.52277
0.9504,0.52344
0.95083,0.52239
0.95125,0.52161
0.95168,0.52131
0.9521,0.52114
0.95253,0.5207
0.95296,0.51996
0.95338,0.51944
0.95381,0.5191
0.95423,0.51911
0.95466,0.51879
0.95508,0.51806
0.95551,0.51809
0.95593,0.5186
0.95636,0.51859
0.95678,0.51842
0.95721,0.51792
0.95763,0.51754
0.95806,0.51729
0.95848,0.51705
0.95891,0.51673
0.95933,0.5161
0.95976,0.51555
0.96018,0.51555
0.96061,0.51491
0.96103,0.51394
0.96146,0.51386
0.96188,0.51367
0.96231,0.51325
0.96273,0.5127
0.96315,0.51296
0.96358,0.51211
0.964,0.51174
0.96443,0.5112
0.96485,0.51071
0.96528,0.51001
0.9657,0.5097
0.96613,0.50915
0.96655,0.50841
0.96698,0.50809
0.9674,0.50744
0.96782,0.50751
0.96825,0.50725
0.96867,0.50644
0.9691,0.50591
0.96952,0.50547
0.96995,0.50526
0.97037,0.50514
0.97079,0.50453
0.97122,0.50388
0.97164,0.50391
0.97207,0.50315
0.97249,0.50296
0.97291,0.50268
0.97334,0.50152
0.97376,0.50088
0.97419,0.49982
0.97461,0.49918
0.97503,0.49847
0.97546,0.49754
0.97588,0.4972
0.97631,0.49638
0.97673,0.49599
0.97715,0.49525
0.97758,0.49546
0.978,0.4949
0.97843,0.49461
0.97885,0.49415
0.97927,0.49358
0.9797,0.49355
0.98012,0.49285
0.98054,0.49281
0.98097,0.4917
0.98139,0.49208
0.98181,0.49114
0.98224,0.49111
0.98266,0.49049
0.98309,0.48992
0.98351,0.48942
0.98393,0.48896
0.98436,0.48907
0.98478,0.48859
0.9852,0.48903
0.98563,0.48871
0.98605,0.48791
0.98647,0.48771
0.9869,0.48626
0.98732,0.48631
0.98774,0.48557
0.98817,0.48473
0.98859,0.48491
0.98901,0.4846
0.98943,0.4844
0.98986,0.48414
0.99028,0.4836
0.9907,0.48345
0.99113,0.48382
0.99155,0.48383
0.99197,0.48325
0.9924,0.48313
0.99282,0.48307
0.99324,0.4819
0.99366,0.48159
0.99409,0.48198
0.99451,0.48142
0.99493,0.48141
0.99535,0.48088
0.99578,0.481
0.9962,0.48027
0.99662,0.48009
0.99705,0.47969
0.99747,0.47921
0.99789,0.47881
0.99831,0.47794
0.99874,0.47771
0.99916,0.477
0.99958,0.47729
1.0013,0.47869
1.0028,0.47671
1.0044,0.47558
1.006,0.47438
1.0075,0.47283
1.0091,0.47101
1.0107,0.46994
1.0122,0.47053
1.0138,0.4708
1.0154,0.46942
1.017,0.46792
1.0186,0.4667
1.0202,0.46569
1.0218,0.46602
1.0234,0.46696
1.0251,0.46686
1.0267,0.46567
1.0283,0.46413
1.0299,0.46304
1.0316,0.46232
1.0332,0.46101
1.0349,0.45913
1.0365,0.45796
1.0382,0.45759
1.0399,0.45719
1.0415,0.45709
1.0432,0.45759
1.0449,0.45786
1.0466,0.4577
1.0483,0.45752
1.05,0.45664
1.0517,0.45514
1.0534,0.4547
1.0551,0.4557
1.0568,0.45678
1.0586,0.45683
1.0603,0.4562
1.062,0.45584
1.0638,0.45579
1.0655,0.45599
1.0673,0.45643
1.069,0.45654
1.0708,0.45639
1.0726,0.45676
1.0744,0.45755
1.0761,0.45804
1.0779,0.45863
1.0797,0.45991
1.0815,0.46173
1.0833,0.46382
1.0851,0.46521
1.087,0.46564
1.0888,0.46612
1.0906,0.46662
1.0925,0.46725
1.0943,0.46896
1.0962,0.47124
1.098,0.47332
1.0999,0.47507
1.1018,0.47614
1.1036,0.47657
1.1055,0.47699
1.1074,0.47803
1.1093,0.47955
1.1112,0.48087
1.1131,0.48219
1.115,0.48412
1.117,0.4861
1.1189,0.48706
1.1208,0.48727
1.1228,0.48781
1.1247,0.48932
1.1267,0.49146
1.1286,0.49336
1.1306,0.4947
1.1326,0.49557
1.1346,0.49628
1.1366,0.49764
1.1385,0.49978
1.1406,0.50179
1.1426,0.50333
1.1446,0.50491
1.1466,0.50644
1.1486,0.5077
1.1507,0.50906
1.1527,0.51048
1.1548,0.51167
1.1568,0.51248
1.1589,0.51299
1.161,0.51375
1.1631,0.51492
1.1652,0.51595
1.1673,0.51686
1.1694,0.51815
1.1715,0.51928
1.1736,0.51923
1.1757,0.51862
1.1779,0.51895
1.18,0.51979
1.1822,0.52038
1.1843,0.52119
1.1865,0.52218
1.1887,0.52264
